$ Get data for 692:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:30:46 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA692           Pigtail Peak
WA692       0301  20     44.00
WA692       0301  21     49.00
WA692       0301  22     52.00
WA692       0301  23     58.00
WA692       0301  24     51.00
WA692       0301  25     36.00
WA692       0301  26     29.00
WA692       0301  27     31.00
WA692       0301  28     31.00
WA692       0301  29     32.00
WA692       0301  30     40.00
WA692       0301  31     34.00
WA692       0401   1     30.00
WA692       0401   2     29.00
WA692       0401   3     35.00
WA692       0401   4     40.00
WA692       0401   5     37.00
WA692       0401   6     30.00
WA692       0401   7     31.00
WA692       0401   8     34.00
WA692       0401   9     34.00
WA692       0401  10     32.00
WA692       0401  11     38.00
WA692       0401  12     31.00
WA692       0401  13     30.00
WA692       0401  14     40.00
WA692       0401  15     42.00
WA692       0401  16     49.00
WA692       0401  17     36.00
WA692       0401  18     43.00
WA692       0401  19     45.00
WA692       0401  20     44.00
WA692       0401  21     46.00
WA692       0401  22     39.00
WA692       0401  23     41.00
WA692       0401  24     60.00
WA692       0401  25     67.00
WA692       0401  26     60.00
WA692       0401  27     55.00
WA692       0401  28     40.00
WA692       0401  29     34.00
WA692       0401  30     31.00
WA692       0501   1     30.00
WA692       0501   2     45.00
WA692       0501   3     53.00
WA692       0501   4     51.00
WA692       0501   5     33.00
WA692       0501   6     52.00
WA692       0501   7     62.00
WA692       0501   8     53.00
WA692       0501   9     49.00
WA692       0501  10     52.00
WA692       0501  11     69.00
WA692       0501  12     66.00
WA692       0501  13     50.00
WA692       0501  14     35.00
WA692       0501  15     47.00
WA692       0501  16     35.00
WA692       0501  17     49.00
WA692       0501  18     48.00
WA692       0501  19     42.00
WA692       0501  20     54.00
WA692       0501  21     70.00
WA692       0501  22     77.00
WA692       0501  23     77.00
WA692       0501  24     67.00
WA692       0501  25     67.00
WA692       0501  26     71.00
WA692       0501  27     57.00
WA692       0501  28     39.00
WA692       0501  29     44.00
WA692       0501  30     53.00
WA692       0501  31     71.00
WA692       0601   1     54.00
WA692       0601   2     36.00
WA692       0601   3     38.00
WA692       0601   4     38.00
WA692       0601   5     39.00
WA692       0601   6     49.00
WA692       0601   7     58.00
WA692       0601   8     58.00
WA692       0601   9     40.00
WA692       0601  10     43.00
WA692       0601  11     35.00
WA692       0601  12     35.00
WA692       0601  13     53.00
WA692       0601  14     48.00
WA692       0601  15     51.00
WA692       0601  16     49.00
WA692       0601  17     48.00
WA692       0601  18     56.00
WA692       0601  19     64.00
WA692       0601  20     69.00
WA692       0601  21     67.00
WA692       0601  22     58.00
WA692       0601  23     49.00
WA692       0601  24     41.00
WA692       0601  25     51.00
WA692       0601  26     51.00
WA692       0601  27     50.00
WA692       0601  28     48.00
WA692       0601  29     59.00
WA692       0601  30     65.00
WA692       0701   1     59.00
WA692       0701   2     68.00
WA692       0701   3     79.00
WA692       0701   4     72.00
WA692       0701   5     58.00
WA692       0701   6     60.00
WA692       0701   7     66.00
WA692       0701   8     69.00
WA692       0701   9     73.00
WA692       0701  10     72.00
WA692       0701  11     69.00
WA692       0701  12     67.00
WA692       0701  13     64.00
WA692       0701  14     59.00
WA692       0701  15     39.00
WA692       0701  16     40.00
WA692       0701  17     44.00
WA692       0701  18     49.00
WA692       0701  19     58.00
WA692       0701  20     56.00
WA692       0701  21     50.00
WA692       0701  22     59.00
WA692       0701  23     66.00
WA692       0701  24     61.00
WA692       0701  25     64.00
WA692       0701  26     64.00
WA692       0701  27     59.00
WA692       0701  28     42.00
WA692       0701  29     51.00
WA692       0701  30     57.00
WA692       0701  31     56.00
WA692       0801   1     61.00
WA692       0801   2     62.00
WA692       0801   3     57.00
WA692       0801   4     54.00
WA692       0801   5     63.00
WA692       0801   6     68.00
WA692       0801   7     66.00
WA692       0801   8     73.00
WA692       0801   9     76.00
WA692       0801  10     75.00
WA692       0801  11     75.00
WA692       0801  12     81.00
WA692       0801  13     77.00
WA692       0801  14     78.00
WA692       0801  15     79.00
WA692       0801  16     79.00
WA692       0801  17     63.00
WA692       0801  18     53.00
WA692       0801  19     58.00
WA692       0801  20     56.00
WA692       0801  21     52.00
WA692       0801  22     48.00
WA692       0801  23     45.00
WA692       0801  24     54.00
WA692       0801  25     70.00
WA692       0801  26     72.00
WA692       0801  27     65.00
WA692       0801  28     64.00
WA692       0801  29     71.00
WA692       0801  30     65.00
WA692       0801  31     59.00
WA692       0901   1     46.00
WA692       0901   2     60.00
WA692       0901   3     51.00
WA692       0901   4     57.00
WA692       0901   5     38.00
WA692       0901   6     47.00
WA692       0901   7     58.00
WA692       0901   8     66.00
WA692       0901   9     69.00
WA692       0901  10     67.00
WA692       0901  11     71.00
WA692       0901  12     71.00
WA692       0901  13     73.00
WA692       0901  14     74.00
WA692       0901  15     68.00
WA692       0901  16     65.00
WA692       0901  17     63.00
WA692       0901  18     56.00
WA692       0901  19     53.00
WA692       0901  20     62.00
WA692       0901  21     54.00
WA692       0901  22     68.00
WA692       0901  23     71.00
WA692       0901  24     69.00
WA692       0901  25     55.00
WA692       0901  26     43.00
WA692       0901  27     43.00
WA692       0901  28     49.00
WA692       0901  29     58.00
WA692       0901  30     63.00
WA692       1001   1     66.00
WA692       1001   2     59.00
WA692       1001   3     63.00
WA692       1001   4     49.00
WA692       1001   5     57.00
WA692       1001   6     43.00
WA692       1001   7     40.00
WA692       1001   8     37.00
WA692       1001   9     34.00
WA692       1001  10     39.00
WA692       1001  11     32.00
WA692       1001  12     38.00
WA692       1001  13     40.00
WA692       1001  14     46.00
WA692       1001  15     47.00
WA692       1001  16     48.00
WA692       1001  17     34.00
WA692       1001  18     38.00
WA692       1001  19     39.00
WA692       1001  20     52.00
WA692       1001  21     37.00
WA692       1001  22     37.00
WA692       1001  23     27.00
WA692       1001  24     31.00
WA692       1001  25     41.00
WA692       1001  26     46.00
WA692       1001  27     41.00
WA692       1001  28     34.00
WA692       1001  29     38.00
WA692       1001  30     40.00
WA692       1001  31     32.00
WA692       1101   1     35.00
WA692       1101   2     44.00
WA692       1101   3     54.00
WA692       1101   4     50.00
WA692       1101   5     35.00
WA692       1101   6     33.00
WA692       1101   7     38.00
WA692       1101   8     52.00
WA692       1101   9     53.00
WA692       1101  10     52.00
WA692       1101  11     45.00
WA692       1101  12     41.00
WA692       1101  13     40.00
WA692       1101  14     41.00
WA692       1101  15     41.00
WA692       1101  16     33.00
WA692       1101  17     33.00
WA692       1101  18     29.00
WA692       1101  19     38.00
WA692       1101  20     33.00
WA692       1101  21     31.00
WA692       1101  22     32.00
WA692       1101  23     27.00
WA692       1101  24     22.00
WA692       1101  25     24.00
WA692       1101  26     24.00
WA692       1101  27     25.00
WA692       1101  28     30.00
WA692       1101  29     28.00
WA692       1101  30     28.00
WA692       1201   1     29.00
WA692       1201   2     24.00
WA692       1201   3     24.00
WA692       1201   4     20.00
WA692       1201   5     27.00
WA692       1201   6     25.00
WA692       1201   7     33.00
WA692       1201   8     36.00
WA692       1201   9     21.00
WA692       1201  10     26.00
WA692       1201  11     26.00
WA692       1201  12     31.00
WA692       1201  13     32.00
WA692       1201  14     23.00
WA692       1201  15     31.00
WA692       1201  16     33.00
WA692       1201  17     24.00
WA692       1201  18     26.00
WA692       1201  19     23.00
WA692       1201  20     24.00
WA692       1201  21     30.00
WA692       1201  22     20.00
WA692       1201  23     26.00
WA692       1201  24     23.00
WA692       1201  25     18.00
WA692       1201  26     24.00
WA692       1201  27     28.00
WA692       1201  28     31.00
WA692       1201  29     23.00
WA692       1201  30     26.00
WA692       1201  31     32.00
WA692       0102   1     26.00
WA692       0102   2     33.00
WA692       0102   3     29.00
WA692       0102   4     36.00
WA692       0102   5     35.00
WA692       0102   6     40.00
WA692       0102   7     41.00
WA692       0102   8     33.00
WA692       0102   9     34.00
WA692       0102  10     38.00
WA692       0102  11     41.00
WA692       0102  12     38.00
WA692       0102  13     26.00
WA692       0102  14     25.00
WA692       0102  15     31.00
WA692       0102  16     27.00
WA692       0102  17     21.00
WA692       0102  18     25.00
WA692       0102  19     24.00
WA692       0102  20     25.00
WA692       0102  21     19.00
WA692       0102  22     18.00
WA692       0102  23     27.00
WA692       0102  24     28.00
WA692       0102  25     27.00
WA692       0102  26     19.00
WA692       0102  27     19.00
WA692       0102  28     21.00
WA692       0102  29     16.00
WA692       0102  30     23.00
WA692       0102  31     27.00
WA692       0202   1     27.00
WA692       0202   2     31.00
WA692       0202   3     28.00
WA692       0202   4     41.00
WA692       0202   5     32.00
WA692       0202   6     29.00
WA692       0202   7     29.00
WA692       0202   8     25.00
WA692       0202   9     30.00
