$ Get data for 824:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:42:17 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA824           Touchet
WA824       0601   6     57.00
WA824       0601   7     63.00
WA824       0601   8     66.00
WA824       0601   9     55.00
WA824       0601  10     45.00
WA824       0601  11     48.00
WA824       0601  12     41.00
WA824       0601  13     55.00
WA824       0601  14     55.00
WA824       0601  15     58.00
WA824       0601  16     62.00
WA824       0601  17     54.00
WA824       0601  18     58.00
WA824       0601  19   -999.00
WA824       0601  20   -999.00
WA824       0601  21     77.00
WA824       0601  22     71.00
WA824       0601  23     66.00
WA824       0601  24     51.00
WA824       0601  25     58.00
WA824       0601  26     64.00
WA824       0601  27     64.00
WA824       0601  28     57.00
WA824       0601  29     66.00
WA824       0601  30     71.00
WA824       0701   1     69.00
WA824       0701   2     75.00
WA824       0701   3     82.00
WA824       0701   4     83.00
WA824       0701   5     70.00
WA824       0701   6     67.00
WA824       0701   7     75.00
WA824       0701   8     78.00
WA824       0701   9     81.00
WA824       0701  10     82.00
WA824       0701  11     73.00
WA824       0701  12     76.00
WA824       0701  13     73.00
WA824       0701  14     71.00
WA824       0701  15     65.00
WA824       0701  16     56.00
WA824       0701  17     57.00
WA824       0701  18     59.00
WA824       0701  19     67.00
WA824       0701  20     64.00
WA824       0701  21     63.00
WA824       0701  22     69.00
WA824       0701  23     71.00
WA824       0701  24     70.00
WA824       0701  25     69.00
WA824       0701  26     73.00
WA824       0701  27     74.00
WA824       0701  28     57.00
WA824       0701  29     54.00
WA824       0701  30     51.00
WA824       0701  31     64.00
WA824       0801   1     72.00
WA824       0801   2     76.00
WA824       0801   3     73.00
WA824       0801   4     65.00
WA824       0801   5     76.00
WA824       0801   6     79.00
WA824       0801   7     76.00
WA824       0801   8     76.00
WA824       0801   9     79.00
WA824       0801  10     82.00
WA824       0801  11   -999.00
WA824       0801  12     85.00
WA824       0801  13     83.00
WA824       0801  14     83.00
WA824       0801  15     85.00
WA824       0801  16     87.00
WA824       0801  17   -999.00
WA824       0801  18     66.00
WA824       0801  19     65.00
WA824       0801  20     69.00
WA824       0801  21     69.00
