$ Get data for 899:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:41:54 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA899           Tinkham Creek
WA899       1001  25     43.00
WA899       1001  26     49.00
WA899       1001  27     39.00
WA899       1001  28     38.00
WA899       1001  29     41.00
WA899       1001  30     43.00
WA899       1001  31     40.00
WA899       1101   1     41.00
WA899       1101   2     47.00
WA899       1101   3     51.00
WA899       1101   4     51.00
WA899       1101   5     38.00
WA899       1101   6     38.00
WA899       1101   7     41.00
WA899       1101   8     44.00
WA899       1101   9     46.00
WA899       1101  10     47.00
WA899       1101  11     46.00
WA899       1101  12     46.00
WA899       1101  13     43.00
WA899       1101  14     51.00
WA899       1101  15     46.00
WA899       1101  16     41.00
WA899       1101  17     41.00
WA899       1101  18     42.00
WA899       1101  19     40.00
WA899       1101  20     41.00
WA899       1101  21     40.00
WA899       1101  22     35.00
WA899       1101  23     33.00
WA899       1101  24     34.00
WA899       1101  25     33.00
WA899       1101  26     33.00
WA899       1101  27     34.00
WA899       1101  28     28.00
WA899       1101  29     32.00
WA899       1101  30     33.00
WA899       1201   1     34.00
WA899       1201   2     34.00
WA899       1201   3     30.00
WA899       1201   4     31.00
WA899       1201   5     31.00
WA899       1201   6     33.00
WA899       1201   7     36.00
WA899       1201   8     35.00
WA899       1201   9     31.00
WA899       1201  10     31.00
WA899       1201  11     33.00
WA899       1201  12     33.00
WA899       1201  13     37.00
WA899       1201  14     32.00
WA899       1201  15     30.00
WA899       1201  16     38.00
WA899       1201  17     32.00
WA899       1201  18     30.00
WA899       1201  19     33.00
WA899       1201  20     33.00
WA899       1201  21     34.00
WA899       1201  22     32.00
WA899       1201  23     36.00
WA899       1201  24     35.00
WA899       1201  25     29.00
WA899       1201  26     30.00
WA899       1201  27     29.00
WA899       1201  28     35.00
WA899       1201  29     34.00
WA899       1201  30     36.00
WA899       1201  31     33.00
WA899       0102   1     32.00
WA899       0102   2     34.00
WA899       0102   3     36.00
WA899       0102   4     36.00
WA899       0102   5     33.00
WA899       0102   6     35.00
WA899       0102   7     41.00
WA899       0102   8     39.00
WA899       0102   9     41.00
WA899       0102  10     40.00
WA899       0102  11     39.00
WA899       0102  12     34.00
WA899       0102  13     37.00
WA899       0102  14     32.00
WA899       0102  15     32.00
WA899       0102  16     30.00
WA899       0102  17     30.00
WA899       0102  18     32.00
WA899       0102  19     32.00
WA899       0102  20     33.00
WA899       0102  21     32.00
WA899       0102  22     29.00
WA899       0102  23     33.00
WA899       0102  24     35.00
WA899       0102  25     32.00
WA899       0102  26     30.00
WA899       0102  27     33.00
WA899       0102  28     32.00
WA899       0102  29     29.00
WA899       0102  30     34.00
WA899       0102  31     34.00
WA899       0202   1     35.00
WA899       0202   2     38.00
WA899       0202   3     36.00
WA899       0202   4     35.00
WA899       0202   5     32.00
WA899       0202   6     33.00
WA899       0202   7     36.00
WA899       0202   8     33.00
WA899       0202   9     35.00
WA899       0202  10     38.00
WA899       0202  11     38.00
WA899       0202  12     35.00
WA899       0202  13     39.00
WA899       0202  14     41.00
WA899       0202  15     42.00
WA899       0202  16     46.00
WA899       0202  17     40.00
WA899       0202  18     43.00
WA899       0202  19     37.00
WA899       0202  20     44.00
WA899       0202  21     47.00
WA899       0202  22     43.00
WA899       0202  23     37.00
WA899       0202  24     35.00
WA899       0202  25     34.00
WA899       0202  26     41.00
WA899       0202  27     40.00
WA899       0202  28     40.00
WA899       0302   1     39.00
WA899       0302   2     45.00
WA899       0302   3     54.00
WA899       0302   4     51.00
WA899       0302   5     36.00
WA899       0302   6     33.00
WA899       0302   7     32.00
WA899       0302   8     28.00
WA899       0302   9     34.00
WA899       0302  10     34.00
WA899       0302  11     39.00
WA899       0302  12     38.00
WA899       0302  13     37.00
WA899       0302  14     33.00
WA899       0302  15     40.00
WA899       0302  16     35.00
WA899       0302  17     33.00
WA899       0302  18     31.00
WA899       0302  19     32.00
WA899       0302  20     35.00
WA899       0302  21     34.00
WA899       0302  22     44.00
WA899       0302  23     53.00
WA899       0302  24     40.00
WA899       0302  25     52.00
WA899       0302  26     46.00
WA899       0302  27     36.00
WA899       0302  28     37.00
WA899       0302  29     40.00
WA899       0302  30     49.00
WA899       0302  31     40.00
WA899       0402   1     45.00
WA899       0402   2     49.00
WA899       0402   3     60.00
WA899       0402   4     67.00
WA899       0402   5     52.00
WA899       0402   6     43.00
WA899       0402   7     43.00
WA899       0402   8     60.00
WA899       0402   9     52.00
WA899       0402  10     46.00
WA899       0402  11     47.00
WA899       0402  12     45.00
WA899       0402  13     44.00
WA899       0402  14     42.00
WA899       0402  15     40.00
WA899       0402  16     41.00
WA899       0402  17     46.00
WA899       0402  18     44.00
WA899       0402  19     54.00
WA899       0402  20     43.00
WA899       0402  21     47.00
WA899       0402  22     37.00
WA899       0402  23     45.00
WA899       0402  24     56.00
WA899       0402  25     56.00
WA899       0402  26     46.00
WA899       0402  27     50.00
WA899       0402  28     58.00
WA899       0402  29     67.00
WA899       0402  30     66.00
WA899       0502   1     64.00
WA899       0502   2     39.00
WA899       0502   3     43.00
WA899       0502   4     37.00
WA899       0502   5     35.00
WA899       0502   6     44.00
WA899       0502   7     37.00
WA899       0502   8     56.00
WA899       0502   9     50.00
WA899       0502  10     53.00
WA899       0502  11     64.00
WA899       0502  12     66.00
WA899       0502  13     44.00
WA899       0502  14     50.00
WA899       0502  15     56.00
WA899       0502  16     64.00
WA899       0502  17     58.00
WA899       0502  18     53.00
WA899       0502  19     62.00
WA899       0502  20     46.00
WA899       0502  21     42.00
WA899       0502  22     45.00
WA899       0502  23     51.00
WA899       0502  24     66.00
WA899       0502  25     58.00
WA899       0502  26     49.00
WA899       0502  27     63.00
WA899       0502  28     58.00
WA899       0502  29     54.00
WA899       0502  30     62.00
WA899       0502  31     60.00
WA899       0602   1     62.00
WA899       0602   2     61.00
WA899       0602   3     63.00
WA899       0602   4     53.00
WA899       0602   5     58.00
WA899       0602   6     46.00
WA899       0602   7     43.00
WA899       0602   8     43.00
WA899       0602   9     59.00
WA899       0602  10     68.00
WA899       0602  11     72.00
WA899       0602  12     82.00
WA899       0602  13     80.00
WA899       0602  14     74.00
WA899       0602  15     72.00
WA899       0602  16     58.00
WA899       0602  17     59.00
WA899       0602  18     44.00
WA899       0602  19     62.00
WA899       0602  20     75.00
WA899       0602  21     78.00
WA899       0602  22     75.00
WA899       0602  23     65.00
WA899       0602  24     69.00
WA899       0602  25     84.00
WA899       0602  26     84.00
WA899       0602  27     60.00
WA899       0602  28     54.00
WA899       0602  29     55.00
WA899       0602  30     54.00
WA899       0702   1     59.00
WA899       0702   2     67.00
WA899       0702   3     61.00
WA899       0702   4     51.00
WA899       0702   5     72.00
WA899       0702   6     76.00
WA899       0702   7     76.00
WA899       0702   8     55.00
WA899       0702   9     79.00
WA899       0702  10     93.00
WA899       0702  11     84.00
WA899       0702  12     84.00
WA899       0702  13     77.00
WA899       0702  14     70.00
WA899       0702  15     77.00
WA899       0702  16     79.00
WA899       0702  17     76.00
WA899       0702  18     74.00
WA899       0702  19     64.00
WA899       0702  20     74.00
WA899       0702  21     83.00
WA899       0702  22     91.00
WA899       0702  23     84.00
WA899       0702  24     85.00
WA899       0702  25     78.00
WA899       0702  26     62.00
WA899       0702  27     65.00
WA899       0702  28     61.00
WA899       0702  29     65.00
WA899       0702  30     61.00
WA899       0702  31     69.00
WA899       0802   1     76.00
WA899       0802   2     60.00
WA899       0802   3     71.00
WA899       0802   4     58.00
WA899       0802   5     63.00
WA899       0802   6     53.00
WA899       0802   7     64.00
WA899       0802   8     74.00
WA899       0802   9     77.00
WA899       0802  10     70.00
WA899       0802  11     76.00
WA899       0802  12     87.00
WA899       0802  13     90.00
WA899       0802  14     80.00
WA899       0802  15     83.00
WA899       0802  16     78.00
WA899       0802  17     76.00
