$ Get data for 352:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:43:40 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA352           Blewett Pass
WA352       0102  13     32.00
WA352       0102  14     31.00
WA352       0102  15     34.00
WA352       0102  16     35.00
WA352       0102  17     32.00
WA352       0102  18     33.00
WA352       0102  19     34.00
WA352       0102  20     33.00
WA352       0102  21     30.00
WA352       0102  22     29.00
WA352       0102  23     34.00
WA352       0102  24     34.00
WA352       0102  25     33.00
WA352       0102  26     27.00
WA352       0102  27     28.00
WA352       0102  28     23.00
WA352       0102  29     25.00
WA352       0102  30     35.00
WA352       0102  31     30.00
WA352       0202   1     33.00
WA352       0202   2     37.00
WA352       0202   3     34.00
WA352       0202   4     37.00
WA352       0202   5     31.00
WA352       0202   6     32.00
WA352       0202   7     34.00
WA352       0202   8     36.00
WA352       0202   9     36.00
WA352       0202  10     40.00
WA352       0202  11     39.00
WA352       0202  12     38.00
WA352       0202  13     39.00
WA352       0202  14     44.00
WA352       0202  15     40.00
WA352       0202  16     44.00
WA352       0202  17     41.00
WA352       0202  18     46.00
WA352       0202  19     39.00
WA352       0202  20     47.00
WA352       0202  21     47.00
WA352       0202  22     48.00
WA352       0202  23     47.00
WA352       0202  24     30.00
WA352       0202  25     30.00
WA352       0202  26     40.00
WA352       0202  27     41.00
WA352       0202  28     36.00
WA352       0302   1     42.00
WA352       0302   2     43.00
WA352       0302   3     48.00
WA352       0302   4     51.00
WA352       0302   5     42.00
WA352       0302   6     26.00
WA352       0302   7     28.00
WA352       0302   8     27.00
WA352       0302   9     31.00
WA352       0302  10     30.00
WA352       0302  11     34.00
WA352       0302  12     39.00
WA352       0302  13     40.00
WA352       0302  14     40.00
WA352       0302  15     37.00
WA352       0302  16     35.00
WA352       0302  17     37.00
WA352       0302  18     26.00
WA352       0302  19     30.00
WA352       0302  20     30.00
WA352       0302  21     30.00
WA352       0302  22     41.00
WA352       0302  23     57.00
WA352       0302  24     53.00
WA352       0302  25     56.00
WA352       0302  26     46.00
WA352       0302  27     42.00
WA352       0302  28     48.00
WA352       0302  29     45.00
WA352       0302  30     55.00
WA352       0302  31     50.00
WA352       0402   1     51.00
WA352       0402   2     49.00
WA352       0402   3     55.00
WA352       0402   4     63.00
WA352       0402   5     57.00
WA352       0402   6     43.00
WA352       0402   7     46.00
WA352       0402   8     58.00
WA352       0402   9     46.00
WA352       0402  10     47.00
WA352       0402  11     46.00
WA352       0402  12     50.00
WA352       0402  13     53.00
WA352       0402  14     40.00
WA352       0402  15     42.00
WA352       0402  16     42.00
WA352       0402  17     45.00
WA352       0402  18     54.00
WA352       0402  19     55.00
WA352       0402  20     58.00
WA352       0402  21     54.00
WA352       0402  22     43.00
WA352       0402  23     44.00
WA352       0402  24     52.00
WA352       0402  25     55.00
WA352       0402  26     50.00
WA352       0402  27     50.00
WA352       0402  28     57.00
WA352       0402  29     61.00
WA352       0402  30     65.00
WA352       0502   1     65.00
WA352       0502   2     52.00
WA352       0502   3     47.00
WA352       0502   4     46.00
WA352       0502   5     41.00
WA352       0502   6     40.00
WA352       0502   7     44.00
WA352       0502   8     46.00
WA352       0502   9     44.00
WA352       0502  10     56.00
WA352       0502  11     62.00
WA352       0502  12     63.00
WA352       0502  13     62.00
WA352       0502  14     50.00
WA352       0502  15     59.00
WA352       0502  16     60.00
WA352       0502  17     58.00
WA352       0502  18     51.00
WA352       0502  19     58.00
WA352       0502  20     51.00
WA352       0502  21     52.00
WA352       0502  22     52.00
WA352       0502  23     58.00
WA352       0502  24     65.00
WA352       0502  25     62.00
WA352       0502  26     63.00
WA352       0502  27     63.00
WA352       0502  28     60.00
WA352       0502  29     62.00
WA352       0502  30     67.00
WA352       0502  31     66.00
WA352       0602   1     69.00
WA352       0602   2     69.00
WA352       0602   3     66.00
WA352       0602   4     69.00
WA352       0602   5     62.00
WA352       0602   6     51.00
WA352       0602   7     52.00
WA352       0602   8     50.00
WA352       0602   9     62.00
WA352       0602  10     68.00
WA352       0602  11     70.00
WA352       0602  12     77.00
WA352       0602  13     77.00
WA352       0602  14     81.00
WA352       0602  15     83.00
WA352       0602  16     69.00
WA352       0602  17     61.00
WA352       0602  18     53.00
WA352       0602  19     65.00
WA352       0602  20     70.00
WA352       0602  21     80.00
WA352       0602  22     83.00
WA352       0602  23     71.00
WA352       0602  24     77.00
WA352       0602  25     86.00
WA352       0602  26     89.00
WA352       0602  27     70.00
WA352       0602  28     52.00
WA352       0602  29     60.00
WA352       0602  30     58.00
WA352       0702   1     64.00
WA352       0702   2     73.00
WA352       0702   3     63.00
WA352       0702   4     57.00
WA352       0702   5     67.00
WA352       0702   6     73.00
WA352       0702   7     75.00
WA352       0702   8     63.00
WA352       0702   9     76.00
WA352       0702  10     88.00
WA352       0702  11     94.00
WA352       0702  12     98.00
WA352       0702  13     90.00
WA352       0702  14     75.00
WA352       0702  15     85.00
WA352       0702  16     85.00
WA352       0702  17     82.00
WA352       0702  18     82.00
WA352       0702  19     75.00
WA352       0702  20     81.00
WA352       0702  21     82.00
WA352       0702  22     84.00
WA352       0702  23     85.00
WA352       0702  24     90.00
WA352       0702  25     85.00
WA352       0702  26     72.00
WA352       0702  27     74.00
WA352       0702  28     72.00
WA352       0702  29     72.00
WA352       0702  30     67.00
WA352       0702  31     71.00
WA352       0802   1     76.00
WA352       0802   2     67.00
WA352       0802   3     70.00
WA352       0802   4     58.00
WA352       0802   5     61.00
WA352       0802   6     60.00
WA352       0802   7     70.00
WA352       0802   8     77.00
WA352       0802   9     80.00
WA352       0802  10     78.00
WA352       0802  11     79.00
WA352       0802  12     83.00
WA352       0802  13     91.00
WA352       0802  14     88.00
WA352       0802  15     83.00
WA352       0802  16     76.00
WA352       0802  17     75.00
WA352       0802  18     77.00
WA352       0802  19     76.00
WA352       0802  20     65.00
WA352       0802  21     71.00
WA352       0802  22     78.00
WA352       0802  23     78.00
WA352       0802  24     79.00
WA352       0802  25     76.00
WA352       0802  26     75.00
WA352       0802  27     78.00
WA352       0802  28     82.00
WA352       0802  29     83.00
WA352       0802  30     77.00
WA352       0802  31     80.00
WA352       0902   1     67.00
WA352       0902   2     74.00
WA352       0902   3     60.00
WA352       0902   4     65.00
WA352       0902   5     63.00
WA352       0902   6     63.00
WA352       0902   7     58.00
WA352       0902   8     61.00
WA352       0902   9     72.00
WA352       0902  10     78.00
WA352       0902  11     83.00
WA352       0902  12     85.00
WA352       0902  13     83.00
WA352       0902  14     80.00
WA352       0902  15     75.00
WA352       0902  16     61.00
WA352       0902  17     61.00
WA352       0902  18     68.00
WA352       0902  19     70.00
WA352       0902  20     63.00
WA352       0902  21     62.00
WA352       0902  22     74.00
WA352       0902  23     79.00
WA352       0902  24     69.00
WA352       0902  25     70.00
WA352       0902  26     60.00
WA352       0902  27     63.00
WA352       0902  28     67.00
WA352       0902  29     49.00
WA352       0902  30     51.00
WA352       1002   1     52.00
WA352       1002   2     61.00
WA352       1002   3     49.00
WA352       1002   4     51.00
WA352       1002   5     58.00
WA352       1002   6     69.00
WA352       1002   7     66.00
WA352       1002   8     65.00
WA352       1002   9     58.00
WA352       1002  10     48.00
WA352       1002  11     49.00
WA352       1002  12     51.00
WA352       1002  13     63.00
WA352       1002  14     61.00
WA352       1002  15     65.00
WA352       1002  16     64.00
WA352       1002  17     67.00
WA352       1002  18     67.00
WA352       1002  19     61.00
WA352       1002  20     55.00
WA352       1002  21     62.00
WA352       1002  22     53.00
