$ Get data for 943:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:49:36 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA943           Dungeness
WA943       0401  28     40.00
WA943       0401  29     46.00
WA943       0401  30     44.00
WA943       0501   1     41.00
WA943       0501   2     45.00
WA943       0501   3     47.00
WA943       0501   4     51.00
WA943       0501   5     41.00
WA943       0501   6     50.00
WA943       0501   7     58.00
WA943       0501   8     48.00
WA943       0501   9     47.00
WA943       0501  10     50.00
WA943       0501  11     63.00
WA943       0501  12     60.00
WA943       0501  13     44.00
WA943       0501  14     48.00
WA943       0501  15     48.00
WA943       0501  16     41.00
WA943       0501  17     39.00
WA943       0501  18     45.00
WA943       0501  19     50.00
WA943       0501  20     54.00
WA943       0501  21     69.00
WA943       0501  22     79.00
WA943       0501  23     75.00
WA943       0501  24     67.00
WA943       0501  25     70.00
WA943       0501  26     67.00
WA943       0501  27     57.00
WA943       0501  28     47.00
WA943       0501  29     42.00
WA943       0501  30     59.00
WA943       0501  31     75.00
WA943       0601   1     54.00
WA943       0601   2     41.00
WA943       0601   3     44.00
WA943       0601   4     47.00
WA943       0601   5     43.00
WA943       0601   6     50.00
WA943       0601   7     55.00
WA943       0601   8     55.00
WA943       0601   9     45.00
WA943       0601  10     46.00
WA943       0601  11     40.00
WA943       0601  12     50.00
WA943       0601  13     56.00
WA943       0601  14     50.00
WA943       0601  15     48.00
WA943       0601  16     48.00
WA943       0601  17     51.00
WA943       0601  18     58.00
WA943       0601  19     68.00
WA943       0601  20     71.00
WA943       0601  21     68.00
WA943       0601  22     57.00
WA943       0601  23     46.00
WA943       0601  24     45.00
WA943       0601  25     49.00
WA943       0601  26     60.00
WA943       0601  27     62.00
WA943       0601  28     46.00
WA943       0601  29     57.00
WA943       0601  30     61.00
WA943       0701   1     63.00
WA943       0701   2     69.00
WA943       0701   3     76.00
WA943       0701   4     74.00
WA943       0701   5     62.00
WA943       0701   6     61.00
WA943       0701   7     64.00
WA943       0701   8     69.00
WA943       0701   9     75.00
WA943       0701  10     72.00
WA943       0701  11     70.00
WA943       0701  12     68.00
WA943       0701  13     66.00
WA943       0701  14     59.00
WA943       0701  15     47.00
WA943       0701  16     47.00
WA943       0701  17     47.00
WA943       0701  18     58.00
WA943       0701  19     51.00
WA943       0701  20     65.00
WA943       0701  21     63.00
WA943       0701  22     66.00
WA943       0701  23     68.00
WA943       0701  24     62.00
WA943       0701  25     69.00
WA943       0701  26     69.00
WA943       0701  27     59.00
WA943       0701  28     51.00
WA943       0701  29     51.00
WA943       0701  30     59.00
WA943       0701  31     57.00
WA943       0801   1     60.00
WA943       0801   2     62.00
WA943       0801   3     60.00
WA943       0801   4     56.00
WA943       0801   5     68.00
WA943       0801   6     62.00
WA943       0801   7     63.00
WA943       0801   8     71.00
WA943       0801   9     81.00
WA943       0801  10     80.00
WA943       0801  11     79.00
WA943       0801  12     80.00
WA943       0801  13     79.00
WA943       0801  14     80.00
WA943       0801  15     81.00
WA943       0801  16     72.00
WA943       0801  17     60.00
WA943       0801  18     53.00
WA943       0801  19     58.00
WA943       0801  20     56.00
WA943       0801  21     65.00
WA943       0801  22     56.00
WA943       0801  23     56.00
WA943       0801  24     53.00
WA943       0801  25     67.00
WA943       0801  26     71.00
WA943       0801  27     69.00
WA943       0801  28     64.00
WA943       0801  29     71.00
WA943       0801  30     70.00
WA943       0801  31     56.00
WA943       0901   1     55.00
WA943       0901   2     58.00
WA943       0901   3     52.00
WA943       0901   4     52.00
WA943       0901   5     54.00
WA943       0901   6     54.00
WA943       0901   7     61.00
WA943       0901   8     71.00
WA943       0901   9     69.00
WA943       0901  10     67.00
WA943       0901  11     70.00
WA943       0901  12     71.00
WA943       0901  13     75.00
WA943       0901  14     75.00
WA943       0901  15     75.00
WA943       0901  16     71.00
WA943       0901  17     60.00
WA943       0901  18     54.00
WA943       0901  19     48.00
WA943       0901  20     59.00
WA943       0901  21     60.00
WA943       0901  22     73.00
WA943       0901  23     75.00
WA943       0901  24     71.00
WA943       0901  25     62.00
WA943       0901  26     50.00
WA943       0901  27     46.00
WA943       0901  28     53.00
WA943       0901  29     62.00
WA943       0901  30     63.00
WA943       1001   1     66.00
WA943       1001   2     60.00
WA943       1001   3     62.00
WA943       1001   4     64.00
WA943       1001   5     65.00
WA943       1001   6     51.00
WA943       1001   7     47.00
WA943       1001   8     47.00
WA943       1001   9     42.00
WA943       1001  10     53.00
WA943       1001  11     44.00
WA943       1001  12     59.00
WA943       1001  13     44.00
WA943       1001  14     42.00
WA943       1001  15     61.00
WA943       1001  16     50.00
WA943       1001  17     45.00
WA943       1001  18     45.00
WA943       1001  19     48.00
WA943       1001  20     44.00
WA943       1001  21     51.00
WA943       1001  22     44.00
WA943       1001  23     41.00
WA943       1001  24     42.00
WA943       1001  25     50.00
WA943       1001  26     51.00
WA943       1001  27     34.00
WA943       1001  28     42.00
WA943       1001  29     44.00
WA943       1001  30     47.00
WA943       1001  31     39.00
WA943       1101   1     48.00
WA943       1101   2     43.00
WA943       1101   3     60.00
WA943       1101   4     48.00
WA943       1101   5     41.00
WA943       1101   6     40.00
WA943       1101   7     51.00
WA943       1101   8     60.00
WA943       1101   9     57.00
WA943       1101  10     62.00
WA943       1101  11     54.00
WA943       1101  12     45.00
WA943       1101  13     43.00
WA943       1101  14     46.00
WA943       1101  15     46.00
WA943       1101  16     36.00
WA943       1101  17     38.00
WA943       1101  18     47.00
WA943       1101  19     46.00
WA943       1101  20     39.00
WA943       1101  21     38.00
WA943       1101  22     34.00
