$ Get data for 734:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:34:04 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA734           Sasse Ridge
WA734       0301   4     34.00
WA734       0301   5     50.00
WA734       0301   6     52.00
WA734       0301   7     54.00
WA734       0301   8     40.00
WA734       0301   9     47.00
WA734       0301  10     43.00
WA734       0301  11     45.00
WA734       0301  12     47.00
WA734       0301  13     38.00
WA734       0301  14     41.00
WA734       0301  15     34.00
WA734       0301  16     38.00
WA734       0301  17     47.00
WA734       0301  18     38.00
WA734       0301  19     43.00
WA734       0301  20     51.00
WA734       0301  21     55.00
WA734       0301  22     58.00
WA734       0301  23     58.00
WA734       0301  24     54.00
WA734       0301  25     47.00
WA734       0301  26     41.00
WA734       0301  27     33.00
WA734       0301  28     44.00
WA734       0301  29     43.00
WA734       0301  30     51.00
WA734       0301  31     42.00
WA734       0401   1     45.00
WA734       0401   2     46.00
WA734       0401   3     45.00
WA734       0401   4     49.00
WA734       0401   5     44.00
WA734       0401   6     42.00
WA734       0401   7     45.00
WA734       0401   8     44.00
WA734       0401   9     48.00
WA734       0401  10     36.00
WA734       0401  11     49.00
WA734       0401  12     42.00
WA734       0401  13     43.00
WA734       0401  14     48.00
WA734       0401  15     54.00
WA734       0401  16     61.00
WA734       0401  17     52.00
WA734       0401  18     51.00
WA734       0401  19     56.00
WA734       0401  20     59.00
WA734       0401  21     58.00
WA734       0401  22     48.00
WA734       0401  23     52.00
WA734       0401  24     65.00
WA734       0401  25     71.00
WA734       0401  26     70.00
WA734       0401  27     65.00
WA734       0401  28     54.00
WA734       0401  29     40.00
WA734       0401  30     41.00
WA734       0501   1     50.00
WA734       0501   2     57.00
WA734       0501   3     62.00
WA734       0501   4     62.00
WA734       0501   5     49.00
WA734       0501   6     59.00
WA734       0501   7     69.00
WA734       0501   8     60.00
WA734       0501   9     58.00
WA734       0501  10     63.00
WA734       0501  11     76.00
WA734       0501  12     78.00
WA734       0501  13     62.00
WA734       0501  14     44.00
