$ Get data for 975:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:40:12 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA975           Swamp Creek
WA975       0601  25     60.00
WA975       0601  26     55.00
WA975       0601  27     61.00
WA975       0601  28     60.00
WA975       0601  29     69.00
WA975       0601  30     72.00
WA975       0701   1     67.00
WA975       0701   2     74.00
WA975       0701   3     83.00
WA975       0701   4     80.00
WA975       0701   5     65.00
WA975       0701   6     66.00
WA975       0701   7     73.00
WA975       0701   8     75.00
WA975       0701   9     81.00
WA975       0701  10     80.00
WA975       0701  11     76.00
WA975       0701  12     71.00
WA975       0701  13     71.00
WA975       0701  14     68.00
WA975       0701  15     53.00
WA975       0701  16     53.00
WA975       0701  17     55.00
WA975       0701  18     54.00
WA975       0701  19     65.00
WA975       0701  20     72.00
WA975       0701  21     66.00
WA975       0701  22     69.00
WA975       0701  23     74.00
WA975       0701  24     69.00
WA975       0701  25     72.00
WA975       0701  26     72.00
WA975       0701  27     67.00
WA975       0701  28     55.00
WA975       0701  29     61.00
WA975       0701  30     64.00
WA975       0701  31     65.00
WA975       0801   1     65.00
WA975       0801   2     69.00
WA975       0801   3     61.00
WA975       0801   4     62.00
WA975       0801   5     67.00
WA975       0801   6     67.00
WA975       0801   7     72.00
WA975       0801   8     76.00
WA975       0801   9     82.00
WA975       0801  10     82.00
WA975       0801  11     84.00
WA975       0801  12     87.00
WA975       0801  13     84.00
WA975       0801  14     86.00
WA975       0801  15     82.00
WA975       0801  16     80.00
WA975       0801  17     70.00
WA975       0801  18     62.00
WA975       0801  19     64.00
WA975       0801  20     62.00
WA975       0801  21     60.00
WA975       0801  22     58.00
WA975       0801  23     54.00
WA975       0801  24     60.00
WA975       0801  25     70.00
WA975       0801  26     78.00
WA975       0801  27     70.00
WA975       0801  28     71.00
WA975       0801  29     77.00
WA975       0801  30     74.00
WA975       0801  31     61.00
WA975       0901   1     54.00
WA975       0901   2     65.00
WA975       0901   3     59.00
WA975       0901   4     60.00
WA975       0901   5     55.00
WA975       0901   6     52.00
WA975       0901   7     62.00
WA975       0901   8     69.00
WA975       0901   9     70.00
WA975       0901  10     69.00
WA975       0901  11     74.00
WA975       0901  12     74.00
WA975       0901  13     76.00
WA975       0901  14     81.00
WA975       0901  15     79.00
WA975       0901  16     71.00
WA975       0901  17     64.00
WA975       0901  18     59.00
WA975       0901  19     57.00
WA975       0901  20     64.00
WA975       0901  21     57.00
WA975       0901  22     72.00
WA975       0901  23     78.00
WA975       0901  24     75.00
WA975       0901  25     66.00
WA975       0901  26     52.00
WA975       0901  27     53.00
WA975       0901  28     54.00
WA975       0901  29     59.00
WA975       0901  30     71.00
WA975       1001   1     69.00
WA975       1001   2     64.00
WA975       1001   3     61.00
WA975       1001   4     61.00
WA975       1001   5     62.00
WA975       1001   6     48.00
WA975       1001   7     44.00
WA975       1001   8     46.00
WA975       1001   9     45.00
WA975       1001  10     42.00
WA975       1001  11     40.00
WA975       1001  12     40.00
WA975       1001  13     47.00
WA975       1001  14     48.00
WA975       1001  15     52.00
WA975       1001  16     55.00
WA975       1001  17     36.00
WA975       1001  18     42.00
WA975       1001  19     45.00
WA975       1001  20     45.00
WA975       1001  21     36.00
WA975       1001  22     41.00
WA975       1001  23     35.00
WA975       1001  24     43.00
WA975       1001  25     47.00
WA975       1001  26     49.00
WA975       1001  27     38.00
