$ Get data for 648:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:26:19 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA648           Mount Crag
WA648       0802  23     72.00
WA648       0802  24     70.00
WA648       0802  25     58.00
WA648       0802  26     59.00
WA648       0802  27     75.00
WA648       0802  28     77.00
WA648       0802  29     67.00
WA648       0802  30     61.00
WA648       0802  31     66.00
WA648       0902   1     55.00
WA648       0902   2     62.00
WA648       0902   3     47.00
WA648       0902   4     51.00
WA648       0902   5     53.00
WA648       0902   6     51.00
WA648       0902   7     50.00
WA648       0902   8     48.00
WA648       0902   9     61.00
WA648       0902  10     65.00
WA648       0902  11     70.00
WA648       0902  12     70.00
WA648       0902  13     72.00
WA648       0902  14     69.00
WA648       0902  15     51.00
WA648       0902  16     52.00
WA648       0902  17     45.00
WA648       0902  18     56.00
WA648       0902  19     61.00
WA648       0902  20     53.00
WA648       0902  21     59.00
WA648       0902  22     73.00
WA648       0902  23     69.00
WA648       0902  24     64.00
WA648       0902  25     64.00
WA648       0902  26     58.00
WA648       0902  27     58.00
WA648       0902  28     60.00
WA648       0902  29     45.00
WA648       0902  30     40.00
WA648       1002   1     49.00
WA648       1002   2     51.00
WA648       1002   3     52.00
WA648       1002   4     45.00
WA648       1002   5     47.00
WA648       1002   6     51.00
WA648       1002   7     50.00
WA648       1002   8     54.00
WA648       1002   9     42.00
WA648       1002  10     37.00
WA648       1002  11     37.00
WA648       1002  12     54.00
WA648       1002  13     53.00
WA648       1002  14     57.00
WA648       1002  15     64.00
WA648       1002  16     61.00
WA648       1002  17     61.00
WA648       1002  18     56.00
WA648       1002  19     55.00
WA648       1002  20     49.00
WA648       1002  21     46.00
WA648       1002  22     47.00
WA648       1002  23     48.00
WA648       1002  24     43.00
