$ Get data for 420:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:48:45 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA420           Cougar Mountain
WA420       0701  24     62.00
WA420       0701  25     68.00
WA420       0701  26     66.00
WA420       0701  27     61.00
WA420       0701  28     49.00
WA420       0701  29     54.00
WA420       0701  30     55.00
WA420       0701  31     54.00
WA420       0801   1     63.00
WA420       0801   2     67.00
WA420       0801   3     58.00
WA420       0801   4     56.00
WA420       0801   5     66.00
WA420       0801   6     68.00
WA420       0801   7     66.00
WA420       0801   8     71.00
WA420       0801   9     84.00
WA420       0801  10     80.00
WA420       0801  11     76.00
WA420       0801  12     81.00
WA420       0801  13     75.00
WA420       0801  14     74.00
WA420       0801  15     79.00
WA420       0801  16     65.00
WA420       0801  17     63.00
WA420       0801  18     55.00
WA420       0801  19     61.00
WA420       0801  20     60.00
WA420       0801  21     55.00
WA420       0801  22     57.00
WA420       0801  23     52.00
WA420       0801  24     58.00
WA420       0801  25     68.00
WA420       0801  26     75.00
WA420       0801  27     67.00
WA420       0801  28     66.00
WA420       0801  29     69.00
WA420       0801  30     71.00
WA420       0801  31     59.00
WA420       0901   1     50.00
WA420       0901   2     62.00
WA420       0901   3     52.00
WA420       0901   4     58.00
WA420       0901   5     44.00
WA420       0901   6     48.00
WA420       0901   7     56.00
WA420       0901   8     68.00
WA420       0901   9     69.00
WA420       0901  10     67.00
WA420       0901  11     70.00
WA420       0901  12     70.00
WA420       0901  13     71.00
WA420       0901  14     72.00
WA420       0901  15     71.00
WA420       0901  16     65.00
WA420       0901  17     52.00
WA420       0901  18     53.00
WA420       0901  19     51.00
WA420       0901  20     61.00
WA420       0901  21     56.00
WA420       0901  22     71.00
WA420       0901  23     76.00
WA420       0901  24     71.00
WA420       0901  25     57.00
WA420       0901  26     49.00
WA420       0901  27     50.00
WA420       0901  28     52.00
WA420       0901  29     61.00
WA420       0901  30     69.00
WA420       1001   1     68.00
WA420       1001   2     60.00
WA420       1001   3     58.00
WA420       1001   4     62.00
WA420       1001   5     60.00
WA420       1001   6     47.00
WA420       1001   7     46.00
WA420       1001   8     43.00
WA420       1001   9     42.00
WA420       1001  10     44.00
WA420       1001  11     38.00
WA420       1001  12     46.00
WA420       1001  13     45.00
WA420       1001  14     47.00
WA420       1001  15     53.00
WA420       1001  16     50.00
WA420       1001  17     40.00
WA420       1001  18     42.00
WA420       1001  19     44.00
WA420       1001  20     44.00
WA420       1001  21     42.00
WA420       1001  22     45.00
WA420       1001  23     35.00
WA420       1001  24     35.00
WA420       1001  25     45.00
WA420       1001  26     51.00
WA420       1001  27     41.00
WA420       1001  28     37.00
WA420       1001  29     44.00
WA420       1001  30     44.00
WA420       1001  31     41.00
WA420       1101   1     41.00
WA420       1101   2     46.00
WA420       1101   3     52.00
WA420       1101   4     49.00
WA420       1101   5     37.00
WA420       1101   6     36.00
WA420       1101   7     41.00
WA420       1101   8     48.00
WA420       1101   9     53.00
WA420       1101  10     53.00
WA420       1101  11     49.00
WA420       1101  12     49.00
WA420       1101  13     46.00
WA420       1101  14     49.00
WA420       1101  15     51.00
WA420       1101  16     40.00
WA420       1101  17     38.00
WA420       1101  18     41.00
WA420       1101  19     42.00
WA420       1101  20     44.00
WA420       1101  21     38.00
WA420       1101  22     37.00
WA420       1101  23     33.00
WA420       1101  24     33.00
WA420       1101  25     31.00
WA420       1101  26     32.00
WA420       1101  27     32.00
WA420       1101  28     30.00
WA420       1101  29     32.00
WA420       1101  30     32.00
WA420       1201   1     37.00
WA420       1201   2     33.00
WA420       1201   3     28.00
WA420       1201   4     29.00
WA420       1201   5     28.00
WA420       1201   6     32.00
WA420       1201   7     33.00
WA420       1201   8     39.00
WA420       1201   9     31.00
WA420       1201  10     30.00
WA420       1201  11     32.00
WA420       1201  12     37.00
WA420       1201  13     39.00
WA420       1201  14     31.00
WA420       1201  15     35.00
WA420       1201  16     44.00
WA420       1201  17     31.00
WA420       1201  18     29.00
WA420       1201  19     31.00
WA420       1201  20     32.00
WA420       1201  21     33.00
WA420       1201  22     33.00
WA420       1201  23     35.00
WA420       1201  24     33.00
WA420       1201  25     28.00
WA420       1201  26     31.00
WA420       1201  27     33.00
WA420       1201  28     40.00
WA420       1201  29     37.00
WA420       1201  30     36.00
WA420       1201  31     34.00
WA420       0102   1     35.00
WA420       0102   2     37.00
WA420       0102   3     35.00
WA420       0102   4     39.00
WA420       0102   5     38.00
WA420       0102   6     45.00
WA420       0102   7     46.00
WA420       0102   8     40.00
WA420       0102   9     40.00
WA420       0102  10     40.00
WA420       0102  11     42.00
WA420       0102  12     38.00
WA420       0102  13     31.00
WA420       0102  14     29.00
WA420       0102  15     29.00
WA420       0102  16     28.00
WA420       0102  17     29.00
WA420       0102  18     31.00
WA420       0102  19     31.00
WA420       0102  20     32.00
WA420       0102  21     28.00
WA420       0102  22     26.00
WA420       0102  23     32.00
WA420       0102  24     33.00
WA420       0102  25     33.00
WA420       0102  26     26.00
WA420       0102  27     29.00
WA420       0102  28     30.00
WA420       0102  29     26.00
WA420       0102  30     31.00
WA420       0102  31     32.00
WA420       0202   1     33.00
WA420       0202   2     33.00
WA420       0202   3     33.00
WA420       0202   4     37.00
WA420       0202   5     35.00
WA420       0202   6     37.00
WA420       0202   7     33.00
WA420       0202   8     31.00
WA420       0202   9     35.00
WA420       0202  10     43.00
WA420       0202  11     31.00
WA420       0202  12     36.00
WA420       0202  13     36.00
WA420       0202  14     43.00
WA420       0202  15     42.00
WA420       0202  16     43.00
WA420       0202  17     36.00
WA420       0202  18     39.00
WA420       0202  19     39.00
WA420       0202  20     38.00
WA420       0202  21     47.00
WA420       0202  22     43.00
WA420       0202  23     39.00
WA420       0202  24     29.00
WA420       0202  25     30.00
WA420       0202  26     37.00
WA420       0202  27     38.00
WA420       0202  28     32.00
WA420       0302   1     34.00
WA420       0302   2     43.00
WA420       0302   3     49.00
WA420       0302   4     46.00
WA420       0302   5     34.00
WA420       0302   6     29.00
WA420       0302   7     26.00
WA420       0302   8     24.00
WA420       0302   9     31.00
WA420       0302  10     34.00
WA420       0302  11     38.00
WA420       0302  12     34.00
WA420       0302  13     33.00
WA420       0302  14     30.00
WA420       0302  15     35.00
WA420       0302  16     33.00
WA420       0302  17     27.00
WA420       0302  18     30.00
WA420       0302  19     32.00
WA420       0302  20     34.00
WA420       0302  21     33.00
WA420       0302  22     41.00
WA420       0302  23     48.00
WA420       0302  24     36.00
WA420       0302  25     41.00
WA420       0302  26     38.00
WA420       0302  27     32.00
WA420       0302  28     33.00
WA420       0302  29     34.00
WA420       0302  30     39.00
WA420       0302  31     37.00
WA420       0402   1     38.00
WA420       0402   2     46.00
WA420       0402   3     56.00
WA420       0402   4     63.00
WA420       0402   5     50.00
WA420       0402   6     38.00
WA420       0402   7     36.00
WA420       0402   8     55.00
WA420       0402   9     44.00
WA420       0402  10     43.00
WA420       0402  11     45.00
WA420       0402  12     46.00
WA420       0402  13     46.00
WA420       0402  14     42.00
WA420       0402  15     34.00
WA420       0402  16     36.00
WA420       0402  17     39.00
WA420       0402  18     40.00
WA420       0402  19     47.00
WA420       0402  20     38.00
WA420       0402  21     36.00
WA420       0402  22     36.00
WA420       0402  23     38.00
WA420       0402  24     51.00
WA420       0402  25     52.00
WA420       0402  26     38.00
WA420       0402  27     38.00
WA420       0402  28     52.00
WA420       0402  29     60.00
WA420       0402  30     61.00
WA420       0502   1     56.00
WA420       0502   2     38.00
WA420       0502   3     41.00
WA420       0502   4     37.00
WA420       0502   5     32.00
WA420       0502   6     35.00
WA420       0502   7     36.00
WA420       0502   8     49.00
WA420       0502   9     43.00
WA420       0502  10     44.00
WA420       0502  11     56.00
WA420       0502  12     63.00
WA420       0502  13     54.00
WA420       0502  14     43.00
WA420       0502  15     47.00
WA420       0502  16     63.00
WA420       0502  17     51.00
WA420       0502  18     50.00
WA420       0502  19     60.00
WA420       0502  20     45.00
WA420       0502  21     42.00
WA420       0502  22     43.00
WA420       0502  23     48.00
WA420       0502  24     61.00
WA420       0502  25     57.00
WA420       0502  26     54.00
WA420       0502  27     60.00
WA420       0502  28     56.00
WA420       0502  29     49.00
WA420       0502  30     56.00
WA420       0502  31     53.00
WA420       0602   1     59.00
WA420       0602   2     59.00
WA420       0602   3     60.00
WA420       0602   4     50.00
WA420       0602   5     53.00
WA420       0602   6     46.00
WA420       0602   7     40.00
WA420       0602   8     40.00
WA420       0602   9     59.00
WA420       0602  10     63.00
WA420       0602  11     69.00
WA420       0602  12     80.00
WA420       0602  13     80.00
WA420       0602  14     69.00
WA420       0602  15     66.00
WA420       0602  16     53.00
WA420       0602  17     56.00
WA420       0602  18     45.00
WA420       0602  19     54.00
WA420       0602  20     72.00
WA420       0602  21     77.00
WA420       0602  22     74.00
WA420       0602  23     61.00
WA420       0602  24     69.00
WA420       0602  25     81.00
WA420       0602  26     78.00
WA420       0602  27     59.00
WA420       0602  28     55.00
WA420       0602  29     53.00
WA420       0602  30     49.00
WA420       0702   1     56.00
WA420       0702   2     64.00
WA420       0702   3     53.00
WA420       0702   4     51.00
WA420       0702   5     66.00
WA420       0702   6     72.00
WA420       0702   7     74.00
WA420       0702   8     55.00
WA420       0702   9     80.00
WA420       0702  10     90.00
WA420       0702  11     74.00
WA420       0702  12     81.00
WA420       0702  13     73.00
