$ Get data for 912:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:36:44 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA912           Skookum Creek
WA912       0501  16     44.00
WA912       0501  17     45.00
WA912       0501  18     51.00
WA912       0501  19     47.00
WA912       0501  20     57.00
WA912       0501  21     73.00
WA912       0501  22     85.00
WA912       0501  23     80.00
WA912       0501  24     68.00
WA912       0501  25     73.00
WA912       0501  26     72.00
WA912       0501  27     60.00
WA912       0501  28     44.00
WA912       0501  29     54.00
WA912       0501  30     57.00
WA912       0501  31     83.00
WA912       0601   1     62.00
WA912       0601   2     42.00
WA912       0601   3     45.00
WA912       0601   4     44.00
WA912       0601   5     46.00
WA912       0601   6     56.00
WA912       0601   7     68.00
WA912       0601   8     68.00
WA912       0601   9     47.00
WA912       0601  10     48.00
WA912       0601  11     40.00
WA912       0601  12     48.00
WA912       0601  13     52.00
WA912       0601  14     52.00
WA912       0601  15     56.00
WA912       0601  16     57.00
WA912       0601  17     54.00
WA912       0601  18     59.00
WA912       0601  19     74.00
WA912       0601  20     77.00
WA912       0601  21     74.00
WA912       0601  22     56.00
WA912       0601  23     60.00
WA912       0601  24     48.00
WA912       0601  25     59.00
WA912       0601  26     65.00
WA912       0601  27     57.00
WA912       0601  28     57.00
WA912       0601  29     64.00
WA912       0601  30     66.00
WA912       0701   1     66.00
WA912       0701   2     74.00
WA912       0701   3     79.00
WA912       0701   4     77.00
WA912       0701   5     64.00
WA912       0701   6     68.00
WA912       0701   7     71.00
WA912       0701   8     74.00
WA912       0701   9     79.00
WA912       0701  10     77.00
WA912       0701  11     73.00
WA912       0701  12     72.00
WA912       0701  13     64.00
WA912       0701  14     61.00
WA912       0701  15     48.00
WA912       0701  16     50.00
WA912       0701  17     54.00
WA912       0701  18     56.00
WA912       0701  19     65.00
WA912       0701  20     55.00
WA912       0701  21     58.00
WA912       0701  22     62.00
WA912       0701  23     73.00
WA912       0701  24     64.00
WA912       0701  25     70.00
WA912       0701  26     71.00
WA912       0701  27     60.00
WA912       0701  28     48.00
WA912       0701  29     55.00
WA912       0701  30     58.00
