$ Get data for 910:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:50:53 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA910           Elbow Lake
WA910       0502  17     58.00
WA910       0502  18     55.00
WA910       0502  19     65.00
WA910       0502  20     46.00
WA910       0502  21     51.00
WA910       0502  22     46.00
WA910       0502  23     54.00
WA910       0502  24     63.00
WA910       0502  25     53.00
WA910       0502  26     56.00
WA910       0502  27     68.00
WA910       0502  28     56.00
WA910       0502  29     54.00
WA910       0502  30     62.00
WA910       0502  31     61.00
WA910       0602   1     65.00
WA910       0602   2     66.00
WA910       0602   3     66.00
WA910       0602   4     55.00
WA910       0602   5     53.00
WA910       0602   6     53.00
WA910       0602   7     47.00
WA910       0602   8     58.00
WA910       0602   9     73.00
WA910       0602  10     71.00
WA910       0602  11     73.00
WA910       0602  12     81.00
WA910       0602  13     83.00
WA910       0602  14     77.00
WA910       0602  15     68.00
WA910       0602  16     61.00
WA910       0602  17     54.00
WA910       0602  18     48.00
WA910       0602  19     62.00
WA910       0602  20     74.00
WA910       0602  21     79.00
WA910       0602  22     78.00
WA910       0602  23     68.00
WA910       0602  24     70.00
WA910       0602  25     85.00
WA910       0602  26     87.00
WA910       0602  27     61.00
WA910       0602  28     51.00
WA910       0602  29     53.00
WA910       0602  30     56.00
WA910       0702   1     56.00
WA910       0702   2     66.00
WA910       0702   3     58.00
WA910       0702   4     53.00
WA910       0702   5     68.00
WA910       0702   6     78.00
WA910       0702   7     68.00
WA910       0702   8     58.00
WA910       0702   9     82.00
WA910       0702  10     90.00
WA910       0702  11     82.00
WA910       0702  12     83.00
WA910       0702  13     77.00
WA910       0702  14     70.00
WA910       0702  15     76.00
WA910       0702  16     78.00
WA910       0702  17     76.00
WA910       0702  18     75.00
WA910       0702  19     62.00
WA910       0702  20     75.00
WA910       0702  21     83.00
WA910       0702  22     89.00
WA910       0702  23     87.00
WA910       0702  24     84.00
WA910       0702  25     77.00
WA910       0702  26     67.00
WA910       0702  27     60.00
WA910       0702  28     53.00
WA910       0702  29     53.00
WA910       0702  30     63.00
WA910       0702  31     66.00
WA910       0802   1     70.00
WA910       0802   2     53.00
WA910       0802   3     63.00
WA910       0802   4     49.00
WA910       0802   5     58.00
WA910       0802   6     53.00
WA910       0802   7     64.00
WA910       0802   8     71.00
WA910       0802   9     72.00
WA910       0802  10     69.00
WA910       0802  11     74.00
WA910       0802  12     84.00
WA910       0802  13     88.00
WA910       0802  14     81.00
WA910       0802  15     79.00
WA910       0802  16     76.00
WA910       0802  17     72.00
WA910       0802  18     75.00
WA910       0802  19     70.00
WA910       0802  20     57.00
WA910       0802  21     63.00
WA910       0802  22     73.00
WA910       0802  23     78.00
WA910       0802  24     77.00
WA910       0802  25     71.00
WA910       0802  26     65.00
WA910       0802  27     80.00
WA910       0802  28     85.00
WA910       0802  29     76.00
WA910       0802  30     66.00
WA910       0802  31     71.00
WA910       0902   1     59.00
WA910       0902   2     53.00
WA910       0902   3     56.00
WA910       0902   4     61.00
WA910       0902   5     60.00
WA910       0902   6     61.00
WA910       0902   7     52.00
WA910       0902   8     55.00
WA910       0902   9     67.00
WA910       0902  10     74.00
WA910       0902  11     76.00
WA910       0902  12     77.00
WA910       0902  13     79.00
WA910       0902  14     78.00
WA910       0902  15     61.00
WA910       0902  16     52.00
WA910       0902  17     55.00
WA910       0902  18     55.00
WA910       0902  19     53.00
WA910       0902  20     59.00
WA910       0902  21     68.00
WA910       0902  22     72.00
WA910       0902  23     72.00
WA910       0902  24     72.00
WA910       0902  25     70.00
WA910       0902  26     58.00
WA910       0902  27     67.00
WA910       0902  28     66.00
WA910       0902  29     47.00
WA910       0902  30     49.00
WA910       1002   1     57.00
WA910       1002   2     48.00
WA910       1002   3     59.00
WA910       1002   4     51.00
WA910       1002   5     44.00
WA910       1002   6     57.00
WA910       1002   7     57.00
WA910       1002   8     56.00
WA910       1002   9     57.00
WA910       1002  10   -999.00
WA910       1002  11   -999.00
WA910       1002  12   -999.00
WA910       1002  13   -999.00
WA910       1002  14   -999.00
WA910       1002  15   -999.00
WA910       1002  16   -999.00
WA910       1002  17   -999.00
WA910       1002  18   -999.00
WA910       1002  19   -999.00
WA910       1002  20   -999.00
WA910       1002  21   -999.00
WA910       1002  22   -999.00
WA910       1002  23   -999.00
