$ Get data for 776:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:37:51 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA776           Spencer Meadow
WA776       0102   4     35.00
WA776       0102   5     36.00
WA776       0102   6     47.00
WA776       0102   7     47.00
WA776       0102   8     42.00
WA776       0102   9     40.00
WA776       0102  10     42.00
WA776       0102  11     43.00
WA776       0102  12     37.00
WA776       0102  13     32.00
WA776       0102  14     32.00
WA776       0102  15     31.00
WA776       0102  16     27.00
WA776       0102  17     27.00
WA776       0102  18     30.00
WA776       0102  19     30.00
WA776       0102  20     32.00
WA776       0102  21     29.00
WA776       0102  22     26.00
WA776       0102  23     31.00
WA776       0102  24     32.00
WA776       0102  25     32.00
WA776       0102  26     29.00
WA776       0102  27     26.00
WA776       0102  28     38.00
WA776       0102  29   -999.00
WA776       0102  30     29.00
WA776       0102  31   -999.00
WA776       0202   1   -999.00
WA776       0202   2   -999.00
WA776       0202   3   -999.00
WA776       0202   4   -999.00
WA776       0202   5   -999.00
WA776       0202   6   -999.00
WA776       0202   7   -999.00
WA776       0202   8   -999.00
WA776       0202   9   -999.00
WA776       0202  10   -999.00
WA776       0202  11     39.00
WA776       0202  12     36.00
WA776       0202  13     38.00
WA776       0202  14     45.00
WA776       0202  15     44.00
WA776       0202  16     45.00
WA776       0202  17     41.00
WA776       0202  18     38.00
WA776       0202  19     37.00
WA776       0202  20     44.00
WA776       0202  21     44.00
WA776       0202  22     43.00
WA776       0202  23     38.00
WA776       0202  24     34.00
WA776       0202  25     36.00
WA776       0202  26     42.00
WA776       0202  27     44.00
WA776       0202  28     37.00
WA776       0302   1     40.00
WA776       0302   2     45.00
WA776       0302   3     54.00
WA776       0302   4     45.00
WA776       0302   5     33.00
WA776       0302   6     33.00
WA776       0302   7     25.00
WA776       0302   8     28.00
WA776       0302   9     37.00
WA776       0302  10     35.00
WA776       0302  11     39.00
WA776       0302  12     31.00
WA776       0302  13     31.00
WA776       0302  14     33.00
WA776       0302  15     32.00
WA776       0302  16     28.00
WA776       0302  17     34.00
WA776       0302  18     28.00
WA776       0302  19     33.00
WA776       0302  20     46.00
WA776       0302  21     33.00
WA776       0302  22     47.00
WA776       0302  23     45.00
WA776       0302  24     37.00
WA776       0302  25     50.00
WA776       0302  26     42.00
WA776       0302  27     35.00
WA776       0302  28     38.00
WA776       0302  29     43.00
WA776       0302  30     49.00
WA776       0302  31     45.00
WA776       0402   1     45.00
WA776       0402   2     52.00
WA776       0402   3     58.00
WA776       0402   4     68.00
WA776       0402   5     43.00
WA776       0402   6     41.00
WA776       0402   7     41.00
WA776       0402   8     58.00
WA776       0402   9     43.00
WA776       0402  10     41.00
WA776       0402  11     43.00
WA776       0402  12     42.00
WA776       0402  13     48.00
WA776       0402  14     43.00
WA776       0402  15     33.00
WA776       0402  16     37.00
WA776       0402  17     42.00
WA776       0402  18     46.00
WA776       0402  19     47.00
WA776       0402  20     46.00
WA776       0402  21     42.00
WA776       0402  22     37.00
WA776       0402  23     43.00
WA776       0402  24     58.00
WA776       0402  25     54.00
WA776       0402  26     36.00
WA776       0402  27     39.00
WA776       0402  28     56.00
WA776       0402  29     63.00
WA776       0402  30     54.00
WA776       0502   1     53.00
WA776       0502   2     40.00
WA776       0502   3     44.00
WA776       0502   4     44.00
WA776       0502   5     36.00
WA776       0502   6     33.00
WA776       0502   7     39.00
WA776       0502   8     53.00
WA776       0502   9     42.00
WA776       0502  10     52.00
WA776       0502  11     59.00
WA776       0502  12     68.00
WA776       0502  13     43.00
WA776       0502  14     47.00
WA776       0502  15     50.00
WA776       0502  16     59.00
WA776       0502  17     53.00
WA776       0502  18     56.00
WA776       0502  19     56.00
WA776       0502  20     55.00
WA776       0502  21     45.00
WA776       0502  22     46.00
WA776       0502  23     56.00
WA776       0502  24     64.00
WA776       0502  25     58.00
WA776       0502  26     62.00
WA776       0502  27     56.00
WA776       0502  28     52.00
WA776       0502  29     56.00
WA776       0502  30     61.00
WA776       0502  31     60.00
WA776       0602   1     62.00
WA776       0602   2     59.00
WA776       0602   3     61.00
WA776       0602   4     56.00
WA776       0602   5     58.00
WA776       0602   6     49.00
WA776       0602   7     47.00
WA776       0602   8     46.00
WA776       0602   9     60.00
WA776       0602  10     64.00
WA776       0602  11     73.00
WA776       0602  12     79.00
WA776       0602  13     83.00
WA776       0602  14     74.00
WA776       0602  15     71.00
WA776       0602  16     51.00
WA776       0602  17     49.00
WA776       0602  18     46.00
WA776       0602  19     63.00
WA776       0602  20     77.00
WA776       0602  21     79.00
WA776       0602  22     67.00
WA776       0602  23     64.00
WA776       0602  24     69.00
WA776       0602  25     86.00
WA776       0602  26     84.00
WA776       0602  27     57.00
WA776       0602  28     51.00
WA776       0602  29     56.00
WA776       0602  30     53.00
WA776       0702   1     61.00
WA776       0702   2     70.00
WA776       0702   3     55.00
WA776       0702   4     53.00
WA776       0702   5     72.00
WA776       0702   6     75.00
WA776       0702   7     76.00
WA776       0702   8     61.00
WA776       0702   9     82.00
WA776       0702  10     90.00
WA776       0702  11     83.00
WA776       0702  12     90.00
WA776       0702  13     74.00
WA776       0702  14     68.00
WA776       0702  15     74.00
WA776       0702  16     74.00
WA776       0702  17     72.00
WA776       0702  18     70.00
WA776       0702  19     65.00
WA776       0702  20     74.00
WA776       0702  21     85.00
WA776       0702  22     89.00
WA776       0702  23     80.00
WA776       0702  24     82.00
WA776       0702  25     71.00
WA776       0702  26     62.00
WA776       0702  27     61.00
WA776       0702  28     63.00
WA776       0702  29     71.00
WA776       0702  30     62.00
WA776       0702  31     66.00
WA776       0802   1     73.00
WA776       0802   2     62.00
WA776       0802   3     69.00
WA776       0802   4     55.00
WA776       0802   5     59.00
WA776       0802   6     56.00
WA776       0802   7     65.00
WA776       0802   8     70.00
WA776       0802   9     76.00
WA776       0802  10     69.00
WA776       0802  11     76.00
WA776       0802  12     85.00
WA776       0802  13     90.00
WA776       0802  14     78.00
WA776       0802  15     76.00
WA776       0802  16     79.00
WA776       0802  17     71.00
WA776       0802  18     77.00
WA776       0802  19     64.00
WA776       0802  20     58.00
WA776       0802  21     59.00
WA776       0802  22     75.00
WA776       0802  23     75.00
WA776       0802  24     74.00
WA776       0802  25     63.00
WA776       0802  26     62.00
WA776       0802  27     80.00
WA776       0802  28     85.00
WA776       0802  29     70.00
WA776       0802  30     59.00
WA776       0802  31     70.00
WA776       0902   1     62.00
WA776       0902   2     69.00
WA776       0902   3     58.00
WA776       0902   4     59.00
WA776       0902   5     58.00
WA776       0902   6     60.00
WA776       0902   7     53.00
WA776       0902   8     58.00
WA776       0902   9     72.00
WA776       0902  10     76.00
WA776       0902  11     83.00
WA776       0902  12     78.00
WA776       0902  13     86.00
WA776       0902  14     74.00
WA776       0902  15     59.00
WA776       0902  16     51.00
WA776       0902  17     56.00
WA776       0902  18     65.00
WA776       0902  19     64.00
WA776       0902  20     65.00
WA776       0902  21     67.00
WA776       0902  22     79.00
WA776       0902  23     80.00
WA776       0902  24     74.00
WA776       0902  25     72.00
WA776       0902  26     65.00
WA776       0902  27     64.00
WA776       0902  28     69.00
WA776       0902  29     46.00
WA776       0902  30     41.00
WA776       1002   1     50.00
WA776       1002   2     56.00
WA776       1002   3     45.00
WA776       1002   4     50.00
WA776       1002   5     47.00
WA776       1002   6     66.00
WA776       1002   7     60.00
WA776       1002   8     58.00
WA776       1002   9     53.00
WA776       1002  10     47.00
WA776       1002  11     46.00
WA776       1002  12     56.00
WA776       1002  13     64.00
WA776       1002  14     64.00
WA776       1002  15     68.00
WA776       1002  16     69.00
WA776       1002  17     70.00
WA776       1002  18     55.00
WA776       1002  19     53.00
WA776       1002  20     57.00
WA776       1002  21     58.00
WA776       1002  22     64.00
WA776       1002  23     56.00
