$ Get data for 642:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:24:53 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA642           Morse Lake
WA642       0401  21     46.00
WA642       0401  22     36.00
WA642       0401  23     45.00
WA642       0401  24     57.00
WA642       0401  25     64.00
WA642       0401  26     58.00
WA642       0401  27     51.00
WA642       0401  28     37.00
WA642       0401  29     38.00
WA642       0401  30     36.00
WA642       0501   1     35.00
WA642       0501   2     44.00
WA642       0501   3     51.00
WA642       0501   4     50.00
WA642       0501   5     35.00
WA642       0501   6     51.00
WA642       0501   7     60.00
WA642       0501   8     50.00
WA642       0501   9     47.00
WA642       0501  10     54.00
WA642       0501  11     65.00
WA642       0501  12     61.00
WA642       0501  13     49.00
WA642       0501  14     39.00
WA642       0501  15     38.00
WA642       0501  16     37.00
WA642       0501  17     43.00
WA642       0501  18     48.00
WA642       0501  19     47.00
WA642       0501  20     52.00
WA642       0501  21     69.00
WA642       0501  22     74.00
WA642       0501  23     74.00
WA642       0501  24     65.00
WA642       0501  25     66.00
WA642       0501  26     69.00
WA642       0501  27     55.00
WA642       0501  28     40.00
WA642       0501  29     45.00
WA642       0501  30     56.00
WA642       0501  31     71.00
WA642       0601   1     52.00
WA642       0601   2     37.00
WA642       0601   3     40.00
WA642       0601   4     44.00
WA642       0601   5     40.00
WA642       0601   6     50.00
WA642       0601   7     60.00
WA642       0601   8     58.00
WA642       0601   9     43.00
WA642       0601  10     46.00
WA642       0601  11     36.00
WA642       0601  12     35.00
WA642       0601  13     53.00
WA642       0601  14     47.00
WA642       0601  15     50.00
WA642       0601  16     48.00
WA642       0601  17     48.00
WA642       0601  18     56.00
WA642       0601  19     67.00
WA642       0601  20     70.00
WA642       0601  21     67.00
WA642       0601  22     58.00
WA642       0601  23     51.00
WA642       0601  24     41.00
WA642       0601  25     54.00
WA642       0601  26     51.00
WA642       0601  27     50.00
WA642       0601  28     51.00
WA642       0601  29     61.00
WA642       0601  30     61.00
WA642       0701   1     60.00
WA642       0701   2     70.00
WA642       0701   3     78.00
WA642       0701   4     73.00
WA642       0701   5     57.00
WA642       0701   6     59.00
WA642       0701   7     67.00
WA642       0701   8     70.00
WA642       0701   9     76.00
WA642       0701  10     73.00
WA642       0701  11     71.00
WA642       0701  12     68.00
WA642       0701  13     66.00
WA642       0701  14     60.00
WA642       0701  15     48.00
WA642       0701  16     42.00
WA642       0701  17     44.00
WA642       0701  18     49.00
WA642       0701  19     58.00
WA642       0701  20     57.00
WA642       0701  21     55.00
WA642       0701  22     60.00
WA642       0701  23     67.00
WA642       0701  24     61.00
WA642       0701  25     65.00
WA642       0701  26     64.00
WA642       0701  27     60.00
WA642       0701  28     50.00
WA642       0701  29     52.00
WA642       0701  30     56.00
WA642       0701  31     57.00
WA642       0801   1     61.00
WA642       0801   2     65.00
WA642       0801   3     56.00
WA642       0801   4     58.00
WA642       0801   5     62.00
WA642       0801   6     70.00
WA642       0801   7     66.00
WA642       0801   8     75.00
WA642       0801   9     79.00
WA642       0801  10     77.00
WA642       0801  11     77.00
WA642       0801  12     82.00
WA642       0801  13     78.00
WA642       0801  14     81.00
WA642       0801  15     82.00
WA642       0801  16     82.00
WA642       0801  17     64.00
WA642       0801  18     55.00
WA642       0801  19     60.00
WA642       0801  20     60.00
WA642       0801  21     49.00
WA642       0801  22     48.00
WA642       0801  23     44.00
WA642       0801  24     57.00
WA642       0801  25     72.00
WA642       0801  26     76.00
WA642       0801  27     66.00
WA642       0801  28     65.00
WA642       0801  29     73.00
WA642       0801  30     70.00
WA642       0801  31     56.00
WA642       0901   1     49.00
WA642       0901   2     62.00
WA642       0901   3     52.00
WA642       0901   4     57.00
WA642       0901   5     38.00
WA642       0901   6     53.00
WA642       0901   7     57.00
WA642       0901   8     68.00
WA642       0901   9     71.00
WA642       0901  10     67.00
WA642       0901  11     72.00
WA642       0901  12     73.00
WA642       0901  13     75.00
WA642       0901  14     75.00
WA642       0901  15     71.00
WA642       0901  16     68.00
WA642       0901  17     64.00
WA642       0901  18     55.00
WA642       0901  19     54.00
WA642       0901  20     65.00
WA642       0901  21     58.00
WA642       0901  22     71.00
WA642       0901  23     76.00
WA642       0901  24     71.00
WA642       0901  25     57.00
WA642       0901  26     43.00
WA642       0901  27     44.00
WA642       0901  28     51.00
WA642       0901  29     59.00
WA642       0901  30     67.00
WA642       1001   1     68.00
WA642       1001   2     62.00
WA642       1001   3     66.00
WA642       1001   4     56.00
WA642       1001   5     57.00
WA642       1001   6     46.00
WA642       1001   7     43.00
WA642       1001   8     40.00
WA642       1001   9     39.00
WA642       1001  10     42.00
WA642       1001  11     38.00
WA642       1001  12     43.00
WA642       1001  13     43.00
WA642       1001  14     49.00
WA642       1001  15     50.00
WA642       1001  16     51.00
WA642       1001  17     39.00
WA642       1001  18     40.00
WA642       1001  19     44.00
WA642       1001  20     53.00
WA642       1001  21     43.00
WA642       1001  22     36.00
WA642       1001  23     30.00
WA642       1001  24     34.00
WA642       1001  25     35.00
WA642       1001  26     47.00
WA642       1001  27     42.00
WA642       1001  28     35.00
WA642       1001  29     36.00
WA642       1001  30     39.00
WA642       1001  31     33.00
WA642       1101   1     37.00
WA642       1101   2     40.00
WA642       1101   3     51.00
WA642       1101   4     51.00
WA642       1101   5     33.00
WA642       1101   6     36.00
WA642       1101   7     37.00
WA642       1101   8     39.00
WA642       1101   9     56.00
WA642       1101  10     49.00
WA642       1101  11     41.00
WA642       1101  12     38.00
WA642       1101  13     40.00
WA642       1101  14     44.00
WA642       1101  15     42.00
WA642       1101  16     35.00
WA642       1101  17     34.00
WA642       1101  18     35.00
WA642       1101  19     34.00
WA642       1101  20     33.00
WA642       1101  21     32.00
WA642       1101  22     35.00
WA642       1101  23     32.00
WA642       1101  24     24.00
WA642       1101  25     28.00
WA642       1101  26     29.00
WA642       1101  27     26.00
WA642       1101  28     28.00
WA642       1101  29     28.00
WA642       1101  30     28.00
WA642       1201   1     29.00
WA642       1201   2     26.00
WA642       1201   3     24.00
WA642       1201   4     24.00
WA642       1201   5     23.00
WA642       1201   6     27.00
WA642       1201   7     36.00
WA642       1201   8     39.00
WA642       1201   9     25.00
WA642       1201  10     26.00
WA642       1201  11     27.00
WA642       1201  12     33.00
WA642       1201  13     33.00
WA642       1201  14     26.00
WA642       1201  15     29.00
WA642       1201  16     33.00
WA642       1201  17     26.00
WA642       1201  18     25.00
WA642       1201  19     25.00
WA642       1201  20     27.00
WA642       1201  21     33.00
WA642       1201  22     24.00
WA642       1201  23     23.00
WA642       1201  24     26.00
WA642       1201  25     20.00
WA642       1201  26     18.00
WA642       1201  27     22.00
WA642       1201  28     32.00
WA642       1201  29     26.00
WA642       1201  30     26.00
WA642       1201  31     31.00
WA642       0102   1     26.00
WA642       0102   2     33.00
WA642       0102   3     32.00
WA642       0102   4     32.00
WA642       0102   5     32.00
WA642       0102   6     40.00
WA642       0102   7     41.00
WA642       0102   8     35.00
WA642       0102   9     31.00
WA642       0102  10     38.00
WA642       0102  11     33.00
WA642       0102  12     36.00
WA642       0102  13     29.00
WA642       0102  14     27.00
WA642       0102  15     31.00
WA642       0102  16     28.00
WA642       0102  17     28.00
WA642       0102  18     26.00
WA642       0102  19     26.00
WA642       0102  20     29.00
WA642       0102  21     22.00
WA642       0102  22     22.00
WA642       0102  23     31.00
WA642       0102  24     31.00
WA642       0102  25     27.00
WA642       0102  26     22.00
WA642       0102  27     21.00
WA642       0102  28     24.00
WA642       0102  29     20.00
WA642       0102  30     26.00
WA642       0102  31     29.00
WA642       0202   1     28.00
WA642       0202   2     34.00
WA642       0202   3     29.00
WA642       0202   4     37.00
WA642       0202   5     33.00
WA642       0202   6     28.00
WA642       0202   7     28.00
WA642       0202   8     27.00
WA642       0202   9     35.00
WA642       0202  10     40.00
WA642       0202  11     29.00
WA642       0202  12     31.00
WA642       0202  13     34.00
WA642       0202  14     43.00
WA642       0202  15     41.00
WA642       0202  16     38.00
WA642       0202  17     34.00
WA642       0202  18     34.00
WA642       0202  19     36.00
WA642       0202  20     39.00
WA642       0202  21     42.00
WA642       0202  22     42.00
WA642       0202  23     39.00
WA642       0202  24     27.00
WA642       0202  25     27.00
WA642       0202  26     36.00
WA642       0202  27     38.00
WA642       0202  28     29.00
WA642       0302   1     34.00
WA642       0302   2     39.00
WA642       0302   3     51.00
WA642       0302   4     41.00
WA642       0302   5     31.00
WA642       0302   6     32.00
WA642       0302   7     19.00
WA642       0302   8     19.00
WA642       0302   9     28.00
WA642       0302  10     31.00
WA642       0302  11     33.00
WA642       0302  12     33.00
WA642       0302  13     29.00
WA642       0302  14     27.00
WA642       0302  15     28.00
WA642       0302  16     25.00
WA642       0302  17     26.00
WA642       0302  18     24.00
WA642       0302  19     30.00
WA642       0302  20     35.00
WA642       0302  21     29.00
WA642       0302  22     37.00
WA642       0302  23     38.00
WA642       0302  24     35.00
WA642       0302  25     46.00
WA642       0302  26     36.00
WA642       0302  27     34.00
WA642       0302  28     37.00
WA642       0302  29     34.00
WA642       0302  30     43.00
WA642       0302  31     42.00
WA642       0402   1     41.00
WA642       0402   2     46.00
WA642       0402   3     51.00
WA642       0402   4     62.00
WA642       0402   5     50.00
WA642       0402   6     39.00
WA642       0402   7     37.00
WA642       0402   8     50.00
WA642       0402   9     40.00
WA642       0402  10     41.00
WA642       0402  11     41.00
WA642       0402  12     39.00
WA642       0402  13     45.00
WA642       0402  14     38.00
WA642       0402  15     32.00
WA642       0402  16     33.00
WA642       0402  17     36.00
WA642       0402  18     40.00
WA642       0402  19     42.00
WA642       0402  20     51.00
WA642       0402  21     46.00
WA642       0402  22     39.00
WA642       0402  23     36.00
WA642       0402  24     49.00
WA642       0402  25     47.00
WA642       0402  26     37.00
WA642       0402  27     38.00
WA642       0402  28     50.00
WA642       0402  29     56.00
WA642       0402  30     56.00
WA642       0502   1     55.00
WA642       0502   2     41.00
WA642       0502   3     40.00
WA642       0502   4     37.00
WA642       0502   5     33.00
WA642       0502   6     31.00
WA642       0502   7     29.00
WA642       0502   8     41.00
WA642       0502   9     42.00
WA642       0502  10     44.00
WA642       0502  11     54.00
WA642       0502  12     60.00
WA642       0502  13     49.00
WA642       0502  14     44.00
