$ Get data for 832:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:42:59 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA832           Trough
WA832       1001  12     46.00
WA832       1001  13     49.00
WA832       1001  14     46.00
WA832       1001  15     49.00
WA832       1001  16     52.00
WA832       1001  17     38.00
WA832       1001  18     42.00
WA832       1001  19     46.00
WA832       1001  20     49.00
WA832       1001  21     40.00
WA832       1001  22     35.00
WA832       1001  23     29.00
WA832       1001  24     33.00
WA832       1001  25     41.00
WA832       1001  26     44.00
WA832       1001  27     44.00
WA832       1001  28     34.00
WA832       1001  29     37.00
WA832       1001  30     38.00
WA832       1001  31     34.00
WA832       1101   1     40.00
WA832       1101   2     46.00
WA832       1101   3     49.00
WA832       1101   4     51.00
WA832       1101   5     39.00
WA832       1101   6     35.00
WA832       1101   7     36.00
WA832       1101   8     45.00
WA832       1101   9     53.00
WA832       1101  10   -999.00
WA832       1101  11     44.00
WA832       1101  12   -999.00
WA832       1101  13     42.00
WA832       1101  14     42.00
WA832       1101  15   -999.00
WA832       1101  16     37.00
WA832       1101  17     35.00
WA832       1101  18     31.00
WA832       1101  19     35.00
WA832       1101  20     32.00
WA832       1101  21     32.00
WA832       1101  22     32.00
WA832       1101  23     29.00
WA832       1101  24   -999.00
WA832       1101  25     27.00
WA832       1101  26     29.00
WA832       1101  27     25.00
WA832       1101  28     26.00
WA832       1101  29     26.00
WA832       1101  30     26.00
WA832       1201   1     27.00
WA832       1201   2     26.00
WA832       1201   3     24.00
WA832       1201   4     22.00
WA832       1201   5     24.00
WA832       1201   6     26.00
WA832       1201   7     36.00
WA832       1201   8     37.00
WA832       1201   9     26.00
WA832       1201  10     29.00
WA832       1201  11     27.00
WA832       1201  12     30.00
WA832       1201  13     32.00
WA832       1201  14     25.00
WA832       1201  15     28.00
WA832       1201  16     33.00
WA832       1201  17     28.00
WA832       1201  18     23.00
WA832       1201  19     28.00
WA832       1201  20     25.00
WA832       1201  21     31.00
WA832       1201  22     24.00
WA832       1201  23     25.00
WA832       1201  24     25.00
WA832       1201  25     23.00
WA832       1201  26     27.00
WA832       1201  27     26.00
WA832       1201  28     38.00
WA832       1201  29     27.00
WA832       1201  30     31.00
WA832       1201  31     29.00
WA832       0102   1     28.00
