$ Get data for 911:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:33:05 from web application
$ Data source: nrcs
$ Data type: Air Temperature Maximum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA911           Rex River
WA911       0502  13     54.00
WA911       0502  14     44.00
WA911       0502  15     47.00
WA911       0502  16     63.00
WA911       0502  17     53.00
WA911       0502  18     56.00
WA911       0502  19     57.00
WA911       0502  20     51.00
WA911       0502  21     41.00
WA911       0502  22     42.00
WA911       0502  23     52.00
WA911       0502  24     63.00
WA911       0502  25     57.00
WA911       0502  26     59.00
WA911       0502  27     65.00
WA911       0502  28     57.00
WA911       0502  29     53.00
WA911       0502  30     58.00
WA911       0502  31     53.00
WA911       0602   1     56.00
WA911       0602   2     53.00
WA911       0602   3     61.00
WA911       0602   4     52.00
WA911       0602   5     51.00
WA911       0602   6     43.00
WA911       0602   7     44.00
WA911       0602   8     39.00
WA911       0602   9     57.00
WA911       0602  10     61.00
WA911       0602  11     66.00
WA911       0602  12     76.00
WA911       0602  13     76.00
WA911       0602  14     70.00
WA911       0602  15     64.00
WA911       0602  16     53.00
WA911       0602  17     55.00
WA911       0602  18     43.00
WA911       0602  19     55.00
WA911       0602  20     71.00
WA911       0602  21     72.00
WA911       0602  22     68.00
WA911       0602  23     57.00
WA911       0602  24     63.00
WA911       0602  25     80.00
WA911       0602  26     80.00
WA911       0602  27     57.00
WA911       0602  28     54.00
WA911       0602  29     51.00
WA911       0602  30     48.00
WA911       0702   1     53.00
WA911       0702   2     60.00
WA911       0702   3     50.00
WA911       0702   4     48.00
WA911       0702   5     63.00
WA911       0702   6     69.00
WA911       0702   7     69.00
WA911       0702   8     54.00
WA911       0702   9     76.00
WA911       0702  10     88.00
WA911       0702  11     76.00
WA911       0702  12     81.00
WA911       0702  13     74.00
WA911       0702  14     60.00
WA911       0702  15     67.00
WA911       0702  16     70.00
WA911       0702  17     68.00
WA911       0702  18     66.00
WA911       0702  19     59.00
WA911       0702  20     65.00
WA911       0702  21     75.00
WA911       0702  22     84.00
WA911       0702  23     78.00
WA911       0702  24     76.00
WA911       0702  25     70.00
WA911       0702  26     53.00
WA911       0702  27     58.00
WA911       0702  28     58.00
WA911       0702  29     58.00
WA911       0702  30     55.00
WA911       0702  31     56.00
WA911       0802   1     65.00
WA911       0802   2   -999.00
WA911       0802   3   -999.00
WA911       0802   4   -999.00
WA911       0802   5   -999.00
WA911       0802   6   -999.00
WA911       0802   7   -999.00
WA911       0802   8   -999.00
WA911       0802   9     67.00
WA911       0802  10     61.00
WA911       0802  11     65.00
WA911       0802  12     78.00
WA911       0802  13     78.00
WA911       0802  14     71.00
WA911       0802  15     71.00
WA911       0802  16     67.00
WA911       0802  17     65.00
WA911       0802  18     67.00
WA911       0802  19     61.00
WA911       0802  20     46.00
WA911       0802  21     53.00
WA911       0802  22     66.00
WA911       0802  23     71.00
WA911       0802  24     68.00
WA911       0802  25     59.00
WA911       0802  26     53.00
WA911       0802  27     73.00
WA911       0802  28     77.00
WA911       0802  29     67.00
WA911       0802  30     53.00
WA911       0802  31     64.00
WA911       0902   1     51.00
WA911       0902   2   -999.00
WA911       0902   3   -999.00
WA911       0902   4   -999.00
WA911       0902   5   -999.00
WA911       0902   6     54.00
WA911       0902   7     51.00
WA911       0902   8     52.00
WA911       0902   9     64.00
WA911       0902  10     68.00
WA911       0902  11   -999.00
WA911       0902  12   -999.00
WA911       0902  13   -999.00
WA911       0902  14   -999.00
WA911       0902  15   -999.00
WA911       0902  16   -999.00
WA911       0902  17   -999.00
WA911       0902  18   -999.00
WA911       0902  19   -999.00
WA911       0902  20   -999.00
WA911       0902  21   -999.00
WA911       0902  22   -999.00
WA911       0902  23   -999.00
WA911       0902  24   -999.00
WA911       0902  25   -999.00
WA911       0902  26   -999.00
WA911       0902  27   -999.00
WA911       0902  28   -999.00
WA911       0902  29   -999.00
WA911       0902  30   -999.00
WA911       1002   1     47.00
WA911       1002   2   -999.00
WA911       1002   3   -999.00
WA911       1002   4     47.00
WA911       1002   5     47.00
WA911       1002   6   -999.00
WA911       1002   7     51.00
WA911       1002   8     53.00
WA911       1002   9     48.00
WA911       1002  10     38.00
WA911       1002  11     42.00
WA911       1002  12     50.00
WA911       1002  13     58.00
WA911       1002  14     61.00
WA911       1002  15     68.00
WA911       1002  16     67.00
WA911       1002  17     69.00
WA911       1002  18     61.00
WA911       1002  19     49.00
WA911       1002  20     49.00
WA911       1002  21     46.00
WA911       1002  22     60.00
