$ Get data for 507:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:53:53 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA507           Grouse Camp
WA507       0501  31     38.00
WA507       0601   1     29.00
WA507       0601   2     27.00
WA507       0601   3     28.00
WA507       0601   4     33.00
WA507       0601   5     33.00
WA507       0601   6     35.00
WA507       0601   7     35.00
WA507       0601   8     41.00
WA507       0601   9     32.00
WA507       0601  10     30.00
WA507       0601  11     28.00
WA507       0601  12     28.00
WA507       0601  13     33.00
WA507       0601  14     36.00
WA507       0601  15     29.00
WA507       0601  16     34.00
WA507       0601  17     31.00
WA507       0601  18     33.00
WA507       0601  19     37.00
WA507       0601  20     42.00
WA507       0601  21     46.00
WA507       0601  22     47.00
WA507       0601  23     38.00
WA507       0601  24     31.00
WA507       0601  25     29.00
WA507       0601  26     38.00
WA507       0601  27     40.00
WA507       0601  28     35.00
WA507       0601  29     33.00
WA507       0601  30     42.00
WA507       0701   1     45.00
WA507       0701   2     44.00
WA507       0701   3     49.00
WA507       0701   4     54.00
WA507       0701   5     42.00
WA507       0701   6     41.00
WA507       0701   7     44.00
WA507       0701   8     50.00
WA507       0701   9     49.00
WA507       0701  10     54.00
WA507       0701  11     52.00
WA507       0701  12     50.00
WA507       0701  13     47.00
WA507       0701  14     44.00
WA507       0701  15     38.00
WA507       0701  16     35.00
WA507       0701  17     36.00
WA507       0701  18     36.00
WA507       0701  19     39.00
WA507       0701  20     40.00
WA507       0701  21     44.00
WA507       0701  22     43.00
WA507       0701  23     45.00
WA507       0701  24     48.00
WA507       0701  25     46.00
WA507       0701  26     47.00
WA507       0701  27     45.00
WA507       0701  28     39.00
WA507       0701  29     36.00
WA507       0701  30     38.00
WA507       0701  31     38.00
WA507       0801   1     40.00
WA507       0801   2     43.00
WA507       0801   3     42.00
WA507       0801   4     40.00
WA507       0801   5     40.00
WA507       0801   6     45.00
WA507       0801   7     46.00
WA507       0801   8     51.00
WA507       0801   9     53.00
WA507       0801  10     52.00
WA507       0801  11     55.00
WA507       0801  12     56.00
WA507       0801  13     60.00
WA507       0801  14     59.00
WA507       0801  15     58.00
WA507       0801  16     58.00
WA507       0801  17     53.00
WA507       0801  18     42.00
WA507       0801  19     33.00
WA507       0801  20     41.00
WA507       0801  21     45.00
WA507       0801  22     46.00
WA507       0801  23     39.00
WA507       0801  24     35.00
WA507       0801  25     38.00
WA507       0801  26     44.00
WA507       0801  27     52.00
WA507       0801  28     49.00
WA507       0801  29     48.00
WA507       0801  30     50.00
WA507       0801  31     48.00
WA507       0901   1     37.00
WA507       0901   2     34.00
WA507       0901   3     45.00
WA507       0901   4     41.00
WA507       0901   5     35.00
WA507       0901   6     36.00
WA507       0901   7     35.00
WA507       0901   8     36.00
WA507       0901   9     46.00
WA507       0901  10     46.00
WA507       0901  11     45.00
WA507       0901  12     47.00
WA507       0901  13     53.00
WA507       0901  14     51.00
WA507       0901  15     51.00
WA507       0901  16     51.00
WA507       0901  17     46.00
WA507       0901  18     40.00
WA507       0901  19     37.00
WA507       0901  20     37.00
WA507       0901  21     43.00
WA507       0901  22     42.00
WA507       0901  23     46.00
WA507       0901  24     49.00
WA507       0901  25     41.00
WA507       0901  26     31.00
WA507       0901  27     28.00
