$ Get data for 376:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:46:09 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA376           Bunchgrass Mdw
WA376       0202  17     19.00
WA376       0202  18     26.00
WA376       0202  19     27.00
WA376       0202  20     18.00
WA376       0202  21     21.00
WA376       0202  22     35.00
WA376       0202  23     17.00
WA376       0202  24     -8.00
WA376       0202  25    -15.00
WA376       0202  26    -10.00
WA376       0202  27     -4.00
WA376       0202  28      3.00
WA376       0302   1     -7.00
WA376       0302   2    -12.00
WA376       0302   3      9.00
WA376       0302   4     11.00
WA376       0302   5     15.00
WA376       0302   6      6.00
WA376       0302   7     -6.00
WA376       0302   8      4.00
WA376       0302   9     11.00
WA376       0302  10     21.00
WA376       0302  11     28.00
WA376       0302  12     21.00
WA376       0302  13     16.00
WA376       0302  14      5.00
WA376       0302  15     20.00
WA376       0302  16     13.00
WA376       0302  17      0.00
WA376       0302  18      9.00
WA376       0302  19     17.00
WA376       0302  20      3.00
WA376       0302  21      3.00
WA376       0302  22     13.00
WA376       0302  23     26.00
WA376       0302  24     26.00
WA376       0302  25     30.00
WA376       0302  26     27.00
WA376       0302  27     23.00
WA376       0302  28     23.00
WA376       0302  29     14.00
WA376       0302  30     24.00
WA376       0302  31     27.00
WA376       0402   1     19.00
WA376       0402   2      8.00
WA376       0402   3      5.00
WA376       0402   4     11.00
WA376       0402   5     17.00
WA376       0402   6     33.00
WA376       0402   7     26.00
WA376       0402   8     14.00
WA376       0402   9     20.00
WA376       0402  10     31.00
WA376       0402  11     32.00
WA376       0402  12     34.00
WA376       0402  13     34.00
WA376       0402  14     26.00
WA376       0402  15     18.00
WA376       0402  16     25.00
WA376       0402  17     25.00
WA376       0402  18     22.00
WA376       0402  19     22.00
WA376       0402  20     18.00
WA376       0402  21     31.00
WA376       0402  22     25.00
WA376       0402  23     17.00
WA376       0402  24     16.00
WA376       0402  25     21.00
WA376       0402  26     24.00
WA376       0402  27     25.00
WA376       0402  28     28.00
WA376       0402  29     24.00
WA376       0402  30     34.00
WA376       0502   1     27.00
WA376       0502   2     30.00
WA376       0502   3     26.00
WA376       0502   4     26.00
WA376       0502   5     26.00
WA376       0502   6     20.00
WA376       0502   7     15.00
WA376       0502   8     -3.00
WA376       0502   9     11.00
WA376       0502  10     16.00
WA376       0502  11     22.00
WA376       0502  12     23.00
WA376       0502  13     24.00
WA376       0502  14     29.00
WA376       0502  15     25.00
WA376       0502  16     22.00
WA376       0502  17     28.00
WA376       0502  18     28.00
WA376       0502  19     36.00
WA376       0502  20     35.00
WA376       0502  21     35.00
WA376       0502  22     28.00
WA376       0502  23     27.00
WA376       0502  24     29.00
WA376       0502  25     30.00
WA376       0502  26     33.00
WA376       0502  27     34.00
WA376       0502  28     36.00
WA376       0502  29     36.00
WA376       0502  30     29.00
WA376       0502  31     29.00
WA376       0602   1     28.00
WA376       0602   2     30.00
WA376       0602   3     28.00
WA376       0602   4     30.00
WA376       0602   5     42.00
WA376       0602   6     34.00
WA376       0602   7     25.00
WA376       0602   8     29.00
WA376       0602   9     34.00
WA376       0602  10     35.00
WA376       0602  11     36.00
WA376       0602  12     33.00
WA376       0602  13     33.00
WA376       0602  14     35.00
WA376       0602  15     36.00
WA376       0602  16     39.00
WA376       0602  17     39.00
WA376       0602  18     36.00
WA376       0602  19     33.00
WA376       0602  20     30.00
WA376       0602  21     33.00
WA376       0602  22     38.00
WA376       0602  23     41.00
WA376       0602  24     37.00
WA376       0602  25     38.00
WA376       0602  26     43.00
WA376       0602  27     49.00
WA376       0602  28     48.00
WA376       0602  29     43.00
WA376       0602  30     36.00
WA376       0702   1     34.00
WA376       0702   2     30.00
WA376       0702   3     35.00
WA376       0702   4     39.00
WA376       0702   5     33.00
WA376       0702   6     32.00
WA376       0702   7     39.00
WA376       0702   8     42.00
WA376       0702   9     36.00
WA376       0702  10     39.00
WA376       0702  11     45.00
WA376       0702  12     48.00
WA376       0702  13     48.00
WA376       0702  14     50.00
WA376       0702  15     40.00
WA376       0702  16     39.00
WA376       0702  17     44.00
WA376       0702  18     45.00
WA376       0702  19     46.00
WA376       0702  20     40.00
WA376       0702  21     37.00
WA376       0702  22     44.00
WA376       0702  23     41.00
WA376       0702  24     49.00
WA376       0702  25     46.00
WA376       0702  26     45.00
