$ Get data for 515:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:54:28 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA515           Harts Pass
WA515       0302   9      6.00
WA515       0302  10     13.00
WA515       0302  11     18.00
WA515       0302  12     16.00
WA515       0302  13     13.00
WA515       0302  14     13.00
WA515       0302  15     12.00
WA515       0302  16     -1.00
WA515       0302  17     -4.00
WA515       0302  18      6.00
WA515       0302  19      3.00
WA515       0302  20     -4.00
WA515       0302  21      5.00
WA515       0302  22     21.00
WA515       0302  23     25.00
WA515       0302  24     23.00
WA515       0302  25     21.00
WA515       0302  26     15.00
WA515       0302  27     14.00
WA515       0302  28     19.00
WA515       0302  29     17.00
WA515       0302  30     22.00
WA515       0302  31     21.00
WA515       0402   1     12.00
WA515       0402   2      9.00
WA515       0402   3     21.00
WA515       0402   4     24.00
WA515       0402   5     28.00
WA515       0402   6     24.00
WA515       0402   7     18.00
WA515       0402   8     15.00
WA515       0402   9     26.00
WA515       0402  10     23.00
WA515       0402  11     27.00
WA515       0402  12     29.00
WA515       0402  13     29.00
WA515       0402  14     15.00
WA515       0402  15     16.00
WA515       0402  16     15.00
WA515       0402  17     20.00
WA515       0402  18     21.00
WA515       0402  19     22.00
WA515       0402  20     25.00
WA515       0402  21     24.00
WA515       0402  22     14.00
WA515       0402  23     13.00
WA515       0402  24     10.00
WA515       0402  25     22.00
WA515       0402  26     21.00
WA515       0402  27     22.00
WA515       0402  28     24.00
WA515       0402  29     27.00
WA515       0402  30     35.00
WA515       0502   1     32.00
WA515       0502   2     19.00
WA515       0502   3     18.00
WA515       0502   4     20.00
WA515       0502   5     12.00
WA515       0502   6     11.00
WA515       0502   7     16.00
WA515       0502   8     19.00
WA515       0502   9     19.00
WA515       0502  10     21.00
WA515       0502  11     24.00
WA515       0502  12     36.00
WA515       0502  13     23.00
WA515       0502  14     21.00
WA515       0502  15     20.00
WA515       0502  16     26.00
WA515       0502  17     28.00
WA515       0502  18     32.00
WA515       0502  19     34.00
WA515       0502  20     31.00
WA515       0502  21     27.00
WA515       0502  22     27.00
WA515       0502  23     27.00
WA515       0502  24   -999.00
WA515       0502  25     34.00
WA515       0502  26     31.00
WA515       0502  27     34.00
WA515       0502  28     36.00
WA515       0502  29     34.00
WA515       0502  30     31.00
WA515       0502  31     31.00
WA515       0602   1     34.00
WA515       0602   2     35.00
WA515       0602   3     35.00
WA515       0602   4     35.00
WA515       0602   5     27.00
WA515       0602   6     24.00
WA515       0602   7   -999.00
WA515       0602   8     23.00
WA515       0602   9     31.00
WA515       0602  10     36.00
WA515       0602  11     37.00
WA515       0602  12     43.00
WA515       0602  13     47.00
WA515       0602  14     49.00
WA515       0602  15     45.00
WA515       0602  16     34.00
WA515       0602  17     33.00
WA515       0602  18     30.00
WA515       0602  19     31.00
WA515       0602  20     39.00
WA515       0602  21     44.00
WA515       0602  22     43.00
WA515       0602  23     39.00
WA515       0602  24     36.00
WA515       0602  25     45.00
WA515       0602  26     50.00
WA515       0602  27     38.00
WA515       0602  28     35.00
WA515       0602  29     33.00
WA515       0602  30     32.00
WA515       0702   1     30.00
WA515       0702   2     29.00
WA515       0702   3     31.00
WA515       0702   4     30.00
WA515       0702   5     28.00
WA515       0702   6     43.00
WA515       0702   7     41.00
WA515       0702   8     36.00
WA515       0702   9     36.00
WA515       0702  10     53.00
WA515       0702  11     56.00
WA515       0702  12     54.00
WA515       0702  13     52.00
WA515       0702  14     43.00
WA515       0702  15     42.00
WA515       0702  16     48.00
WA515       0702  17     46.00
WA515       0702  18     44.00
WA515       0702  19     41.00
WA515       0702  20     38.00
WA515       0702  21     45.00
WA515       0702  22     51.00
WA515       0702  23     55.00
WA515       0702  24     52.00
WA515       0702  25     49.00
WA515       0702  26     40.00
WA515       0702  27     40.00
WA515       0702  28     40.00
WA515       0702  29     40.00
WA515       0702  30     32.00
WA515       0702  31     31.00
WA515       0802   1     37.00
WA515       0802   2     33.00
WA515       0802   3     33.00
WA515       0802   4     33.00
WA515       0802   5     30.00
WA515       0802   6     34.00
WA515       0802   7     34.00
WA515       0802   8   -999.00
WA515       0802   9     43.00
WA515       0802  10     41.00
WA515       0802  11     40.00
WA515       0802  12   -999.00
WA515       0802  13     50.00
WA515       0802  14     48.00
WA515       0802  15     46.00
WA515       0802  16     36.00
WA515       0802  17     40.00
WA515       0802  18     38.00
WA515       0802  19     40.00
WA515       0802  20     39.00
WA515       0802  21     39.00
WA515       0802  22     43.00
WA515       0802  23     49.00
WA515       0802  24     50.00
WA515       0802  25     46.00
WA515       0802  26     43.00
WA515       0802  27     46.00
WA515       0802  28     53.00
WA515       0802  29     49.00
WA515       0802  30     44.00
WA515       0802  31     43.00
WA515       0902   1     37.00
WA515       0902   2     36.00
WA515       0902   3     30.00
WA515       0902   4     29.00
WA515       0902   5     31.00
WA515       0902   6     29.00
WA515       0902   7     30.00
WA515       0902   8     29.00
WA515       0902   9     38.00
WA515       0902  10     42.00
WA515       0902  11     46.00
WA515       0902  12     45.00
WA515       0902  13     44.00
WA515       0902  14     50.00
WA515       0902  15     37.00
WA515       0902  16     34.00
WA515       0902  17     31.00
WA515       0902  18     31.00
WA515       0902  19     30.00
WA515       0902  20     27.00
WA515       0902  21     31.00
WA515       0902  22     44.00
WA515       0902  23     45.00
WA515       0902  24     38.00
WA515       0902  25     35.00
WA515       0902  26     35.00
WA515       0902  27     34.00
WA515       0902  28     36.00
WA515       0902  29   -999.00
WA515       0902  30     25.00
WA515       1002   1     25.00
WA515       1002   2     27.00
WA515       1002   3     34.00
WA515       1002   4     31.00
WA515       1002   5     33.00
WA515       1002   6     33.00
WA515       1002   7     32.00
WA515       1002   8     32.00
WA515       1002   9     28.00
WA515       1002  10     21.00
WA515       1002  11     19.00
WA515       1002  12     21.00
WA515       1002  13     29.00
WA515       1002  14     35.00
WA515       1002  15     40.00
WA515       1002  16     36.00
WA515       1002  17     39.00
WA515       1002  18     39.00
WA515       1002  19     36.00
WA515       1002  20     33.00
WA515       1002  21     36.00
