$ Get data for 699:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:31:25 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA699           Pope Ridge
WA699       1101  24     21.00
WA699       1101  25     25.00
WA699       1101  26     21.00
WA699       1101  27     22.00
WA699       1101  28     22.00
WA699       1101  29     20.00
WA699       1101  30     19.00
WA699       1201   1     25.00
WA699       1201   2     20.00
WA699       1201   3     18.00
WA699       1201   4     18.00
WA699       1201   5     16.00
WA699       1201   6     24.00
WA699       1201   7     23.00
WA699       1201   8     24.00
WA699       1201   9     18.00
WA699       1201  10     18.00
WA699       1201  11     14.00
WA699       1201  12     13.00
WA699       1201  13     22.00
WA699       1201  14     17.00
WA699       1201  15     15.00
WA699       1201  16     24.00
WA699       1201  17     14.00
WA699       1201  18     15.00
WA699       1201  19     19.00
WA699       1201  20     21.00
WA699       1201  21     23.00
WA699       1201  22     23.00
WA699       1201  23     22.00
WA699       1201  24     22.00
WA699       1201  25     13.00
WA699       1201  26     15.00
WA699       1201  27     19.00
WA699       1201  28     20.00
WA699       1201  29     22.00
WA699       1201  30     26.00
WA699       1201  31     26.00
WA699       0102   1     26.00
WA699       0102   2     25.00
WA699       0102   3     25.00
WA699       0102   4     21.00
WA699       0102   5     21.00
WA699       0102   6     22.00
WA699       0102   7     32.00
WA699       0102   8     30.00
WA699       0102   9     27.00
WA699       0102  10     25.00
WA699       0102  11     27.00
WA699       0102  12     28.00
WA699       0102  13     20.00
WA699       0102  14     16.00
WA699       0102  15     16.00
WA699       0102  16     17.00
WA699       0102  17     14.00
WA699       0102  18     14.00
WA699       0102  19     20.00
WA699       0102  20     24.00
WA699       0102  21     14.00
WA699       0102  22     13.00
WA699       0102  23     15.00
WA699       0102  24     32.00
WA699       0102  25     24.00
WA699       0102  26     12.00
WA699       0102  27     12.00
WA699       0102  28      9.00
WA699       0102  29     18.00
WA699       0102  30     17.00
WA699       0102  31     22.00
WA699       0202   1     21.00
WA699       0202   2     20.00
WA699       0202   3     22.00
WA699       0202   4     18.00
WA699       0202   5     18.00
WA699       0202   6     22.00
WA699       0202   7     25.00
WA699       0202   8     20.00
WA699       0202   9     19.00
WA699       0202  10     22.00
WA699       0202  11     17.00
WA699       0202  12     15.00
WA699       0202  13     15.00
WA699       0202  14     20.00
WA699       0202  15     21.00
WA699       0202  16     20.00
WA699       0202  17     24.00
WA699       0202  18     27.00
WA699       0202  19     29.00
WA699       0202  20     20.00
WA699       0202  21     28.00
WA699       0202  22     34.00
WA699       0202  23     24.00
WA699       0202  24     11.00
WA699       0202  25      8.00
WA699       0202  26     12.00
WA699       0202  27     17.00
WA699       0202  28     17.00
WA699       0302   1     14.00
WA699       0302   2     16.00
WA699       0302   3     22.00
WA699       0302   4     29.00
WA699       0302   5     24.00
WA699       0302   6     16.00
WA699       0302   7     11.00
WA699       0302   8      9.00
WA699       0302   9     16.00
WA699       0302  10     22.00
WA699       0302  11     28.00
WA699       0302  12     26.00
WA699       0302  13     21.00
WA699       0302  14     19.00
WA699       0302  15     24.00
WA699       0302  16     19.00
WA699       0302  17     13.00
WA699       0302  18     12.00
WA699       0302  19     17.00
WA699       0302  20     16.00
WA699       0302  21     15.00
WA699       0302  22     21.00
WA699       0302  23     28.00
WA699       0302  24     29.00
WA699       0302  25     26.00
WA699       0302  26     28.00
WA699       0302  27     25.00
WA699       0302  28     28.00
WA699       0302  29     26.00
WA699       0302  30     30.00
WA699       0302  31     31.00
WA699       0402   1     27.00
WA699       0402   2     24.00
WA699       0402   3     24.00
WA699       0402   4     29.00
WA699       0402   5     32.00
WA699       0402   6     33.00
WA699       0402   7     26.00
WA699       0402   8     25.00
WA699       0402   9     32.00
WA699       0402  10     32.00
