$ Get data for 974:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:44:03 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA974           Waterhole
WA974       0701   2     83.00
WA974       0701   3     90.00
WA974       0701   4   -999.00
WA974       0701   5     83.00
WA974       0701   6   -999.00
WA974       0701   7     84.00
WA974       0701   8     87.00
WA974       0701   9     90.00
WA974       0701  10   -999.00
WA974       0701  11     89.00
WA974       0701  12     88.00
WA974       0701  13     86.00
WA974       0701  14     85.00
WA974       0701  15     85.00
WA974       0701  16     83.00
WA974       0701  17     85.00
WA974       0701  18     83.00
WA974       0701  19     85.00
WA974       0701  20     85.00
WA974       0701  21   -999.00
WA974       0701  22     88.00
WA974       0701  23     90.00
WA974       0701  24     86.00
WA974       0701  25   -999.00
WA974       0701  26     86.00
WA974       0701  27     87.00
WA974       0701  28     84.00
WA974       0701  29     83.00
WA974       0701  30     82.00
WA974       0701  31     85.00
WA974       0801   1     86.00
WA974       0801   2     89.00
WA974       0801   3     88.00
WA974       0801   4     86.00
WA974       0801   5     87.00
WA974       0801   6     87.00
WA974       0801   7     84.00
WA974       0801   8     87.00
WA974       0801   9     91.00
WA974       0801  10   -999.00
WA974       0801  11     92.00
WA974       0801  12     93.00
WA974       0801  13     94.00
WA974       0801  14     32.00
WA974       0801  15   -999.00
WA974       0801  16     48.00
WA974       0801  17     43.00
WA974       0801  18     38.00
WA974       0801  19   -999.00
WA974       0801  20     34.00
WA974       0801  21     43.00
WA974       0801  22     40.00
WA974       0801  23     38.00
WA974       0801  24     35.00
WA974       0801  25     38.00
WA974       0801  26   -999.00
WA974       0801  27     44.00
WA974       0801  28     47.00
WA974       0801  29     46.00
WA974       0801  30     45.00
WA974       0801  31   -999.00
WA974       0901   1   -999.00
WA974       0901   2   -999.00
WA974       0901   3   -999.00
WA974       0901   4   -999.00
WA974       0901   5   -999.00
WA974       0901   6   -999.00
WA974       0901   7   -999.00
WA974       0901   8   -999.00
WA974       0901   9   -999.00
WA974       0901  10   -999.00
WA974       0901  11   -999.00
WA974       0901  12   -999.00
WA974       0901  13   -999.00
WA974       0901  14   -999.00
WA974       0901  15   -999.00
WA974       0901  16   -999.00
WA974       0901  17   -999.00
WA974       0901  18   -999.00
WA974       0901  19   -999.00
WA974       0901  20   -999.00
WA974       0901  21     42.00
WA974       0901  22   -999.00
WA974       0901  23   -999.00
WA974       0901  24   -999.00
WA974       0901  25   -999.00
WA974       0901  26   -999.00
WA974       0901  27   -999.00
WA974       0901  28   -999.00
WA974       0901  29   -999.00
WA974       0901  30   -999.00
WA974       1001   1   -999.00
WA974       1001   2   -999.00
WA974       1001   3   -999.00
WA974       1001   4   -999.00
WA974       1001   5   -999.00
WA974       1001   6   -999.00
WA974       1001   7   -999.00
WA974       1001   8   -999.00
WA974       1001   9   -999.00
WA974       1001  10   -999.00
WA974       1001  11   -999.00
WA974       1001  12   -999.00
WA974       1001  13   -999.00
WA974       1001  14   -999.00
WA974       1001  15     32.00
WA974       1001  16     29.00
WA974       1001  17     26.00
WA974       1001  18     30.00
WA974       1001  19     28.00
WA974       1001  20     26.00
WA974       1001  21     33.00
WA974       1001  22     24.00
WA974       1001  23     25.00
WA974       1001  24     25.00
WA974       1001  25     20.00
WA974       1001  26     31.00
WA974       1001  27     18.00
WA974       1001  28     19.00
WA974       1001  29     23.00
WA974       1001  30     28.00
WA974       1001  31     28.00
WA974       1101   1     30.00
WA974       1101   2     29.00
WA974       1101   3     38.00
WA974       1101   4     25.00
WA974       1101   5     23.00
WA974       1101   6     23.00
WA974       1101   7     27.00
WA974       1101   8     32.00
WA974       1101   9     38.00
WA974       1101  10     40.00
WA974       1101  11     40.00
WA974       1101  12     36.00
WA974       1101  13     33.00
WA974       1101  14     34.00
WA974       1101  15     32.00
WA974       1101  16     26.00
WA974       1101  17     22.00
WA974       1101  18     24.00
WA974       1101  19     34.00
WA974       1101  20     26.00
WA974       1101  21     28.00
WA974       1101  22     26.00
WA974       1101  23     24.00
WA974       1101  24     22.00
WA974       1101  25     20.00
WA974       1101  26     21.00
WA974       1101  27     22.00
WA974       1101  28     22.00
WA974       1101  29     19.00
WA974       1101  30     23.00
WA974       1201   1     22.00
WA974       1201   2     15.00
WA974       1201   3     14.00
WA974       1201   4     19.00
WA974       1201   5     17.00
WA974       1201   6     21.00
WA974       1201   7     18.00
WA974       1201   8     22.00
WA974       1201   9     17.00
WA974       1201  10     18.00
WA974       1201  11     18.00
WA974       1201  12     20.00
WA974       1201  13     26.00
WA974       1201  14     17.00
WA974       1201  15   -999.00
WA974       1201  16   -999.00
WA974       1201  17   -999.00
WA974       1201  18   -999.00
WA974       1201  19   -999.00
WA974       1201  20   -999.00
WA974       1201  21   -999.00
WA974       1201  22   -999.00
WA974       1201  23   -999.00
WA974       1201  24   -999.00
