$ Get data for 804:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:39:56 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA804           Surprise Lakes
WA804       0301  17     25.00
WA804       0301  18     34.00
WA804       0301  19     23.00
WA804       0301  20     20.00
WA804       0301  21     24.00
WA804       0301  22     30.00
WA804       0301  23     36.00
WA804       0301  24     37.00
WA804       0301  25     29.00
WA804       0301  26     22.00
WA804       0301  27     21.00
WA804       0301  28     27.00
WA804       0301  29     24.00
WA804       0301  30     29.00
WA804       0301  31     29.00
WA804       0401   1     24.00
WA804       0401   2     23.00
WA804       0401   3     21.00
WA804       0401   4     21.00
WA804       0401   5     25.00
WA804       0401   6     20.00
WA804       0401   7     21.00
WA804       0401   8     23.00
WA804       0401   9     23.00
WA804       0401  10     27.00
WA804       0401  11     24.00
WA804       0401  12     22.00
WA804       0401  13     22.00
WA804       0401  14     17.00
WA804       0401  15     28.00
WA804       0401  16     33.00
WA804       0401  17     30.00
WA804       0401  18     28.00
WA804       0401  19     26.00
WA804       0401  20     30.00
WA804       0401  21     26.00
WA804       0401  22     28.00
WA804       0401  23     31.00
WA804       0401  24     35.00
WA804       0401  25     35.00
WA804       0401  26     38.00
WA804       0401  27     33.00
WA804       0401  28     28.00
WA804       0401  29     28.00
WA804       0401  30     28.00
WA804       0501   1     27.00
WA804       0501   2     26.00
WA804       0501   3     29.00
WA804       0501   4     32.00
WA804       0501   5     27.00
WA804       0501   6     25.00
WA804       0501   7     35.00
WA804       0501   8     32.00
WA804       0501   9     31.00
WA804       0501  10     29.00
WA804       0501  11     40.00
WA804       0501  12     38.00
WA804       0501  13     36.00
WA804       0501  14     32.00
WA804       0501  15     31.00
WA804       0501  16     30.00
WA804       0501  17     30.00
WA804       0501  18     32.00
WA804       0501  19     31.00
WA804       0501  20     27.00
WA804       0501  21     38.00
WA804       0501  22     51.00
WA804       0501  23     48.00
WA804       0501  24     44.00
WA804       0501  25     42.00
WA804       0501  26     45.00
WA804       0501  27     38.00
WA804       0501  28     28.00
WA804       0501  29     26.00
WA804       0501  30     33.00
WA804       0501  31     45.00
WA804       0601   1     32.00
WA804       0601   2     31.00
WA804       0601   3     30.00
WA804       0601   4     30.00
WA804       0601   5     35.00
WA804       0601   6     37.00
WA804       0601   7     37.00
WA804       0601   8     45.00
WA804       0601   9     37.00
WA804       0601  10     33.00
WA804       0601  11     31.00
WA804       0601  12     31.00
WA804       0601  13     33.00
WA804       0601  14     37.00
WA804       0601  15     36.00
WA804       0601  16     35.00
WA804       0601  17     33.00
WA804       0601  18     32.00
WA804       0601  19     43.00
WA804       0601  20     47.00
WA804       0601  21     47.00
WA804       0601  22     41.00
WA804       0601  23     38.00
WA804       0601  24     33.00
WA804       0601  25     30.00
WA804       0601  26     41.00
WA804       0601  27     45.00
WA804       0601  28     39.00
WA804       0601  29     36.00
WA804       0601  30     42.00
WA804       0701   1     43.00
WA804       0701   2     43.00
WA804       0701   3     52.00
WA804       0701   4     48.00
WA804       0701   5     40.00
WA804       0701   6     37.00
WA804       0701   7     42.00
WA804       0701   8     46.00
WA804       0701   9     50.00
WA804       0701  10     52.00
WA804       0701  11     48.00
WA804       0701  12     50.00
WA804       0701  13     45.00
WA804       0701  14     40.00
WA804       0701  15     40.00
WA804       0701  16     38.00
WA804       0701  17     40.00
WA804       0701  18     42.00
WA804       0701  19     40.00
WA804       0701  20     44.00
WA804       0701  21     44.00
WA804       0701  22     43.00
WA804       0701  23     46.00
WA804       0701  24     45.00
WA804       0701  25     42.00
WA804       0701  26     43.00
WA804       0701  27     44.00
WA804       0701  28     41.00
WA804       0701  29     40.00
WA804       0701  30     44.00
WA804       0701  31     42.00
WA804       0801   1     38.00
WA804       0801   2     47.00
WA804       0801   3     46.00
WA804       0801   4     42.00
WA804       0801   5     40.00
WA804       0801   6     47.00
WA804       0801   7     46.00
WA804       0801   8     45.00
WA804       0801   9     58.00
WA804       0801  10     52.00
WA804       0801  11     50.00
WA804       0801  12     57.00
WA804       0801  13     57.00
WA804       0801  14     55.00
WA804       0801  15     54.00
WA804       0801  16     51.00
WA804       0801  17     42.00
WA804       0801  18     41.00
WA804       0801  19     37.00
WA804       0801  20     40.00
WA804       0801  21     42.00
WA804       0801  22     44.00
WA804       0801  23     41.00
WA804       0801  24     40.00
WA804       0801  25     40.00
WA804       0801  26     49.00
WA804       0801  27     49.00
WA804       0801  28     48.00
WA804       0801  29     49.00
WA804       0801  30     48.00
WA804       0801  31     46.00
WA804       0901   1     42.00
WA804       0901   2     40.00
WA804       0901   3     39.00
WA804       0901   4     41.00
WA804       0901   5     34.00
WA804       0901   6     36.00
WA804       0901   7     36.00
WA804       0901   8     41.00
WA804       0901   9     48.00
WA804       0901  10     46.00
WA804       0901  11     47.00
WA804       0901  12     52.00
WA804       0901  13     53.00
WA804       0901  14     53.00
WA804       0901  15     52.00
WA804       0901  16     45.00
WA804       0901  17     39.00
WA804       0901  18     37.00
WA804       0901  19     37.00
WA804       0901  20     42.00
WA804       0901  21     42.00
WA804       0901  22     45.00
WA804       0901  23     54.00
WA804       0901  24     51.00
WA804       0901  25     42.00
WA804       0901  26     33.00
