$ Get data for 420:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:48:51 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA420           Cougar Mountain
WA420       0401  21     30.00
WA420       0401  22     28.00
WA420       0401  23     35.00
WA420       0401  24     37.00
WA420       0401  25     41.00
WA420       0401  26     40.00
WA420       0401  27     37.00
WA420       0401  28     31.00
WA420       0401  29     30.00
WA420       0401  30     31.00
WA420       0501   1     30.00
WA420       0501   2     31.00
WA420       0501   3     31.00
WA420       0501   4     32.00
WA420       0501   5     28.00
WA420       0501   6     27.00
WA420       0501   7     37.00
WA420       0501   8     36.00
WA420       0501   9     33.00
WA420       0501  10     30.00
WA420       0501  11     38.00
WA420       0501  12     42.00
WA420       0501  13     39.00
WA420       0501  14     35.00
WA420       0501  15     34.00
WA420       0501  16     33.00
WA420       0501  17     32.00
WA420       0501  18     36.00
WA420       0501  19     36.00
WA420       0501  20     29.00
WA420       0501  21     36.00
WA420       0501  22     59.00
WA420       0501  23     49.00
WA420       0501  24     45.00
WA420       0501  25     43.00
WA420       0501  26     45.00
WA420       0501  27     41.00
WA420       0501  28     32.00
WA420       0501  29     33.00
WA420       0501  30     34.00
WA420       0501  31     46.00
WA420       0601   1     35.00
WA420       0601   2     34.00
WA420       0601   3     32.00
WA420       0601   4     37.00
WA420       0601   5     36.00
WA420       0601   6     41.00
WA420       0601   7     41.00
WA420       0601   8     46.00
WA420       0601   9     38.00
WA420       0601  10     36.00
WA420       0601  11     32.00
WA420       0601  12     32.00
WA420       0601  13     40.00
WA420       0601  14     38.00
WA420       0601  15     38.00
WA420       0601  16     37.00
WA420       0601  17     39.00
WA420       0601  18     40.00
WA420       0601  19     42.00
WA420       0601  20     50.00
WA420       0601  21     47.00
WA420       0601  22     44.00
WA420       0601  23     40.00
WA420       0601  24     38.00
WA420       0601  25     37.00
WA420       0601  26     50.00
WA420       0601  27     49.00
WA420       0601  28     41.00
WA420       0601  29     39.00
WA420       0601  30     44.00
WA420       0701   1     43.00
WA420       0701   2     43.00
WA420       0701   3     49.00
WA420       0701   4     50.00
WA420       0701   5     41.00
WA420       0701   6     40.00
WA420       0701   7     43.00
WA420       0701   8     46.00
WA420       0701   9     50.00
WA420       0701  10     52.00
WA420       0701  11     49.00
WA420       0701  12     49.00
WA420       0701  13     45.00
WA420       0701  14     43.00
WA420       0701  15     43.00
WA420       0701  16     41.00
WA420       0701  17     42.00
WA420       0701  18     43.00
WA420       0701  19     43.00
WA420       0701  20     46.00
WA420       0701  21     48.00
WA420       0701  22     49.00
WA420       0701  23     48.00
WA420       0701  24     50.00
WA420       0701  25     45.00
WA420       0701  26     46.00
WA420       0701  27     46.00
WA420       0701  28     43.00
WA420       0701  29     42.00
WA420       0701  30     46.00
WA420       0701  31     43.00
WA420       0801   1     42.00
