$ Get data for 863:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:44:55 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA863           White Pass E.s.
WA863       0202   4     13.00
WA863       0202   5     17.00
WA863       0202   6     25.00
WA863       0202   7     24.00
WA863       0202   8     21.00
WA863       0202   9     16.00
WA863       0202  10     21.00
WA863       0202  11     15.00
WA863       0202  12     13.00
WA863       0202  13     21.00
WA863       0202  14     17.00
WA863       0202  15     20.00
WA863       0202  16     20.00
WA863       0202  17     26.00
WA863       0202  18     28.00
WA863       0202  19     23.00
WA863       0202  20     15.00
WA863       0202  21     28.00
WA863       0202  22     33.00
WA863       0202  23     24.00
WA863       0202  24     16.00
WA863       0202  25     11.00
WA863       0202  26     13.00
WA863       0202  27     14.00
WA863       0202  28     15.00
WA863       0302   1     13.00
WA863       0302   2     13.00
WA863       0302   3     17.00
WA863       0302   4     29.00
WA863       0302   5     28.00
WA863       0302   6     18.00
WA863       0302   7     11.00
WA863       0302   8     14.00
WA863       0302   9     15.00
WA863       0302  10     25.00
WA863       0302  11     27.00
WA863       0302  12     25.00
WA863       0302  13     24.00
WA863       0302  14     22.00
WA863       0302  15     17.00
WA863       0302  16     17.00
WA863       0302  17     14.00
WA863       0302  18     12.00
WA863       0302  19     26.00
WA863       0302  20     16.00
WA863       0302  21     14.00
WA863       0302  22     15.00
WA863       0302  23     28.00
WA863       0302  24     31.00
WA863       0302  25     28.00
WA863       0302  26     26.00
WA863       0302  27     23.00
WA863       0302  28     27.00
WA863       0302  29     26.00
WA863       0302  30     28.00
WA863       0302  31     28.00
WA863       0402   1     27.00
WA863       0402   2     24.00
WA863       0402   3     24.00
WA863       0402   4     29.00
WA863       0402   5     31.00
WA863       0402   6     31.00
WA863       0402   7     26.00
WA863       0402   8     23.00
WA863       0402   9     32.00
WA863       0402  10     31.00
WA863       0402  11     32.00
WA863       0402  12     33.00
WA863       0402  13     36.00
WA863       0402  14     23.00
WA863       0402  15     24.00
WA863       0402  16     24.00
WA863       0402  17     24.00
WA863       0402  18     26.00
WA863       0402  19     26.00
WA863       0402  20     29.00
WA863       0402  21     31.00
WA863       0402  22     24.00
WA863       0402  23     24.00
WA863       0402  24     20.00
WA863       0402  25     27.00
WA863       0402  26     29.00
WA863       0402  27     30.00
WA863       0402  28     29.00
WA863       0402  29     27.00
WA863       0402  30     33.00
WA863       0502   1     32.00
WA863       0502   2     27.00
WA863       0502   3     24.00
WA863       0502   4     25.00
WA863       0502   5     23.00
WA863       0502   6     21.00
WA863       0502   7     22.00
WA863       0502   8     22.00
WA863       0502   9     28.00
WA863       0502  10     25.00
WA863       0502  11     28.00
WA863       0502  12     33.00
WA863       0502  13     31.00
WA863       0502  14     31.00
WA863       0502  15     29.00
WA863       0502  16     28.00
WA863       0502  17     34.00
WA863       0502  18     35.00
WA863       0502  19     34.00
WA863       0502  20     34.00
WA863       0502  21     33.00
WA863       0502  22     32.00
WA863       0502  23     32.00
WA863       0502  24     30.00
WA863       0502  25     36.00
WA863       0502  26     35.00
WA863       0502  27     35.00
WA863       0502  28     37.00
WA863       0502  29     37.00
WA863       0502  30     33.00
WA863       0502  31     34.00
WA863       0602   1     35.00
WA863       0602   2     35.00
WA863       0602   3     32.00
WA863       0602   4     38.00
WA863       0602   5     36.00
WA863       0602   6     32.00
WA863       0602   7     28.00
WA863       0602   8     28.00
WA863       0602   9     34.00
WA863       0602  10     37.00
WA863       0602  11     35.00
WA863       0602  12     37.00
WA863       0602  13     40.00
WA863       0602  14     42.00
WA863       0602  15     43.00
WA863       0602  16     40.00
WA863       0602  17     40.00
WA863       0602  18     36.00
WA863       0602  19     33.00
WA863       0602  20     36.00
WA863       0602  21     40.00
WA863       0602  22     43.00
WA863       0602  23     45.00
WA863       0602  24     44.00
WA863       0602  25     43.00
WA863       0602  26   -999.00
WA863       0602  27     46.00
WA863       0602  28     44.00
WA863       0602  29     41.00
WA863       0602  30     43.00
WA863       0702   1     38.00
WA863       0702   2     33.00
WA863       0702   3     41.00
WA863       0702   4     37.00
WA863       0702   5     32.00
WA863       0702   6     43.00
WA863       0702   7     49.00
WA863       0702   8     39.00
WA863       0702   9     37.00
WA863       0702  10   -999.00
WA863       0702  11   -999.00
WA863       0702  12   -999.00
WA863       0702  13     54.00
WA863       0702  14     43.00
WA863       0702  15     41.00
WA863       0702  16     48.00
WA863       0702  17     48.00
WA863       0702  18     48.00
WA863       0702  19     46.00
WA863       0702  20     41.00
WA863       0702  21     46.00
WA863       0702  22   -999.00
WA863       0702  23     56.00
WA863       0702  24     57.00
WA863       0702  25     53.00
WA863       0702  26     47.00
WA863       0702  27     42.00
WA863       0702  28     44.00
WA863       0702  29     47.00
WA863       0702  30     41.00
WA863       0702  31     33.00
WA863       0802   1     40.00
WA863       0802   2     36.00
WA863       0802   3     36.00
WA863       0802   4     38.00
WA863       0802   5     34.00
WA863       0802   6     38.00
WA863       0802   7     35.00
WA863       0802   8     38.00
WA863       0802   9     45.00
WA863       0802  10     48.00
WA863       0802  11     41.00
WA863       0802  12     46.00
WA863       0802  13     52.00
WA863       0802  14     54.00
WA863       0802  15     48.00
WA863       0802  16     47.00
WA863       0802  17     44.00
WA863       0802  18     40.00
WA863       0802  19     44.00
WA863       0802  20     44.00
WA863       0802  21     42.00
WA863       0802  22     42.00
WA863       0802  23     47.00
WA863       0802  24     47.00
WA863       0802  25     49.00
WA863       0802  26     46.00
WA863       0802  27     45.00
WA863       0802  28     51.00
WA863       0802  29     49.00
WA863       0802  30     43.00
WA863       0802  31     44.00
WA863       0902   1     45.00
WA863       0902   2     43.00
WA863       0902   3     35.00
WA863       0902   4     31.00
WA863       0902   5     33.00
WA863       0902   6     33.00
WA863       0902   7     38.00
WA863       0902   8     32.00
WA863       0902   9     44.00
WA863       0902  10     43.00
WA863       0902  11     45.00
WA863       0902  12     50.00
WA863       0902  13     45.00
WA863       0902  14     50.00
WA863       0902  15     45.00
WA863       0902  16     38.00
WA863       0902  17     35.00
WA863       0902  18     34.00
WA863       0902  19     39.00
WA863       0902  20     33.00
WA863       0902  21     33.00
WA863       0902  22     36.00
WA863       0902  23     43.00
WA863       0902  24     43.00
WA863       0902  25     40.00
WA863       0902  26     43.00
WA863       0902  27     37.00
WA863       0902  28     37.00
WA863       0902  29     33.00
WA863       0902  30     29.00
WA863       1002   1     26.00
WA863       1002   2     28.00
WA863       1002   3     39.00
WA863       1002   4     40.00
WA863       1002   5     40.00
WA863       1002   6     38.00
WA863       1002   7     37.00
WA863       1002   8     35.00
WA863       1002   9     36.00
WA863       1002  10     30.00
WA863       1002  11     27.00
WA863       1002  12     26.00
WA863       1002  13     29.00
WA863       1002  14     33.00
WA863       1002  15     36.00
WA863       1002  16     38.00
WA863       1002  17     36.00
WA863       1002  18     38.00
WA863       1002  19     36.00
WA863       1002  20     38.00
WA863       1002  21     34.00
WA863       1002  22     33.00
WA863       1002  23     27.00
