$ Get data for 898:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:26:44 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA898           Mount Gardner
WA898       0101  12     32.00
WA898       0101  13     29.00
WA898       0101  14     29.00
WA898       0101  15     24.00
WA898       0101  16     22.00
WA898       0101  17     22.00
WA898       0101  18     28.00
WA898       0101  19     29.00
WA898       0101  20     27.00
WA898       0101  21     28.00
WA898       0101  22     28.00
WA898       0101  23     31.00
WA898       0101  24     31.00
WA898       0101  25     27.00
WA898       0101  26     28.00
WA898       0101  27     28.00
WA898       0101  28     23.00
WA898       0101  29     23.00
WA898       0101  30     29.00
WA898       0101  31     31.00
WA898       0201   1     31.00
WA898       0201   2     31.00
WA898       0201   3     30.00
WA898       0201   4     31.00
WA898       0201   5     28.00
WA898       0201   6     19.00
WA898       0201   7     16.00
WA898       0201   8     22.00
WA898       0201   9     21.00
WA898       0201  10     20.00
WA898       0201  11     26.00
WA898       0201  12     24.00
WA898       0201  13     26.00
WA898       0201  14     28.00
WA898       0201  15     24.00
WA898       0201  16     22.00
WA898       0201  17     22.00
WA898       0201  18     29.00
WA898       0201  19     28.00
WA898       0201  20     31.00
WA898       0201  21     31.00
WA898       0201  22     30.00
WA898       0201  23     31.00
WA898       0201  24     29.00
WA898       0201  25     25.00
WA898       0201  26     24.00
WA898       0201  27     29.00
WA898       0201  28     29.00
WA898       0301   1     29.00
WA898       0301   2     26.00
WA898       0301   3     22.00
WA898       0301   4     26.00
WA898       0301   5     33.00
WA898       0301   6     36.00
WA898       0301   7     38.00
WA898       0301   8     31.00
WA898       0301   9     29.00
WA898       0301  10     29.00
WA898       0301  11     31.00
WA898       0301  12     33.00
WA898       0301  13     31.00
WA898       0301  14     30.00
WA898       0301  15     30.00
WA898       0301  16     29.00
WA898       0301  17     30.00
WA898       0301  18     35.00
WA898       0301  19     28.00
WA898       0301  20     28.00
WA898       0301  21     30.00
WA898       0301  22     31.00
WA898       0301  23     36.00
WA898       0301  24     40.00
WA898       0301  25     32.00
WA898       0301  26     30.00
WA898       0301  27     27.00
WA898       0301  28     31.00
WA898       0301  29     29.00
WA898       0301  30     32.00
WA898       0301  31     31.00
WA898       0401   1     29.00
WA898       0401   2     29.00
WA898       0401   3     29.00
WA898       0401   4     28.00
WA898       0401   5     32.00
WA898       0401   6     29.00
WA898       0401   7     27.00
WA898       0401   8     29.00
WA898       0401   9     31.00
WA898       0401  10     30.00
WA898       0401  11     29.00
WA898       0401  12     28.00
WA898       0401  13     28.00
WA898       0401  14     28.00
WA898       0401  15     32.00
WA898       0401  16     38.00
WA898       0401  17     34.00
WA898       0401  18     33.00
WA898       0401  19     32.00
WA898       0401  20     31.00
WA898       0401  21     34.00
WA898       0401  22     29.00
WA898       0401  23     35.00
WA898       0401  24     38.00
WA898       0401  25     43.00
WA898       0401  26     42.00
WA898       0401  27     39.00
WA898       0401  28     32.00
WA898       0401  29     32.00
WA898       0401  30     32.00
WA898       0501   1     31.00
WA898       0501   2     32.00
WA898       0501   3     31.00
WA898       0501   4     34.00
WA898       0501   5     29.00
WA898       0501   6     28.00
WA898       0501   7     39.00
WA898       0501   8     38.00
WA898       0501   9     34.00
WA898       0501  10     31.00
WA898       0501  11     40.00
WA898       0501  12     44.00
WA898       0501  13     41.00
WA898       0501  14     37.00
WA898       0501  15     35.00
WA898       0501  16     33.00
WA898       0501  17     33.00
WA898       0501  18     37.00
WA898       0501  19     36.00
WA898       0501  20     31.00
WA898       0501  21     37.00
WA898       0501  22     55.00
WA898       0501  23     52.00
WA898       0501  24     46.00
WA898       0501  25     44.00
WA898       0501  26     46.00
WA898       0501  27     43.00
WA898       0501  28     33.00
WA898       0501  29     35.00
WA898       0501  30     36.00
WA898       0501  31     47.00
WA898       0601   1     36.00
WA898       0601   2     32.00
WA898       0601   3     32.00
WA898       0601   4     39.00
WA898       0601   5     39.00
WA898       0601   6     42.00
WA898       0601   7     42.00
WA898       0601   8     48.00
WA898       0601   9     40.00
WA898       0601  10     37.00
WA898       0601  11     32.00
WA898       0601  12     33.00
WA898       0601  13     41.00
WA898       0601  14     39.00
WA898       0601  15     40.00
WA898       0601  16     38.00
WA898       0601  17     41.00
WA898       0601  18     41.00
WA898       0601  19     43.00
WA898       0601  20     51.00
WA898       0601  21     51.00
WA898       0601  22     46.00
WA898       0601  23     42.00
WA898       0601  24     40.00
WA898       0601  25     39.00
WA898       0601  26     47.00
WA898       0601  27     51.00
WA898       0601  28     42.00
WA898       0601  29     40.00
WA898       0601  30     45.00
WA898       0701   1     43.00
WA898       0701   2     44.00
WA898       0701   3     51.00
WA898       0701   4     52.00
WA898       0701   5     42.00
WA898       0701   6     42.00
WA898       0701   7     44.00
WA898       0701   8     47.00
WA898       0701   9     51.00
WA898       0701  10     53.00
WA898       0701  11     51.00
WA898       0701  12     50.00
WA898       0701  13     47.00
WA898       0701  14     45.00
WA898       0701  15     44.00
WA898       0701  16     43.00
WA898       0701  17     44.00
WA898       0701  18     44.00
WA898       0701  19     44.00
WA898       0701  20     47.00
WA898       0701  21     49.00
WA898       0701  22     50.00
WA898       0701  23     49.00
WA898       0701  24     49.00
WA898       0701  25     46.00
WA898       0701  26     47.00
WA898       0701  27     48.00
WA898       0701  28     45.00
WA898       0701  29     43.00
WA898       0701  30     47.00
WA898       0701  31     44.00
WA898       0801   1     43.00
WA898       0801   2     49.00
WA898       0801   3     51.00
WA898       0801   4     46.00
WA898       0801   5     46.00
WA898       0801   6     52.00
WA898       0801   7     49.00
WA898       0801   8     49.00
WA898       0801   9     57.00
WA898       0801  10     57.00
WA898       0801  11     54.00
WA898       0801  12     55.00
WA898       0801  13     56.00
WA898       0801  14     54.00
WA898       0801  15     54.00
WA898       0801  16     49.00
WA898       0801  17     49.00
WA898       0801  18     48.00
WA898       0801  19     45.00
WA898       0801  20     43.00
WA898       0801  21     45.00
WA898       0801  22     50.00
WA898       0801  23     45.00
WA898       0801  24     46.00
WA898       0801  25     45.00
WA898       0801  26     52.00
WA898       0801  27     49.00
WA898       0801  28     49.00
WA898       0801  29     51.00
WA898       0801  30     54.00
WA898       0801  31     51.00
WA898       0901   1     44.00
WA898       0901   2     43.00
WA898       0901   3     47.00
WA898       0901   4     44.00
WA898       0901   5     41.00
WA898       0901   6     42.00
WA898       0901   7     45.00
WA898       0901   8     45.00
WA898       0901   9     46.00
WA898       0901  10     45.00
WA898       0901  11     49.00
WA898       0901  12     50.00
WA898       0901  13     51.00
WA898       0901  14     52.00
WA898       0901  15     52.00
WA898       0901  16     47.00
WA898       0901  17     44.00
WA898       0901  18     43.00
WA898       0901  19     43.00
WA898       0901  20     40.00
WA898       0901  21     47.00
WA898       0901  22     49.00
WA898       0901  23     56.00
WA898       0901  24     54.00
WA898       0901  25     48.00
WA898       0901  26     38.00
WA898       0901  27     35.00
WA898       0901  28     38.00
WA898       0901  29     44.00
WA898       0901  30     50.00
WA898       1001   1     45.00
WA898       1001   2     42.00
WA898       1001   3     41.00
WA898       1001   4     46.00
WA898       1001   5     44.00
WA898       1001   6     37.00
WA898       1001   7     37.00
WA898       1001   8     37.00
WA898       1001   9     35.00
WA898       1001  10     35.00
WA898       1001  11     33.00
WA898       1001  12     35.00
WA898       1001  13     38.00
WA898       1001  14     40.00
WA898       1001  15     38.00
WA898       1001  16     33.00
WA898       1001  17     33.00
WA898       1001  18     33.00
WA898       1001  19     39.00
WA898       1001  20     32.00
WA898       1001  21     36.00
WA898       1001  22     36.00
WA898       1001  23     32.00
WA898       1001  24     32.00
WA898       1001  25     34.00
WA898       1001  26     39.00
WA898       1001  27     31.00
WA898       1001  28     27.00
WA898       1001  29     31.00
WA898       1001  30     37.00
WA898       1001  31     33.00
WA898       1101   1     38.00
WA898       1101   2     39.00
WA898       1101   3     40.00
WA898       1101   4     36.00
WA898       1101   5     30.00
WA898       1101   6     30.00
WA898       1101   7     29.00
WA898       1101   8     33.00
WA898       1101   9     39.00
WA898       1101  10     39.00
WA898       1101  11     40.00
WA898       1101  12     39.00
WA898       1101  13     40.00
WA898       1101  14     42.00
WA898       1101  15     40.00
WA898       1101  16     36.00
WA898       1101  17     32.00
WA898       1101  18     34.00
WA898       1101  19     37.00
WA898       1101  20     35.00
WA898       1101  21     35.00
WA898       1101  22     32.00
WA898       1101  23     30.00
WA898       1101  24     30.00
WA898       1101  25     30.00
WA898       1101  26     30.00
WA898       1101  27     28.00
WA898       1101  28     25.00
WA898       1101  29     28.00
WA898       1101  30     28.00
WA898       1201   1     31.00
WA898       1201   2     29.00
WA898       1201   3     27.00
WA898       1201   4     28.00
WA898       1201   5     27.00
WA898       1201   6     27.00
WA898       1201   7     31.00
WA898       1201   8     31.00
WA898       1201   9     28.00
WA898       1201  10     27.00
WA898       1201  11     26.00
WA898       1201  12     27.00
WA898       1201  13     32.00
WA898       1201  14     25.00
WA898       1201  15     27.00
WA898       1201  16     32.00
WA898       1201  17     22.00
WA898       1201  18     24.00
WA898       1201  19     28.00
WA898       1201  20     29.00
WA898       1201  21     27.00
WA898       1201  22     26.00
WA898       1201  23     27.00
WA898       1201  24     28.00
WA898       1201  25   -999.00
WA898       1201  26     23.00
WA898       1201  27     28.00
WA898       1201  28     27.00
WA898       1201  29     28.00
WA898       1201  30     30.00
WA898       1201  31     30.00
WA898       0102   1     30.00
WA898       0102   2     30.00
WA898       0102   3     30.00
WA898       0102   4     31.00
WA898       0102   5     32.00
WA898       0102   6     31.00
WA898       0102   7     38.00
WA898       0102   8     35.00
WA898       0102   9     33.00
WA898       0102  10     33.00
WA898       0102  11     35.00
WA898       0102  12     30.00
WA898       0102  13     27.00
WA898       0102  14     24.00
WA898       0102  15     22.00
WA898       0102  16     26.00
WA898       0102  17     25.00
WA898       0102  18     24.00
WA898       0102  19     29.00
WA898       0102  20     29.00
WA898       0102  21     25.00
WA898       0102  22     25.00
WA898       0102  23     26.00
WA898       0102  24     32.00
WA898       0102  25     27.00
WA898       0102  26     22.00
WA898       0102  27     20.00
WA898       0102  28     19.00
WA898       0102  29     21.00
WA898       0102  30     25.00
WA898       0102  31     31.00
WA898       0202   1     28.00
WA898       0202   2     26.00
WA898       0202   3     28.00
WA898       0202   4     26.00
WA898       0202   5     28.00
WA898       0202   6     32.00
WA898       0202   7     29.00
WA898       0202   8     29.00
WA898       0202   9     28.00
WA898       0202  10     28.00
WA898       0202  11     23.00
WA898       0202  12     24.00
WA898       0202  13     24.00
WA898       0202  14     33.00
WA898       0202  15     31.00
WA898       0202  16     30.00
WA898       0202  17     31.00
WA898       0202  18     32.00
WA898       0202  19     31.00
WA898       0202  20     30.00
WA898       0202  21     32.00
WA898       0202  22     38.00
WA898       0202  23     30.00
WA898       0202  24     21.00
WA898       0202  25     19.00
WA898       0202  26     22.00
WA898       0202  27     25.00
WA898       0202  28     23.00
WA898       0302   1     22.00
WA898       0302   2     25.00
WA898       0302   3     29.00
WA898       0302   4     35.00
WA898       0302   5     28.00
WA898       0302   6     22.00
WA898       0302   7     20.00
WA898       0302   8     19.00
WA898       0302   9     24.00
WA898       0302  10     29.00
WA898       0302  11     32.00
WA898       0302  12     30.00
WA898       0302  13     30.00
WA898       0302  14     28.00
WA898       0302  15     25.00
WA898       0302  16     23.00
WA898       0302  17     21.00
WA898       0302  18     22.00
WA898       0302  19     30.00
WA898       0302  20     23.00
WA898       0302  21     21.00
WA898       0302  22     27.00
WA898       0302  23     32.00
WA898       0302  24     35.00
WA898       0302  25     33.00
WA898       0302  26     29.00
WA898       0302  27     29.00
WA898       0302  28     31.00
WA898       0302  29     31.00
WA898       0302  30     32.00
WA898       0302  31     33.00
WA898       0402   1     29.00
WA898       0402   2     28.00
WA898       0402   3     31.00
WA898       0402   4     35.00
WA898       0402   5     37.00
WA898       0402   6     35.00
WA898       0402   7     31.00
WA898       0402   8     29.00
WA898       0402   9     36.00
WA898       0402  10     34.00
WA898       0402  11     35.00
WA898       0402  12     37.00
WA898       0402  13     38.00
WA898       0402  14     29.00
WA898       0402  15     30.00
WA898       0402  16     29.00
WA898       0402  17     30.00
WA898       0402  18     32.00
WA898       0402  19     31.00
WA898       0402  20     34.00
WA898       0402  21     34.00
WA898       0402  22     29.00
WA898       0402  23     28.00
WA898       0402  24     28.00
WA898       0402  25     32.00
WA898       0402  26     29.00
WA898       0402  27     32.00
WA898       0402  28     34.00
WA898       0402  29     33.00
WA898       0402  30     37.00
WA898       0502   1     37.00
WA898       0502   2     31.00
WA898       0502   3     30.00
WA898       0502   4     30.00
WA898       0502   5     28.00
WA898       0502   6     28.00
WA898       0502   7     28.00
WA898       0502   8     29.00
WA898       0502   9     31.00
WA898       0502  10     31.00
WA898       0502  11     33.00
WA898       0502  12     41.00
WA898       0502  13     35.00
WA898       0502  14     34.00
WA898       0502  15     30.00
WA898       0502  16     32.00
WA898       0502  17     37.00
WA898       0502  18     40.00
WA898       0502  19     42.00
WA898       0502  20     40.00
WA898       0502  21     38.00
WA898       0502  22     37.00
WA898       0502  23     36.00
