$ Get data for 832:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:43:05 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA832           Trough
WA832       1001  22     26.00
WA832       1001  23     25.00
WA832       1001  24     25.00
WA832       1001  25     29.00
WA832       1001  26     34.00
WA832       1001  27     24.00
WA832       1001  28     23.00
WA832       1001  29     27.00
WA832       1001  30     34.00
WA832       1001  31     28.00
WA832       1101   1     30.00
WA832       1101   2     36.00
WA832       1101   3     38.00
WA832       1101   4     38.00
WA832       1101   5     27.00
WA832       1101   6     26.00
WA832       1101   7     25.00
WA832       1101   8     29.00
WA832       1101   9     43.00
WA832       1101  10   -999.00
WA832       1101  11     34.00
WA832       1101  12   -999.00
WA832       1101  13     31.00
WA832       1101  14     36.00
WA832       1101  15   -999.00
WA832       1101  16     30.00
WA832       1101  17     26.00
WA832       1101  18     24.00
WA832       1101  19     27.00
WA832       1101  20     29.00
WA832       1101  21     27.00
WA832       1101  22     27.00
WA832       1101  23     20.00
WA832       1101  24   -999.00
WA832       1101  25     20.00
WA832       1101  26     19.00
WA832       1101  27     17.00
WA832       1101  28     14.00
WA832       1101  29     19.00
WA832       1101  30     19.00
WA832       1201   1     23.00
WA832       1201   2     20.00
WA832       1201   3     16.00
WA832       1201   4     18.00
WA832       1201   5     17.00
WA832       1201   6     18.00
WA832       1201   7     22.00
WA832       1201   8     25.00
WA832       1201   9     17.00
WA832       1201  10     18.00
WA832       1201  11     16.00
WA832       1201  12     17.00
WA832       1201  13     25.00
WA832       1201  14     15.00
WA832       1201  15     19.00
WA832       1201  16     27.00
WA832       1201  17     15.00
WA832       1201  18     17.00
WA832       1201  19     18.00
WA832       1201  20     18.00
WA832       1201  21     21.00
WA832       1201  22     14.00
WA832       1201  23     19.00
WA832       1201  24     16.00
WA832       1201  25     13.00
WA832       1201  26     12.00
WA832       1201  27     18.00
WA832       1201  28     20.00
WA832       1201  29     21.00
WA832       1201  30     22.00
WA832       1201  31     22.00
WA832       0102   1     18.00
WA832       0102   2     26.00
WA832       0102   3     24.00
WA832       0102   4     24.00
WA832       0102   5     25.00
WA832       0102   6     28.00
WA832       0102   7     33.00
WA832       0102   8     28.00
WA832       0102   9     28.00
WA832       0102  10     28.00
WA832       0102  11     28.00
WA832       0102  12     21.00
WA832       0102  13     18.00
WA832       0102  14     17.00
WA832       0102  15     18.00
WA832       0102  16     18.00
WA832       0102  17     15.00
WA832       0102  18     15.00
WA832       0102  19     20.00
WA832       0102  20     20.00
WA832       0102  21     14.00
WA832       0102  22     15.00
WA832       0102  23     15.00
WA832       0102  24     26.00
WA832       0102  25     17.00
WA832       0102  26     12.00
WA832       0102  27     10.00
WA832       0102  28     12.00
WA832       0102  29     12.00
WA832       0102  30     18.00
WA832       0102  31     20.00
WA832       0202   1     21.00
WA832       0202   2     21.00
WA832       0202   3     22.00
WA832       0202   4     21.00
WA832       0202   5     24.00
WA832       0202   6     24.00
WA832       0202   7     21.00
WA832       0202   8     21.00
WA832       0202   9     20.00
WA832       0202  10     20.00
WA832       0202  11     16.00
WA832       0202  12     21.00
WA832       0202  13     19.00
WA832       0202  14     22.00
WA832       0202  15     22.00
WA832       0202  16     24.00
WA832       0202  17     28.00
WA832       0202  18     26.00
WA832       0202  19     22.00
WA832       0202  20     22.00
WA832       0202  21     26.00
WA832       0202  22     36.00
WA832       0202  23     23.00
WA832       0202  24     10.00
WA832       0202  25      7.00
WA832       0202  26      8.00
WA832       0202  27     17.00
WA832       0202  28     16.00
WA832       0302   1     15.00
WA832       0302   2     18.00
WA832       0302   3     25.00
WA832       0302   4     27.00
WA832       0302   5     22.00
WA832       0302   6     13.00
WA832       0302   7      8.00
WA832       0302   8      8.00
WA832       0302   9     14.00
WA832       0302  10     22.00
WA832       0302  11     22.00
WA832       0302  12     20.00
WA832       0302  13     21.00
WA832       0302  14     20.00
WA832       0302  15     18.00
WA832       0302  16     13.00
WA832       0302  17     10.00
WA832       0302  18     11.00
WA832       0302  19     22.00
WA832       0302  20      8.00
WA832       0302  21      8.00
WA832       0302  22     20.00
WA832       0302  23     31.00
WA832       0302  24     32.00
WA832       0302  25     29.00
WA832       0302  26     23.00
WA832       0302  27     19.00
WA832       0302  28     26.00
WA832       0302  29     25.00
WA832       0302  30     27.00
WA832       0302  31     31.00
WA832       0402   1     22.00
WA832       0402   2     18.00
WA832       0402   3     27.00
WA832       0402   4     36.00
WA832       0402   5     34.00
WA832       0402   6     30.00
WA832       0402   7     27.00
WA832       0402   8     29.00
WA832       0402   9     30.00
WA832       0402  10     30.00
WA832       0402  11     31.00
WA832       0402  12     34.00
WA832       0402  13     35.00
WA832       0402  14     20.00
WA832       0402  15     21.00
WA832       0402  16     22.00
WA832       0402  17     23.00
WA832       0402  18     25.00
WA832       0402  19     29.00
WA832       0402  20     35.00
WA832       0402  21     31.00
WA832       0402  22     21.00
WA832       0402  23     17.00
WA832       0402  24     22.00
WA832       0402  25     30.00
WA832       0402  26     29.00
WA832       0402  27     27.00
WA832       0402  28     32.00
WA832       0402  29     37.00
WA832       0402  30     40.00
WA832       0502   1     37.00
WA832       0502   2     25.00
WA832       0502   3     23.00
WA832       0502   4     25.00
WA832       0502   5     20.00
WA832       0502   6     17.00
WA832       0502   7     19.00
WA832       0502   8     23.00
WA832       0502   9     28.00
WA832       0502  10     29.00
WA832       0502  11     33.00
WA832       0502  12     42.00
WA832       0502  13     29.00
WA832       0502  14     28.00
WA832       0502  15     30.00
WA832       0502  16     35.00
WA832       0502  17     34.00
WA832       0502  18     35.00
WA832       0502  19     38.00
WA832       0502  20     36.00
WA832       0502  21     33.00
WA832       0502  22     33.00
WA832       0502  23     31.00
WA832       0502  24     36.00
WA832       0502  25     41.00
WA832       0502  26     42.00
WA832       0502  27     43.00
WA832       0502  28     41.00
WA832       0502  29     40.00
WA832       0502  30     37.00
WA832       0502  31     40.00
WA832       0602   1     43.00
WA832       0602   2     42.00
WA832       0602   3     44.00
WA832       0602   4     46.00
WA832       0602   5     32.00
WA832       0602   6     30.00
WA832       0602   7     27.00
WA832       0602   8     26.00
WA832       0602   9     36.00
WA832       0602  10     42.00
WA832       0602  11     42.00
WA832       0602  12     51.00
WA832       0602  13     50.00
WA832       0602  14     58.00
WA832       0602  15     59.00
WA832       0602  16     48.00
WA832       0602  17     42.00
WA832       0602  18     35.00
WA832       0602  19     37.00
WA832       0602  20     43.00
WA832       0602  21     51.00
WA832       0602  22     57.00
WA832       0602  23     50.00
WA832       0602  24     47.00
WA832       0602  25     57.00
WA832       0602  26     61.00
WA832       0602  27     45.00
WA832       0602  28     42.00
WA832       0602  29     39.00
WA832       0602  30     38.00
WA832       0702   1     36.00
WA832       0702   2     46.00
WA832       0702   3     39.00
WA832       0702   4     35.00
WA832       0702   5     35.00
WA832       0702   6     48.00
WA832       0702   7     50.00
WA832       0702   8     46.00
WA832       0702   9     46.00
WA832       0702  10     72.00
WA832       0702  11     70.00
WA832       0702  12     70.00
WA832       0702  13     66.00
WA832       0702  14     58.00
WA832       0702  15     56.00
WA832       0702  16     61.00
WA832       0702  17     59.00
WA832       0702  18     56.00
WA832       0702  19     54.00
WA832       0702  20     53.00
WA832       0702  21     53.00
WA832       0702  22     58.00
WA832       0702  23     64.00
WA832       0702  24     64.00
WA832       0702  25     62.00
WA832       0702  26     49.00
WA832       0702  27     48.00
WA832       0702  28     49.00
WA832       0702  29     47.00
WA832       0702  30     40.00
WA832       0702  31     35.00
WA832       0802   1     45.00
WA832       0802   2     42.00
WA832       0802   3     43.00
WA832       0802   4     39.00
WA832       0802   5     37.00
WA832       0802   6     37.00
WA832       0802   7     39.00
WA832       0802   8     46.00
WA832       0802   9     54.00
WA832       0802  10     50.00
WA832       0802  11     49.00
WA832       0802  12     54.00
WA832       0802  13     59.00
WA832       0802  14     59.00
WA832       0802  15     53.00
WA832       0802  16     48.00
WA832       0802  17     49.00
WA832       0802  18     48.00
WA832       0802  19     47.00
WA832       0802  20     45.00
WA832       0802  21     46.00
WA832       0802  22     52.00
WA832       0802  23     54.00
WA832       0802  24     58.00
WA832       0802  25     52.00
WA832       0802  26     50.00
WA832       0802  27     56.00
WA832       0802  28     58.00
WA832       0802  29     56.00
WA832       0802  30     54.00
WA832       0802  31     54.00
WA832       0902   1     48.00
WA832       0902   2     49.00
WA832       0902   3     38.00
WA832       0902   4     37.00
WA832       0902   5   -999.00
WA832       0902   6     38.00
WA832       0902   7     37.00
WA832       0902   8     37.00
WA832       0902   9     42.00
WA832       0902  10     50.00
WA832       0902  11     58.00
WA832       0902  12     57.00
WA832       0902  13     57.00
WA832       0902  14     60.00
WA832       0902  15     51.00
WA832       0902  16     41.00
WA832       0902  17     38.00
WA832       0902  18     40.00
WA832       0902  19     38.00
WA832       0902  20     36.00
WA832       0902  21     36.00
WA832       0902  22     47.00
WA832       0902  23     50.00
WA832       0902  24     45.00
WA832       0902  25     43.00
WA832       0902  26     38.00
WA832       0902  27     39.00
WA832       0902  28     43.00
WA832       0902  29   -999.00
WA832       0902  30     29.00
WA832       1002   1     29.00
WA832       1002   2     34.00
WA832       1002   3     39.00
WA832       1002   4     37.00
WA832       1002   5     36.00
WA832       1002   6     45.00
WA832       1002   7     43.00
WA832       1002   8     41.00
WA832       1002   9     33.00
WA832       1002  10     25.00
WA832       1002  11     26.00
WA832       1002  12     28.00
WA832       1002  13     36.00
WA832       1002  14     38.00
WA832       1002  15     44.00
WA832       1002  16     42.00
WA832       1002  17     48.00
WA832       1002  18     48.00
WA832       1002  19     43.00
WA832       1002  20     41.00
WA832       1002  21     42.00
WA832       1002  22     33.00
WA832       1002  23     30.00
WA832       1002  24     27.00
WA832       1002  25     33.00
