$ Get data for 942:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:46:39 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA942           Burnt Mountain
WA942       0901  17     39.00
WA942       0901  18     41.00
WA942       0901  19     38.00
WA942       0901  20     43.00
WA942       0901  21     47.00
WA942       0901  22     48.00
WA942       0901  23     58.00
WA942       0901  24     55.00
WA942       0901  25     45.00
WA942       0901  26   -999.00
WA942       0901  27   -999.00
WA942       0901  28   -999.00
WA942       0901  29   -999.00
WA942       0901  30   -999.00
WA942       1001   1   -999.00
WA942       1001   2   -999.00
WA942       1001   3   -999.00
WA942       1001   4   -999.00
WA942       1001   5   -999.00
WA942       1001   6   -999.00
WA942       1001   7   -999.00
WA942       1001   8   -999.00
WA942       1001   9   -999.00
WA942       1001  10   -999.00
WA942       1001  11   -999.00
WA942       1001  12   -999.00
WA942       1001  13   -999.00
WA942       1001  14   -999.00
WA942       1001  15   -999.00
WA942       1001  16   -999.00
WA942       1001  17   -999.00
WA942       1001  18   -999.00
WA942       1001  19     35.00
WA942       1001  20     32.00
WA942       1001  21     32.00
WA942       1001  22     32.00
WA942       1001  23     29.00
WA942       1001  24     29.00
WA942       1001  25     33.00
WA942       1001  26     38.00
WA942       1001  27     25.00
WA942       1001  28     24.00
WA942       1001  29     29.00
WA942       1001  30     37.00
WA942       1001  31     31.00
WA942       1101   1     34.00
WA942       1101   2     33.00
WA942       1101   3     33.00
WA942       1101   4     34.00
WA942       1101   5     28.00
WA942       1101   6     27.00
WA942       1101   7     27.00
WA942       1101   8     38.00
WA942       1101   9     43.00
WA942       1101  10     46.00
WA942       1101  11     45.00
WA942       1101  12     39.00
WA942       1101  13     38.00
WA942       1101  14     44.00
WA942       1101  15     37.00
WA942       1101  16     31.00
WA942       1101  17     29.00
WA942       1101  18     30.00
WA942       1101  19     39.00
WA942       1101  20     35.00
WA942       1101  21     32.00
WA942       1101  22     31.00
WA942       1101  23     26.00
WA942       1101  24     26.00
WA942       1101  25     26.00
WA942       1101  26     26.00
WA942       1101  27     24.00
WA942       1101  28     24.00
WA942       1101  29     23.00
WA942       1101  30     26.00
WA942       1201   1     28.00
WA942       1201   2     25.00
WA942       1201   3     22.00
WA942       1201   4     24.00
WA942       1201   5     22.00
WA942       1201   6     28.00
WA942       1201   7     24.00
WA942       1201   8     27.00
WA942       1201   9     22.00
WA942       1201  10     24.00
WA942       1201  11     24.00
WA942       1201  12     23.00
WA942       1201  13     29.00
WA942       1201  14     22.00
WA942       1201  15     24.00
WA942       1201  16     28.00
WA942       1201  17     19.00
WA942       1201  18     24.00
WA942       1201  19     24.00
WA942       1201  20     28.00
WA942       1201  21     26.00
WA942       1201  22     25.00
WA942       1201  23     27.00
WA942       1201  24     34.00
WA942       1201  25     31.00
WA942       1201  26     30.00
WA942       1201  27     34.00
WA942       1201  28     32.00
WA942       1201  29     36.00
WA942       1201  30     33.00
WA942       1201  31     31.00
WA942       0102   1     39.00
WA942       0102   2     32.00
WA942       0102   3     30.00
WA942       0102   4     28.00
WA942       0102   5     34.00
WA942       0102   6     35.00
WA942       0102   7     37.00
WA942       0102   8     33.00
WA942       0102   9     32.00
WA942       0102  10   -999.00
WA942       0102  11   -999.00
WA942       0102  12   -999.00
WA942       0102  13   -999.00
WA942       0102  14   -999.00
WA942       0102  15   -999.00
WA942       0102  16   -999.00
WA942       0102  17   -999.00
WA942       0102  18   -999.00
WA942       0102  19   -999.00
WA942       0102  20   -999.00
WA942       0102  21   -999.00
WA942       0102  22   -999.00
WA942       0102  23     26.00
WA942       0102  24     30.00
WA942       0102  25   -999.00
WA942       0102  26     16.00
WA942       0102  27     14.00
WA942       0102  28      9.00
WA942       0102  29     14.00
WA942       0102  30     22.00
WA942       0102  31     26.00
WA942       0202   1     21.00
WA942       0202   2     20.00
WA942       0202   3     24.00
WA942       0202   4     23.00
WA942       0202   5     29.00
WA942       0202   6     28.00
WA942       0202   7     24.00
WA942       0202   8     22.00
WA942       0202   9     20.00
WA942       0202  10     25.00
WA942       0202  11     19.00
WA942       0202  12     25.00
WA942       0202  13     23.00
WA942       0202  14     23.00
WA942       0202  15     34.00
WA942       0202  16     29.00
WA942       0202  17     30.00
WA942       0202  18     30.00
WA942       0202  19     25.00
WA942       0202  20     23.00
WA942       0202  21     36.00
WA942       0202  22     37.00
WA942       0202  23     25.00
WA942       0202  24     19.00
WA942       0202  25     17.00
WA942       0202  26     24.00
WA942       0202  27     24.00
WA942       0202  28     20.00
WA942       0302   1     19.00
WA942       0302   2     23.00
WA942       0302   3     32.00
WA942       0302   4     30.00
WA942       0302   5     26.00
WA942       0302   6     18.00
WA942       0302   7     13.00
WA942       0302   8     15.00
WA942       0302   9     20.00
WA942       0302  10     29.00
WA942       0302  11     27.00
WA942       0302  12     26.00
WA942       0302  13     25.00
WA942       0302  14     23.00
WA942       0302  15     19.00
WA942       0302  16     17.00
WA942       0302  17     14.00
WA942       0302  18     16.00
WA942       0302  19     27.00
WA942       0302  20     30.00
WA942       0302  21     32.00
WA942       0302  22     33.00
WA942       0302  23     31.00
WA942       0302  24     31.00
WA942       0302  25     29.00
WA942       0302  26     25.00
WA942       0302  27     24.00
WA942       0302  28     27.00
WA942       0302  29     26.00
WA942       0302  30     28.00
WA942       0302  31     29.00
WA942       0402   1     28.00
WA942       0402   2     27.00
WA942       0402   3     33.00
WA942       0402   4     36.00
WA942       0402   5     34.00
WA942       0402   6     31.00
WA942       0402   7     27.00
WA942       0402   8     26.00
WA942       0402   9     34.00
WA942       0402  10     33.00
WA942       0402  11     33.00
WA942       0402  12     35.00
WA942       0402  13     38.00
WA942       0402  14     24.00
WA942       0402  15     25.00
WA942       0402  16     24.00
WA942       0402  17     26.00
WA942       0402  18     29.00
WA942       0402  19     30.00
WA942       0402  20     30.00
WA942       0402  21     29.00
WA942       0402  22     25.00
WA942       0402  23     24.00
WA942       0402  24     28.00
WA942       0402  25     32.00
WA942       0402  26     29.00
WA942       0402  27     30.00
WA942       0402  28     31.00
WA942       0402  29     35.00
WA942       0402  30     38.00
WA942       0502   1     35.00
WA942       0502   2     27.00
WA942       0502   3     26.00
WA942       0502   4     26.00
WA942       0502   5     24.00
WA942       0502   6     23.00
WA942       0502   7     22.00
WA942       0502   8     25.00
WA942       0502   9     28.00
WA942       0502  10     29.00
WA942       0502  11     31.00
WA942       0502  12     45.00
WA942       0502  13     31.00
WA942       0502  14     31.00
WA942       0502  15     28.00
WA942       0502  16     32.00
WA942       0502  17     33.00
WA942       0502  18     38.00
WA942       0502  19     39.00
WA942       0502  20     35.00
WA942       0502  21     33.00
WA942       0502  22     32.00
WA942       0502  23     31.00
WA942       0502  24     34.00
WA942       0502  25     42.00
WA942       0502  26     43.00
WA942       0502  27     43.00
WA942       0502  28     42.00
WA942       0502  29     40.00
WA942       0502  30     36.00
WA942       0502  31     35.00
WA942       0602   1     38.00
WA942       0602   2     40.00
WA942       0602   3     40.00
WA942       0602   4     44.00
WA942       0602   5     36.00
WA942       0602   6     33.00
WA942       0602   7     28.00
WA942       0602   8     29.00
WA942       0602   9     36.00
WA942       0602  10     44.00
WA942       0602  11     46.00
WA942       0602  12     56.00
WA942       0602  13     59.00
WA942       0602  14     47.00
WA942       0602  15     47.00
WA942       0602  16     42.00
WA942       0602  17     38.00
WA942       0602  18     35.00
WA942       0602  19     35.00
WA942       0602  20     43.00
WA942       0602  21     54.00
WA942       0602  22     46.00
WA942       0602  23     45.00
WA942       0602  24     42.00
WA942       0602  25     51.00
WA942       0602  26     55.00
WA942       0602  27     44.00
WA942       0602  28     43.00
WA942       0602  29     41.00
WA942       0602  30     40.00
WA942       0702   1     35.00
WA942       0702   2     38.00
WA942       0702   3     38.00
WA942       0702   4     37.00
WA942       0702   5     36.00
WA942       0702   6     47.00
WA942       0702   7     47.00
WA942       0702   8     45.00
WA942       0702   9     46.00
WA942       0702  10     63.00
WA942       0702  11     56.00
WA942       0702  12     56.00
WA942       0702  13     48.00
WA942       0702  14     44.00
WA942       0702  15     45.00
WA942       0702  16     50.00
WA942       0702  17     52.00
WA942       0702  18     49.00
WA942       0702  19     46.00
WA942       0702  20     45.00
WA942       0702  21     49.00
WA942       0702  22     63.00
WA942       0702  23     61.00
WA942       0702  24     57.00
WA942       0702  25     51.00
WA942       0702  26     45.00
