$ Get data for 642:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:24:59 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA642           Morse Lake
WA642       0701   3     45.00
WA642       0701   4     50.00
WA642       0701   5     39.00
WA642       0701   6     39.00
WA642       0701   7     39.00
WA642       0701   8     42.00
WA642       0701   9     46.00
WA642       0701  10     47.00
WA642       0701  11     46.00
WA642       0701  12     45.00
WA642       0701  13     41.00
WA642       0701  14     38.00
WA642       0701  15     38.00
WA642       0701  16     34.00
WA642       0701  17     37.00
WA642       0701  18     36.00
WA642       0701  19     38.00
WA642       0701  20     39.00
WA642       0701  21     42.00
WA642       0701  22     44.00
WA642       0701  23     42.00
WA642       0701  24     44.00
WA642       0701  25     40.00
WA642       0701  26     43.00
WA642       0701  27     41.00
WA642       0701  28     38.00
WA642       0701  29     36.00
WA642       0701  30     36.00
WA642       0701  31     35.00
WA642       0801   1     35.00
WA642       0801   2     43.00
WA642       0801   3     42.00
WA642       0801   4     39.00
WA642       0801   5     39.00
WA642       0801   6     47.00
WA642       0801   7     39.00
WA642       0801   8     43.00
WA642       0801   9     45.00
WA642       0801  10     49.00
WA642       0801  11     52.00
WA642       0801  12     51.00
WA642       0801  13     54.00
WA642       0801  14     53.00
WA642       0801  15     53.00
WA642       0801  16     48.00
WA642       0801  17     43.00
WA642       0801  18     41.00
WA642       0801  19     36.00
WA642       0801  20     35.00
WA642       0801  21     36.00
WA642       0801  22     43.00
WA642       0801  23     39.00
WA642       0801  24     37.00
WA642       0801  25     36.00
WA642       0801  26     44.00
WA642       0801  27     40.00
WA642       0801  28     44.00
WA642       0801  29     45.00
WA642       0801  30     44.00
WA642       0801  31     45.00
WA642       0901   1     37.00
WA642       0901   2     31.00
WA642       0901   3     41.00
WA642       0901   4     38.00
WA642       0901   5     34.00
WA642       0901   6     35.00
WA642       0901   7     36.00
WA642       0901   8     34.00
WA642       0901   9     40.00
WA642       0901  10     41.00
WA642       0901  11     42.00
WA642       0901  12     44.00
WA642       0901  13     47.00
WA642       0901  14     49.00
WA642       0901  15     49.00
WA642       0901  16     45.00
WA642       0901  17     38.00
WA642       0901  18     36.00
WA642       0901  19     35.00
WA642       0901  20     35.00
WA642       0901  21     40.00
WA642       0901  22     41.00
WA642       0901  23     43.00
WA642       0901  24     46.00
WA642       0901  25     42.00
WA642       0901  26     30.00
WA642       0901  27     26.00
WA642       0901  28     29.00
WA642       0901  29   -999.00
WA642       0901  30     35.00
WA642       1001   1     39.00
WA642       1001   2     34.00
WA642       1001   3     35.00
WA642       1001   4     33.00
WA642       1001   5     28.00
WA642       1001   6     29.00
WA642       1001   7     27.00
WA642       1001   8     30.00
WA642       1001   9     27.00
WA642       1001  10     27.00
WA642       1001  11     26.00
WA642       1001  12     28.00
WA642       1001  13     31.00
WA642       1001  14     31.00
WA642       1001  15     29.00
WA642       1001  16     28.00
WA642       1001  17     25.00
WA642       1001  18     27.00
WA642       1001  19     31.00
WA642       1001  20     27.00
WA642       1001  21     31.00
WA642       1001  22     28.00
WA642       1001  23     23.00
WA642       1001  24     23.00
WA642       1001  25     29.00
WA642       1001  26     31.00
WA642       1001  27     21.00
WA642       1001  28     14.00
WA642       1001  29     24.00
WA642       1001  30     32.00
WA642       1001  31     29.00
WA642       1101   1     29.00
WA642       1101   2     28.00
WA642       1101   3     29.00
WA642       1101   4     32.00
WA642       1101   5     20.00
WA642       1101   6     18.00
WA642       1101   7     17.00
WA642       1101   8     20.00
WA642       1101   9     31.00
WA642       1101  10     29.00
WA642       1101  11     29.00
WA642       1101  12     33.00
WA642       1101  13     32.00
WA642       1101  14     39.00
WA642       1101  15     33.00
WA642       1101  16     29.00
WA642       1101  17     23.00
WA642       1101  18     23.00
WA642       1101  19     26.00
WA642       1101  20     30.00
WA642       1101  21     27.00
WA642       1101  22     26.00
WA642       1101  23     18.00
WA642       1101  24     18.00
WA642       1101  25     16.00
WA642       1101  26     15.00
WA642       1101  27     14.00
WA642       1101  28     17.00
WA642       1101  29     18.00
WA642       1101  30     21.00
WA642       1201   1     24.00
WA642       1201   2     20.00
WA642       1201   3     13.00
WA642       1201   4     19.00
WA642       1201   5     17.00
WA642       1201   6     23.00
WA642       1201   7     16.00
WA642       1201   8     24.00
WA642       1201   9     13.00
WA642       1201  10     19.00
WA642       1201  11     13.00
WA642       1201  12     13.00
WA642       1201  13     26.00
WA642       1201  14     11.00
WA642       1201  15     13.00
WA642       1201  16     27.00
WA642       1201  17     11.00
WA642       1201  18     18.00
WA642       1201  19     14.00
WA642       1201  20     21.00
WA642       1201  21     14.00
WA642       1201  22     13.00
