$ Get data for 908:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:42:25 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA908           Alpine Meadows
WA908       0302  26     27.00
WA908       0302  27     27.00
WA908       0302  28     30.00
WA908       0302  29     29.00
WA908       0302  30     31.00
WA908       0302  31     31.00
WA908       0402   1     28.00
WA908       0402   2     27.00
WA908       0402   3     30.00
WA908       0402   4     34.00
WA908       0402   5     35.00
WA908       0402   6     32.00
WA908       0402   7     28.00
WA908       0402   8     28.00
WA908       0402   9     34.00
WA908       0402  10     33.00
WA908       0402  11     34.00
WA908       0402  12     36.00
WA908       0402  13     39.00
WA908       0402  14     27.00
WA908       0402  15     27.00
WA908       0402  16     27.00
WA908       0402  17     29.00
WA908       0402  18     31.00
WA908       0402  19     31.00
WA908       0402  20     33.00
WA908       0402  21     33.00
WA908       0402  22     27.00
WA908       0402  23     25.00
WA908       0402  24     24.00
WA908       0402  25     31.00
WA908       0402  26     31.00
WA908       0402  27     31.00
WA908       0402  28     31.00
WA908       0402  29     33.00
WA908       0402  30     36.00
WA908       0502   1     35.00
WA908       0502   2     29.00
WA908       0502   3     29.00
WA908       0502   4     28.00
WA908       0502   5     25.00
WA908       0502   6     25.00
WA908       0502   7     25.00
WA908       0502   8     27.00
WA908       0502   9     30.00
WA908       0502  10     30.00
WA908       0502  11     35.00
WA908       0502  12     38.00
WA908       0502  13     32.00
WA908       0502  14     30.00
WA908       0502  15     28.00
WA908       0502  16     31.00
WA908       0502  17     34.00
WA908       0502  18     37.00
WA908       0502  19     37.00
WA908       0502  20     35.00
WA908       0502  21     35.00
WA908       0502  22     34.00
WA908       0502  23     33.00
WA908       0502  24     33.00
WA908       0502  25     37.00
WA908       0502  26     39.00
WA908       0502  27     39.00
WA908       0502  28     41.00
WA908       0502  29     38.00
WA908       0502  30     35.00
WA908       0502  31     34.00
WA908       0602   1     36.00
WA908       0602   2     36.00
WA908       0602   3     37.00
WA908       0602   4     38.00
WA908       0602   5     36.00
WA908       0602   6     32.00
WA908       0602   7     31.00
WA908       0602   8     32.00
WA908       0602   9     36.00
WA908       0602  10     39.00
WA908       0602  11     39.00
WA908       0602  12     43.00
WA908       0602  13     48.00
WA908       0602  14     42.00
WA908       0602  15     39.00
WA908       0602  16     40.00
WA908       0602  17     38.00
WA908       0602  18     37.00
WA908       0602  19     37.00
WA908       0602  20     40.00
WA908       0602  21     47.00
WA908       0602  22     43.00
WA908       0602  23     43.00
WA908       0602  24     41.00
WA908       0602  25     45.00
WA908       0602  26     51.00
WA908       0602  27     41.00
WA908       0602  28     39.00
WA908       0602  29     40.00
WA908       0602  30     39.00
WA908       0702   1     37.00
WA908       0702   2     38.00
WA908       0702   3     39.00
WA908       0702   4     37.00
WA908       0702   5     36.00
WA908       0702   6     46.00
WA908       0702   7     49.00
WA908       0702   8     41.00
