$ Get data for 681:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:29:38 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA681           Park Creek Ridge
WA681       0801  14     62.00
WA681       0801  15     66.00
WA681       0801  16     63.00
WA681       0801  17     48.00
WA681       0801  18     44.00
WA681       0801  19     42.00
WA681       0801  20     42.00
WA681       0801  21     43.00
WA681       0801  22     45.00
WA681       0801  23     42.00
WA681       0801  24     41.00
WA681       0801  25     45.00
WA681       0801  26     53.00
WA681       0801  27     52.00
WA681       0801  28     52.00
WA681       0801  29     54.00
WA681       0801  30     56.00
WA681       0801  31     50.00
WA681       0901   1     42.00
WA681       0901   2     42.00
WA681       0901   3     46.00
WA681       0901   4     43.00
WA681       0901   5     40.00
WA681       0901   6     40.00
WA681       0901   7     41.00
WA681       0901   8     46.00
WA681       0901   9     48.00
WA681       0901  10     52.00
WA681       0901  11     50.00
WA681       0901  12     54.00
WA681       0901  13     58.00
WA681       0901  14     58.00
WA681       0901  15     59.00
WA681       0901  16     55.00
WA681       0901  17     47.00
WA681       0901  18     43.00
WA681       0901  19     40.00
WA681       0901  20     44.00
WA681       0901  21     42.00
WA681       0901  22     47.00
WA681       0901  23     52.00
WA681       0901  24     58.00
WA681       0901  25     45.00
WA681       0901  26     33.00
WA681       0901  27     32.00
WA681       0901  28     37.00
WA681       0901  29     40.00
WA681       0901  30     44.00
WA681       1001   1     48.00
WA681       1001   2     45.00
WA681       1001   3     43.00
WA681       1001   4     40.00
WA681       1001   5     36.00
WA681       1001   6     33.00
WA681       1001   7     33.00
WA681       1001   8     32.00
WA681       1001   9     31.00
WA681       1001  10     29.00
WA681       1001  11     30.00
WA681       1001  12     30.00
WA681       1001  13     32.00
WA681       1001  14     34.00
WA681       1001  15     32.00
WA681       1001  16     30.00
WA681       1001  17     29.00
WA681       1001  18     29.00
WA681       1001  19     32.00
WA681       1001  20     30.00
WA681       1001  21     31.00
WA681       1001  22     29.00
WA681       1001  23     26.00
WA681       1001  24     26.00
WA681       1001  25     29.00
WA681       1001  26     31.00
WA681       1001  27     23.00
WA681       1001  28     21.00
WA681       1001  29     25.00
WA681       1001  30     28.00
WA681       1001  31     31.00
WA681       1101   1     31.00
WA681       1101   2     34.00
WA681       1101   3     32.00
WA681       1101   4     33.00
WA681       1101   5     25.00
WA681       1101   6     25.00
WA681       1101   7     24.00
WA681       1101   8     23.00
WA681       1101   9     29.00
WA681       1101  10     31.00
WA681       1101  11     33.00
WA681       1101  12     32.00
WA681       1101  13     31.00
WA681       1101  14     31.00
WA681       1101  15     34.00
WA681       1101  16     31.00
WA681       1101  17     27.00
WA681       1101  18     25.00
WA681       1101  19     28.00
WA681       1101  20     30.00
WA681       1101  21     29.00
WA681       1101  22     28.00
WA681       1101  23     21.00
WA681       1101  24     20.00
WA681       1101  25     23.00
WA681       1101  26     22.00
WA681       1101  27     21.00
WA681       1101  28     18.00
WA681       1101  29     20.00
WA681       1101  30     20.00
WA681       1201   1     22.00
WA681       1201   2     20.00
WA681       1201   3     18.00
WA681       1201   4     18.00
WA681       1201   5     18.00
WA681       1201   6     20.00
WA681       1201   7     24.00
WA681       1201   8     23.00
WA681       1201   9     18.00
WA681       1201  10     17.00
WA681       1201  11     19.00
WA681       1201  12     16.00
WA681       1201  13     19.00
WA681       1201  14     17.00
WA681       1201  15     18.00
WA681       1201  16     21.00
WA681       1201  17     14.00
WA681       1201  18     14.00
WA681       1201  19     18.00
WA681       1201  20     18.00
WA681       1201  21     22.00
WA681       1201  22     19.00
WA681       1201  23     19.00
WA681       1201  24     17.00
WA681       1201  25     12.00
WA681       1201  26     11.00
WA681       1201  27     14.00
WA681       1201  28     18.00
WA681       1201  29     20.00
WA681       1201  30     24.00
WA681       1201  31     23.00
WA681       0102   1     23.00
WA681       0102   2     24.00
WA681       0102   3     28.00
WA681       0102   4     22.00
WA681       0102   5     20.00
WA681       0102   6     22.00
WA681       0102   7     28.00
WA681       0102   8     31.00
WA681       0102   9     27.00
WA681       0102  10     25.00
WA681       0102  11     27.00
WA681       0102  12     25.00
WA681       0102  13     20.00
WA681       0102  14     18.00
WA681       0102  15     20.00
WA681       0102  16     20.00
WA681       0102  17     17.00
WA681       0102  18     16.00
WA681       0102  19     21.00
WA681       0102  20     22.00
WA681       0102  21     16.00
WA681       0102  22     15.00
WA681       0102  23     17.00
WA681       0102  24     28.00
WA681       0102  25     19.00
WA681       0102  26     12.00
WA681       0102  27     11.00
WA681       0102  28     11.00
WA681       0102  29     13.00
WA681       0102  30     17.00
WA681       0102  31     20.00
WA681       0202   1     22.00
WA681       0202   2     21.00
WA681       0202   3     22.00
WA681       0202   4     20.00
WA681       0202   5     19.00
WA681       0202   6     20.00
WA681       0202   7     23.00
WA681       0202   8     22.00
WA681       0202   9     20.00
WA681       0202  10     20.00
WA681       0202  11     17.00
WA681       0202  12     16.00
WA681       0202  13     15.00
WA681       0202  14     23.00
WA681       0202  15     21.00
WA681       0202  16     21.00
WA681       0202  17     26.00
WA681       0202  18     28.00
WA681       0202  19     26.00
WA681       0202  20     22.00
WA681       0202  21     23.00
WA681       0202  22     32.00
WA681       0202  23     22.00
WA681       0202  24      9.00
WA681       0202  25      8.00
WA681       0202  26     12.00
WA681       0202  27     17.00
WA681       0202  28     16.00
WA681       0302   1     16.00
WA681       0302   2     19.00
WA681       0302   3     25.00
WA681       0302   4     29.00
WA681       0302   5     14.00
WA681       0302   6     11.00
WA681       0302   7     11.00
WA681       0302   8     11.00
WA681       0302   9     14.00
WA681       0302  10     19.00
WA681       0302  11     25.00
WA681       0302  12     24.00
WA681       0302  13     22.00
WA681       0302  14     21.00
WA681       0302  15     19.00
WA681       0302  16     14.00
WA681       0302  17      7.00
WA681       0302  18     15.00
WA681       0302  19     18.00
WA681       0302  20     13.00
WA681       0302  21     13.00
WA681       0302  22     22.00
WA681       0302  23     31.00
WA681       0302  24     30.00
WA681       0302  25     28.00
WA681       0302  26     22.00
WA681       0302  27     22.00
WA681       0302  28     26.00
WA681       0302  29     26.00
WA681       0302  30     29.00
WA681       0302  31     27.00
WA681       0402   1     26.00
WA681       0402   2     21.00
WA681       0402   3     25.00
WA681       0402   4     34.00
WA681       0402   5     34.00
WA681       0402   6     29.00
WA681       0402   7     25.00
WA681       0402   8     23.00
WA681       0402   9     33.00
WA681       0402  10     31.00
WA681       0402  11     33.00
WA681       0402  12     33.00
WA681       0402  13     34.00
WA681       0402  14     22.00
WA681       0402  15     24.00
WA681       0402  16     23.00
WA681       0402  17     27.00
WA681       0402  18     28.00
WA681       0402  19     30.00
WA681       0402  20     31.00
WA681       0402  21     31.00
WA681       0402  22     21.00
WA681       0402  23     21.00
WA681       0402  24     21.00
WA681       0402  25     29.00
WA681       0402  26     28.00
WA681       0402  27     31.00
WA681       0402  28     30.00
WA681       0402  29     33.00
WA681       0402  30     43.00
WA681       0502   1     38.00
WA681       0502   2     27.00
WA681       0502   3     26.00
WA681       0502   4     28.00
WA681       0502   5     21.00
WA681       0502   6     19.00
WA681       0502   7     23.00
WA681       0502   8     24.00
WA681       0502   9     27.00
WA681       0502  10     28.00
WA681       0502  11     31.00
WA681       0502  12     40.00
WA681       0502  13     31.00
WA681       0502  14     29.00
WA681       0502  15     28.00
WA681       0502  16     33.00
WA681       0502  17     35.00
WA681       0502  18     37.00
WA681       0502  19     39.00
WA681       0502  20     37.00
WA681       0502  21     35.00
WA681       0502  22     33.00
WA681       0502  23     34.00
WA681       0502  24     33.00
WA681       0502  25     40.00
WA681       0502  26     39.00
WA681       0502  27     41.00
WA681       0502  28     41.00
WA681       0502  29     39.00
WA681       0502  30     37.00
WA681       0502  31     37.00
WA681       0602   1     40.00
WA681       0602   2     41.00
WA681       0602   3     40.00
WA681       0602   4     43.00
WA681       0602   5     33.00
WA681       0602   6     31.00
WA681       0602   7     29.00
WA681       0602   8     29.00
WA681       0602   9     39.00
WA681       0602  10     43.00
WA681       0602  11     42.00
