$ Get data for 630:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:24:26 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA630           Miners Ridge
WA630       0201  12     14.00
WA630       0201  13     20.00
WA630       0201  14     19.00
WA630       0201  15      9.00
WA630       0201  16      9.00
WA630       0201  17     20.00
WA630       0201  18     19.00
WA630       0201  19     18.00
WA630       0201  20     22.00
WA630       0201  21     25.00
WA630       0201  22     22.00
WA630       0201  23     21.00
WA630       0201  24     16.00
WA630       0201  25     14.00
WA630       0201  26     16.00
WA630       0201  27     20.00
WA630       0201  28     20.00
WA630       0301   1     18.00
WA630       0301   2     14.00
WA630       0301   3     10.00
WA630       0301   4     16.00
WA630       0301   5     26.00
WA630       0301   6     30.00
WA630       0301   7     34.00
WA630       0301   8     24.00
WA630       0301   9     22.00
WA630       0301  10     18.00
WA630       0301  11     18.00
WA630       0301  12     23.00
WA630       0301  13     18.00
WA630       0301  14     16.00
WA630       0301  15     18.00
WA630       0301  16     18.00
WA630       0301  17     17.00
WA630       0301  18     28.00
WA630       0301  19     17.00
WA630       0301  20     17.00
WA630       0301  21     16.00
WA630       0301  22     29.00
WA630       0301  23     31.00
WA630       0301  24     33.00
WA630       0301  25     24.00
WA630       0301  26     17.00
WA630       0301  27     15.00
WA630       0301  28     20.00
WA630       0301  29     16.00
WA630       0301  30     21.00
WA630       0301  31     20.00
WA630       0401   1     12.00
WA630       0401   2     11.00
WA630       0401   3     16.00
WA630       0401   4     17.00
WA630       0401   5     22.00
WA630       0401   6     19.00
WA630       0401   7     17.00
WA630       0401   8     17.00
WA630       0401   9     20.00
WA630       0401  10     19.00
WA630       0401  11     17.00
WA630       0401  12     16.00
WA630       0401  13     14.00
WA630       0401  14     12.00
WA630       0401  15     23.00
WA630       0401  16     31.00
WA630       0401  17     26.00
WA630       0401  18     21.00
WA630       0401  19     19.00
WA630       0401  20     26.00
WA630       0401  21     26.00
WA630       0401  22     24.00
WA630       0401  23     28.00
WA630       0401  24     28.00
WA630       0401  25     35.00
WA630       0401  26     41.00
WA630       0401  27     30.00
WA630       0401  28     22.00
WA630       0401  29     20.00
WA630       0401  30     21.00
WA630       0501   1     20.00
WA630       0501   2     22.00
WA630       0501   3     23.00
WA630       0501   4     24.00
WA630       0501   5     17.00
WA630       0501   6     16.00
WA630       0501   7     34.00
WA630       0501   8     26.00
WA630       0501   9     23.00
WA630       0501  10     23.00
WA630       0501  11     38.00
WA630       0501  12     35.00
WA630       0501  13     32.00
WA630       0501  14     29.00
WA630       0501  15     26.00
WA630       0501  16     25.00
WA630       0501  17     23.00
WA630       0501  18     26.00
WA630       0501  19     26.00
WA630       0501  20     24.00
WA630       0501  21     30.00
WA630       0501  22     49.00
WA630       0501  23     45.00
WA630       0501  24     40.00
WA630       0501  25     39.00
WA630       0501  26     42.00
WA630       0501  27     34.00
WA630       0501  28     23.00
WA630       0501  29     23.00
WA630       0501  30     26.00
WA630       0501  31     40.00
WA630       0601   1     26.00
WA630       0601   2     25.00
WA630       0601   3     26.00
WA630       0601   4     30.00
WA630       0601   5     30.00
WA630       0601   6     32.00
WA630       0601   7     37.00
WA630       0601   8     40.00
WA630       0601   9     29.00
WA630       0601  10     27.00
WA630       0601  11     26.00
WA630       0601  12     25.00
WA630       0601  13     30.00
WA630       0601  14     33.00
WA630       0601  15     31.00
WA630       0601  16     30.00
WA630       0601  17     29.00
WA630       0601  18     29.00
WA630       0601  19     41.00
WA630       0601  20     46.00
WA630       0601  21     43.00
WA630       0601  22     37.00
WA630       0601  23     31.00
WA630       0601  24     31.00
WA630       0601  25     30.00
WA630       0601  26     39.00
WA630       0601  27     41.00
WA630       0601  28     35.00
WA630       0601  29     33.00
WA630       0601  30     39.00
WA630       0701   1     36.00
WA630       0701   2     40.00
WA630       0701   3     51.00
WA630       0701   4     45.00
WA630       0701   5     36.00
WA630       0701   6     36.00
WA630       0701   7     39.00
WA630       0701   8     45.00
WA630       0701   9     49.00
WA630       0701  10     45.00
WA630       0701  11     43.00
WA630       0701  12     46.00
WA630       0701  13     39.00
WA630       0701  14     37.00
WA630       0701  15     35.00
WA630       0701  16     34.00
WA630       0701  17     34.00
WA630       0701  18     36.00
WA630       0701  19     35.00
WA630       0701  20     45.00
WA630       0701  21     43.00
WA630       0701  22     43.00
WA630       0701  23     43.00
WA630       0701  24     38.00
WA630       0701  25     38.00
WA630       0701  26     43.00
WA630       0701  27     40.00
WA630       0701  28     35.00
WA630       0701  29     35.00
WA630       0701  30     37.00
WA630       0701  31     38.00
WA630       0801   1     41.00
WA630       0801   2     42.00
WA630       0801   3     42.00
WA630       0801   4     38.00
WA630       0801   5     38.00
WA630       0801   6     46.00
WA630       0801   7     42.00
WA630       0801   8     46.00
WA630       0801   9     50.00
WA630       0801  10     52.00
WA630       0801  11     51.00
WA630       0801  12     59.00
WA630       0801  13     55.00
WA630       0801  14     57.00
WA630       0801  15     62.00
WA630       0801  16     49.00
WA630       0801  17     42.00
WA630       0801  18     37.00
WA630       0801  19     36.00
WA630       0801  20     36.00
WA630       0801  21     36.00
WA630       0801  22     41.00
WA630       0801  23     36.00
WA630       0801  24     35.00
WA630       0801  25     41.00
WA630       0801  26     48.00
WA630       0801  27     44.00
WA630       0801  28     45.00
WA630       0801  29     50.00
WA630       0801  30     48.00
WA630       0801  31     40.00
WA630       0901   1     35.00
WA630       0901   2     36.00
WA630       0901   3     38.00
WA630       0901   4     36.00
WA630       0901   5     33.00
WA630       0901   6     32.00
WA630       0901   7     33.00
WA630       0901   8     41.00
WA630       0901   9     40.00
WA630       0901  10     43.00
WA630       0901  11     47.00
WA630       0901  12     51.00
