$ Get data for 702:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:31:50 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA702           Potato Hill
WA702       0102  23     23.00
WA702       0102  24     30.00
WA702       0102  25     25.00
WA702       0102  26     18.00
WA702       0102  27     15.00
WA702       0102  28     11.00
WA702       0102  29     17.00
WA702       0102  30     22.00
WA702       0102  31     28.00
WA702       0202   1     20.00
WA702       0202   2     14.00
WA702       0202   3     14.00
WA702       0202   4     15.00
WA702       0202   5     23.00
WA702       0202   6     31.00
WA702       0202   7     27.00
WA702       0202   8     20.00
WA702       0202   9     17.00
WA702       0202  10     27.00
WA702       0202  11     14.00
WA702       0202  12     19.00
WA702       0202  13     11.00
WA702       0202  14     17.00
WA702       0202  15     27.00
WA702       0202  16     27.00
WA702       0202  17     26.00
WA702       0202  18     32.00
WA702       0202  19     29.00
WA702       0202  20     14.00
WA702       0202  21     34.00
WA702       0202  22     33.00
WA702       0202  23     28.00
WA702       0202  24     19.00
WA702       0202  25     16.00
WA702       0202  26     18.00
WA702       0202  27     17.00
WA702       0202  28     10.00
WA702       0302   1      8.00
WA702       0302   2     13.00
WA702       0302   3     20.00
WA702       0302   4     23.00
WA702       0302   5     31.00
WA702       0302   6     21.00
WA702       0302   7     13.00
WA702       0302   8     17.00
WA702       0302   9     21.00
WA702       0302  10     30.00
WA702       0302  11     30.00
WA702       0302  12     28.00
WA702       0302  13     27.00
WA702       0302  14     25.00
WA702       0302  15     22.00
WA702       0302  16     20.00
WA702       0302  17     13.00
WA702       0302  18     13.00
WA702       0302  19     28.00
WA702       0302  20     20.00
WA702       0302  21     18.00
WA702       0302  22     23.00
WA702       0302  23     28.00
WA702       0302  24     33.00
WA702       0302  25     28.00
WA702       0302  26     25.00
WA702       0302  27     26.00
WA702       0302  28     29.00
WA702       0302  29     28.00
WA702       0302  30     29.00
WA702       0302  31     31.00
WA702       0402   1     28.00
WA702       0402   2     26.00
WA702       0402   3     24.00
WA702       0402   4     26.00
WA702       0402   5     31.00
WA702       0402   6     33.00
WA702       0402   7     26.00
WA702       0402   8     21.00
WA702       0402   9     35.00
WA702       0402  10     34.00
