$ Get data for 975:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:40:49 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA975           Swamp Creek
WA975       1101  26     25.00
WA975       1101  27     26.00
WA975       1101  28     25.00
WA975       1101  29     24.00
WA975       1101  30     21.00
WA975       1201   1     29.00
WA975       1201   2     26.00
WA975       1201   3     23.00
WA975       1201   4     22.00
WA975       1201   5     22.00
WA975       1201   6     26.00
WA975       1201   7     28.00
WA975       1201   8     30.00
WA975       1201   9     22.00
WA975       1201  10     23.00
WA975       1201  11     23.00
WA975       1201  12     17.00
WA975       1201  13     28.00
WA975       1201  14     19.00
WA975       1201  15     19.00
WA975       1201  16     30.00
WA975       1201  17     20.00
WA975       1201  18     21.00
WA975       1201  19     22.00
WA975       1201  20     26.00
WA975       1201  21     25.00
WA975       1201  22     22.00
WA975       1201  23     20.00
WA975       1201  24     22.00
WA975       1201  25     23.00
WA975       1201  26     22.00
WA975       1201  27     26.00
WA975       1201  28     27.00
WA975       1201  29     26.00
WA975       1201  30     30.00
WA975       1201  31     30.00
WA975       0102   1     31.00
WA975       0102   2     28.00
WA975       0102   3     28.00
WA975       0102   4     29.00
WA975       0102   5     31.00
WA975       0102   6     27.00
WA975       0102   7     35.00
WA975       0102   8     33.00
WA975       0102   9     32.00
WA975       0102  10     29.00
WA975       0102  11     29.00
WA975       0102  12     31.00
WA975       0102  13     26.00
WA975       0102  14     16.00
WA975       0102  15     15.00
WA975       0102  16     18.00
WA975       0102  17     23.00
WA975       0102  18     20.00
WA975       0102  19     25.00
WA975       0102  20     26.00
WA975       0102  21     21.00
WA975       0102  22     17.00
WA975       0102  23     21.00
WA975       0102  24     29.00
WA975       0102  25     26.00
WA975       0102  26     17.00
WA975       0102  27     15.00
WA975       0102  28      7.00
WA975       0102  29      8.00
WA975       0102  30     20.00
WA975       0102  31     27.00
WA975       0202   1     25.00
WA975       0202   2     24.00
WA975       0202   3     29.00
WA975       0202   4     21.00
WA975       0202   5     25.00
WA975       0202   6     24.00
