$ Get data for 734:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:34:09 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA734           Sasse Ridge
WA734       1201  14     18.00
WA734       1201  15   -999.00
WA734       1201  16   -999.00
WA734       1201  17     17.00
WA734       1201  18   -999.00
WA734       1201  19     21.00
WA734       1201  20   -999.00
WA734       1201  21     22.00
WA734       1201  22     21.00
WA734       1201  23     22.00
WA734       1201  24     22.00
WA734       1201  25     18.00
WA734       1201  26     17.00
WA734       1201  27   -999.00
WA734       1201  28     19.00
WA734       1201  29     19.00
WA734       1201  30     24.00
WA734       1201  31     24.00
WA734       0102   1   -999.00
WA734       0102   2   -999.00
WA734       0102   3   -999.00
WA734       0102   4   -999.00
WA734       0102   5   -999.00
WA734       0102   6   -999.00
WA734       0102   7   -999.00
WA734       0102   8     32.00
WA734       0102   9     27.00
WA734       0102  10     27.00
WA734       0102  11     28.00
WA734       0102  12     24.00
WA734       0102  13     19.00
WA734       0102  14     16.00
WA734       0102  15     17.00
WA734       0102  16     19.00
WA734       0102  17     15.00
WA734       0102  18     19.00
WA734       0102  19     23.00
WA734       0102  20     24.00
WA734       0102  21     16.00
WA734       0102  22     15.00
WA734       0102  23     16.00
WA734       0102  24     30.00
WA734       0102  25     20.00
WA734       0102  26     14.00
WA734       0102  27     12.00
WA734       0102  28     13.00
WA734       0102  29     12.00
WA734       0102  30     19.00
WA734       0102  31     23.00
WA734       0202   1     23.00
WA734       0202   2     20.00
WA734       0202   3     21.00
WA734       0202   4     19.00
WA734       0202   5     20.00
WA734       0202   6     26.00
WA734       0202   7     25.00
WA734       0202   8     22.00
WA734       0202   9     20.00
WA734       0202  10     22.00
WA734       0202  11     18.00
WA734       0202  12     18.00
WA734       0202  13     18.00
WA734       0202  14     20.00
WA734       0202  15     22.00
WA734       0202  16     22.00
WA734       0202  17     27.00
WA734       0202  18     28.00
WA734       0202  19     24.00
WA734       0202  20     20.00
WA734       0202  21     27.00
WA734       0202  22     37.00
WA734       0202  23     26.00
WA734       0202  24     14.00
WA734       0202  25     11.00
WA734       0202  26     11.00
WA734       0202  27     17.00
WA734       0202  28     17.00
WA734       0302   1     16.00
WA734       0302   2     19.00
WA734       0302   3     22.00
WA734       0302   4     30.00
WA734       0302   5     25.00
WA734       0302   6     18.00
WA734       0302   7     12.00
WA734       0302   8     10.00
WA734       0302   9     17.00
WA734       0302  10     22.00
WA734       0302  11     27.00
WA734       0302  12     25.00
WA734       0302  13     22.00
WA734       0302  14     22.00
WA734       0302  15     17.00
WA734       0302  16     16.00
