$ Get data for 911:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:33:12 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA911           Rex River
WA911       0902  24   -999.00
WA911       0902  25   -999.00
WA911       0902  26   -999.00
WA911       0902  27   -999.00
WA911       0902  28   -999.00
WA911       0902  29   -999.00
WA911       0902  30   -999.00
WA911       1002   1     32.00
WA911       1002   2   -999.00
WA911       1002   3   -999.00
WA911       1002   4     39.00
WA911       1002   5     37.00
WA911       1002   6   -999.00
WA911       1002   7     39.00
WA911       1002   8     38.00
WA911       1002   9     38.00
WA911       1002  10     31.00
WA911       1002  11     30.00
WA911       1002  12     36.00
WA911       1002  13     38.00
WA911       1002  14     47.00
WA911       1002  15     53.00
WA911       1002  16     53.00
WA911       1002  17     46.00
WA911       1002  18     38.00
WA911       1002  19     38.00
WA911       1002  20     44.00
WA911       1002  21     36.00
WA911       1002  22     39.00
