$ Get data for 841:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 19:43:37 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA841           Upper Wheeler
WA841       0901   3     48.00
WA841       0901   4     44.00
WA841       0901   5     38.00
WA841       0901   6     39.00
WA841       0901   7     39.00
WA841       0901   8     42.00
WA841       0901   9     48.00
WA841       0901  10     52.00
WA841       0901  11     48.00
WA841       0901  12     51.00
WA841       0901  13     54.00
WA841       0901  14     56.00
WA841       0901  15     57.00
WA841       0901  16     56.00
WA841       0901  17     50.00
WA841       0901  18     41.00
WA841       0901  19     39.00
WA841       0901  20     44.00
WA841       0901  21     48.00
WA841       0901  22     47.00
WA841       0901  23     50.00
WA841       0901  24     56.00
WA841       0901  25     45.00
WA841       0901  26     33.00
WA841       0901  27     31.00
WA841       0901  28     36.00
WA841       0901  29     39.00
WA841       0901  30     43.00
WA841       1001   1     46.00
WA841       1001   2     43.00
WA841       1001   3     41.00
WA841       1001   4     38.00
WA841       1001   5     34.00
WA841       1001   6     36.00
WA841       1001   7     34.00
WA841       1001   8     31.00
WA841       1001   9     30.00
WA841       1001  10     32.00
WA841       1001  11     31.00
WA841       1001  12     34.00
WA841       1001  13     35.00
WA841       1001  14     34.00
WA841       1001  15     31.00
WA841       1001  16     33.00
WA841       1001  17     29.00
WA841       1001  18     32.00
WA841       1001  19     34.00
WA841       1001  20     33.00
WA841       1001  21     35.00
WA841       1001  22     30.00
WA841       1001  23     27.00
WA841       1001  24     26.00
WA841       1001  25     30.00
WA841       1001  26     31.00
WA841       1001  27     27.00
WA841       1001  28     24.00
WA841       1001  29     28.00
WA841       1001  30     31.00
WA841       1001  31     32.00
WA841       1101   1     32.00
WA841       1101   2     34.00
WA841       1101   3     36.00
WA841       1101   4     41.00
WA841       1101   5     28.00
WA841       1101   6     27.00
WA841       1101   7     25.00
WA841       1101   8     24.00
WA841       1101   9     32.00
WA841       1101  10     31.00
WA841       1101  11     32.00
WA841       1101  12     34.00
WA841       1101  13     34.00
WA841       1101  14     39.00
WA841       1101  15     36.00
WA841       1101  16     32.00
WA841       1101  17     27.00
WA841       1101  18     26.00
WA841       1101  19     30.00
WA841       1101  20     32.00
WA841       1101  21     30.00
WA841       1101  22     29.00
WA841       1101  23     22.00
WA841       1101  24     22.00
WA841       1101  25     22.00
WA841       1101  26     20.00
WA841       1101  27     19.00
WA841       1101  28     17.00
WA841       1101  29     22.00
WA841       1101  30     22.00
WA841       1201   1     27.00
WA841       1201   2     21.00
WA841       1201   3     19.00
WA841       1201   4     18.00
WA841       1201   5     17.00
WA841       1201   6     20.00
WA841       1201   7     21.00
WA841       1201   8     28.00
WA841       1201   9     17.00
WA841       1201  10     17.00
WA841       1201  11     16.00
WA841       1201  12     16.00
WA841       1201  13     29.00
WA841       1201  14     15.00
WA841       1201  15     18.00
WA841       1201  16     30.00
WA841       1201  17     16.00
WA841       1201  18     18.00
WA841       1201  19     20.00
WA841       1201  20     22.00
WA841       1201  21     18.00
WA841       1201  22     19.00
WA841       1201  23     22.00
WA841       1201  24     20.00
WA841       1201  25     18.00
WA841       1201  26     14.00
WA841       1201  27     16.00
WA841       1201  28     18.00
WA841       1201  29     18.00
WA841       1201  30     22.00
WA841       1201  31     23.00
WA841       0102   1     22.00
WA841       0102   2     23.00
WA841       0102   3     23.00
WA841       0102   4     21.00
WA841       0102   5     22.00
WA841       0102   6     26.00
WA841       0102   7     35.00
WA841       0102   8     29.00
WA841       0102   9     27.00
WA841       0102  10     26.00
WA841       0102  11     27.00
WA841       0102  12     24.00
WA841       0102  13     20.00
WA841       0102  14     17.00
WA841       0102  15     16.00
WA841       0102  16     19.00
WA841       0102  17     15.00
WA841       0102  18     15.00
WA841       0102  19     25.00
WA841       0102  20     24.00
WA841       0102  21     15.00
WA841       0102  22     15.00
WA841       0102  23     20.00
WA841       0102  24     30.00
WA841       0102  25     22.00
WA841       0102  26     14.00
WA841       0102  27     11.00
WA841       0102  28     10.00
WA841       0102  29     11.00
WA841       0102  30     16.00
WA841       0102  31     22.00
WA841       0202   1     24.00
WA841       0202   2     19.00
WA841       0202   3     19.00
WA841       0202   4     18.00
WA841       0202   5     19.00
WA841       0202   6     26.00
WA841       0202   7     24.00
WA841       0202   8     20.00
WA841       0202   9     20.00
WA841       0202  10     20.00
WA841       0202  11     15.00
WA841       0202  12     17.00
WA841       0202  13     15.00
WA841       0202  14     20.00
WA841       0202  15     20.00
WA841       0202  16     20.00
WA841       0202  17     27.00
WA841       0202  18     27.00
WA841       0202  19     23.00
WA841       0202  20     20.00
WA841       0202  21     29.00
WA841       0202  22     35.00
WA841       0202  23     23.00
WA841       0202  24     14.00
WA841       0202  25     10.00
WA841       0202  26     10.00
WA841       0202  27     18.00
WA841       0202  28     16.00
WA841       0302   1     15.00
WA841       0302   2     17.00
WA841       0302   3     22.00
WA841       0302   4     32.00
WA841       0302   5     22.00
WA841       0302   6     14.00
WA841       0302   7     10.00
WA841       0302   8     10.00
WA841       0302   9     17.00
WA841       0302  10     24.00
WA841       0302  11     27.00
WA841       0302  12     24.00
WA841       0302  13     20.00
WA841       0302  14     20.00
WA841       0302  15     23.00
WA841       0302  16     16.00
